player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,12,3,11.3,60.0,99.5,55.4,33.3,0,1,3,20.0,23,91.7,90.4,84.7,55.7,61.5,58.2,5,40,12.8,5,3,0,45.6,9,543,546,5,31,15,0,119,54,0.2,13.2
Julius Peppers,1010,ED,GB,12,1,1.0,100.0,9.8,9.3,9.3,1,0,0,0.0,12,50.4,62.6,49.8,72.3,51.3,46.3,0,14,33.3,3,0,3,142.7,4,37,377,10,5,4,1,35,32,0.9,8.8
Dwight Freeney,1019,ED,ARZ,7,0,-1.0,100.0,5.5,8.0,8.0,0,0,0,0.0,1,46.0,60.9,86.5,62.2,60.9,73.6,0,41,100.0,1,0,0,118.8,1,8,146,3,0,1,0,41,42,5.1,41.0
James Harrison,1251,ED,PIT,11,1,4.4,62.5,23.8,12.6,7.9,0,1,1,12.5,25,77.9,82.7,47.0,84.0,65.1,68.3,0,15,16.7,1,1,2,69.3,5,64,269,7,4,8,0,29,34,0.5,5.8
Terence Newman,1321,CB,MIN,12,2,11.7,56.9,100.0,10.3,5.9,0,1,9,12.5,18,67.5,71.4,85.8,,82.4,74.0,3,55,8.8,3,7,4,69.1,41,454,454,6,29,72,2,478,146,1.1,11.7
Terrell Suggs,1326,ED,BLT,1,0,,,20.6,,,0,0,0,,3,75.1,62.5,77.6,64.3,44.8,,0,,,0,0,0,0.0,0,7,34,0,0,0,0,0,0,0.0,
Calvin Pace,1334,ED,NYJ,12,0,2.1,50.0,24.4,14.0,7.0,0,0,1,12.5,22,70.0,66.4,88.2,61.5,60.4,49.4,0,12,33.3,1,1,0,59.9,4,59,242,2,2,8,0,31,23,0.6,7.8
Charles Tillman,1351,CB,CAR,9,1,14.3,53.7,98.4,12.3,6.6,0,1,5,9.3,5,58.7,62.0,87.3,49.4,77.8,73.7,1,48,6.7,2,5,1,71.3,29,374,380,5,27,54,0,417,112,1.2,14.4
Rashean Mathis,1355,CB,DET,7,2,8.3,80.0,99.2,7.4,6.0,0,0,3,7.5,11,62.5,63.6,85.9,54.7,64.7,68.8,1,50,7.7,2,2,1,107.6,32,248,250,9,22,40,1,413,173,1.7,12.9
Robert Mathis,1447,ED,IND,11,0,2.0,100.0,13.1,32.0,32.0,0,0,0,0.0,14,61.9,56.0,52.6,61.1,47.2,64.8,0,40,0.0,0,0,2,118.8,1,36,274,4,1,1,0,40,38,1.3,40.0
Chris Clemons,1585,ED,JAX,12,1,-0.7,66.7,3.0,5.5,3.7,0,0,0,0.0,15,55.6,37.6,42.4,47.9,36.4,28.2,0,14,50.0,2,0,4,91.0,2,11,372,2,1,3,0,24,22,2.2,12.0
Cullen Jenkins,1637,DI,NYG,12,1,,,2.5,,,0,0,0,,21,61.2,66.0,76.0,64.0,62.4,64.5,0,,25.0,1,0,2,0.0,0,10,397,4,2,0,0,0,0,0.0,
DeAngelo Hall,1729,CB,WAS,7,2,13.0,60.0,99.4,17.9,10.7,0,0,1,6.7,32,70.7,66.0,0.0,60.0,50.5,90.0,0,40,0.0,0,1,2,108.5,9,171,172,6,17,15,1,123,10,0.8,13.7
Jason Babin,1748,ED,BLT,2,0,-3.0,100.0,11.1,3.0,3.0,0,0,0,0.0,3,40.1,28.1,0.0,53.5,61.2,27.7,0,16,100.0,1,0,3,118.8,1,3,27,0,0,1,0,16,19,5.3,16.0
Karlos Dansby,1754,LB,CLV,12,3,3.1,73.7,86.0,12.9,9.5,0,1,0,0.0,8,81.1,76.4,65.3,62.6,65.1,76.2,3,27,3.7,1,0,1,59.9,28,382,444,11,23,38,0,267,226,0.7,9.5
Daryl Smith,1760,LB,BLT,12,4,4.8,83.3,86.8,10.8,9.0,0,1,2,4.8,3,59.5,68.2,89.3,60.1,74.7,52.5,0,35,21.4,9,2,0,106.8,35,408,470,11,29,42,1,325,165,0.9,9.3
Dwan Edwards,1772,DI,CAR,8,0,5.0,0.0,2.0,,4.0,0,0,0,0.0,5,66.0,49.2,84.0,51.2,41.3,72.9,0,,0.0,0,0,0,39.6,0,4,197,3,2,1,0,0,0,0.0,
Randy Starks,1792,DI,CLV,11,0,,,1.5,,,1,0,0,,8,49.6,56.6,26.0,59.4,62.8,43.3,0,,50.0,2,0,3,0.0,0,3,202,2,2,0,0,0,0,0.0,
Will Allen,1832,S,PIT,9,2,6.7,67.6,95.0,12.4,8.4,0,1,2,5.4,25,59.4,61.7,51.5,71.9,63.7,36.9,1,75,14.3,4,2,1,124.2,25,321,338,11,22,37,5,333,193,1.1,13.3
Jared Allen,1847,ED,CAR,11,0,3.0,40.0,5.7,9.0,3.6,0,0,0,0.0,5,58.8,58.1,64.6,55.9,62.3,72.3,1,9,0.0,0,0,2,9.2,2,18,315,5,5,5,0,16,17,0.9,8.0
Mike Adams,1972,S,IND,9,3,10.2,75.9,98.2,13.9,10.6,0,0,1,3.4,14,58.4,59.1,50.6,51.5,63.8,69.8,5,35,13.8,4,1,1,86.2,22,330,336,3,22,29,1,341,170,1.1,15.5
Adam Jones,2223,CB,CIN,11,4,8.4,67.3,100.0,11.4,7.7,1,2,4,7.7,7,80.6,79.8,26.6,83.1,71.4,66.7,2,24,9.1,4,3,2,75.7,35,425,425,13,36,52,1,339,120,0.8,9.7
Antrel Rolle,2225,S,CHI,7,0,6.6,86.7,99.2,16.6,14.4,0,1,1,6.7,6,65.3,68.6,79.9,57.7,71.3,74.1,0,35,9.5,2,1,0,98.1,13,234,236,8,19,15,0,113,42,0.5,8.7
DeMarcus Ware,2228,ED,DEN,7,0,0.0,100.0,13.5,8.3,8.3,1,0,0,0.0,10,65.0,82.5,4.8,90.3,64.4,81.9,0,12,0.0,0,0,4,80.6,3,25,185,9,5,3,0,10,10,0.4,3.3
Thomas Davis Sr.,2231,LB,CAR,12,2,4.2,72.9,84.6,9.9,7.2,0,0,2,3.4,5,79.6,75.4,64.1,69.7,59.3,73.6,3,29,17.8,8,1,1,84.9,43,444,525,20,35,59,3,372,239,0.9,8.7
Derrick Johnson,2232,LB,KC,12,3,2.5,61.9,88.1,16.7,10.3,0,0,6,14.3,16,82.5,87.7,70.9,52.7,88.4,68.5,1,19,17.5,7,6,2,62.7,26,465,528,15,30,42,0,191,178,0.4,7.3
Jonathan Babineaux,2276,DI,ATL,12,0,2.0,0.0,4.2,,11.0,0,0,0,0.0,2,68.1,74.6,86.3,63.8,66.4,46.8,1,,0.0,0,0,0,0.0,0,13,306,5,7,1,0,0,0,0.0,
Justin Tuck,2291,DI,OAK,5,0,,,0.6,,,0,0,0,,23,65.2,67.5,84.0,60.3,64.8,60.7,0,,33.3,1,0,0,0.0,0,1,167,3,2,0,0,0,0,0.0,
Chris Canty,2349,DI,BLT,8,1,,,0.7,,,0,0,0,,3,63.1,76.4,84.0,62.7,76.2,74.9,0,,0.0,0,0,0,0.0,0,1,153,1,1,0,0,0,0,0.0,
Trent Cole,2363,ED,IND,11,1,0.4,80.0,12.6,8.3,6.6,1,0,0,0.0,14,66.8,66.0,37.1,61.8,70.2,44.2,0,14,16.7,1,0,3,90.0,4,35,278,3,4,5,0,28,27,0.8,7.0
C.J. Mosley,2408,DI,MIA,11,0,,,0.8,,,0,0,0,,17,60.0,53.3,54.6,57.5,53.4,71.8,0,,,0,0,2,0.0,0,1,127,0,0,0,0,0,0,0.0,
Lorenzo Alexander,2476,ED,OAK,1,0,,,100.0,,,0,0,0,,23,60.0,61.2,69.0,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Brandon Browner,2512,CB,NO,12,2,11.9,63.4,98.6,9.8,6.2,1,2,9,12.7,20,28.7,28.3,0.0,49.7,53.5,41.3,1,67,16.7,8,8,19,106.5,45,481,488,6,38,71,4,659,238,1.5,14.6
Ahmad Brooks,2945,ED,SF,10,0,0.9,100.0,28.0,12.3,12.3,1,0,1,14.3,28,57.2,48.1,10.0,49.1,59.9,29.9,0,17,45.5,5,1,7,101.8,7,90,322,8,6,7,0,59,53,0.7,8.4
Mario Williams,2946,ED,BUF,11,0,2.5,100.0,3.9,8.0,8.0,0,0,0,0.0,4,49.2,54.7,90.6,50.6,61.1,29.6,0,14,25.0,1,0,0,108.3,2,17,436,4,3,2,0,20,15,1.3,10.0
A.J. Hawk,2950,LB,CIN,12,1,3.4,73.3,95.5,9.0,6.6,0,0,1,6.7,7,56.9,60.9,77.9,67.1,63.0,61.5,0,18,9.1,1,1,0,91.8,11,105,110,2,9,15,0,103,78,1.0,9.4
