team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
OAK,23,9,364,10,42,364,90.4,61,9
DAL,9,9,322,7,51,322,89.4,63,5
CIN,7,9,331,4,62,331,87.9,73,7
NO,20,10,434,14,62,434,87.6,92,16
BUF,4,9,311,14,53,311,87.3,73,6
ATL,2,9,382,11,75,382,86.6,94,8
BLT,3,9,383,13,76,383,86.6,96,7
CLV,8,10,442,19,82,442,86.1,112,11
NYJ,22,9,355,15,79,355,85.9,97,3
CAR,5,9,308,2,63,308,85.9,76,11
HST,13,9,420,19,72,420,85.6,106,15
GB,12,9,364,8,70,365,85.2,93,15
DEN,10,9,366,25,68,366,85.1,101,8
NYG,21,10,405,17,90,405,84.6,116,9
WAS,32,9,348,19,76,348,84.3,102,7
TB,30,9,322,19,66,322,84.3,93,8
PHI,24,9,383,23,69,383,84.1,107,15
IND,14,9,410,26,87,410,83.8,123,10
NE,19,9,395,22,80,395,83.8,115,13
CHI,6,9,338,12,81,338,83.6,102,9
PIT,25,10,361,13,84,361,83.0,110,13
MIN,18,9,301,14,74,301,82.1,98,10
SF,28,9,325,16,75,325,82.0,104,13
TEN,31,9,335,20,60,335,81.5,102,22
JAX,15,9,398,25,95,398,81.2,135,15
KC,16,9,361,10,88,361,81.2,117,19
MIA,17,9,366,22,80,366,81.1,120,18
DET,11,9,410,24,108,410,81.0,144,12
ARZ,1,9,326,22,86,326,80.7,117,9
SL,26,9,271,37,50,272,80.6,96,9
SD,27,9,418,20,114,418,80.1,150,16
SEA,29,9,337,19,89,337,79.2,124,16
