player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Philip Rivers,1725,QB,SD,15,7.48,0,672,27,76.4,504,552,8.9,2.5,12,21,3.5,64.5,356,243,7.5,596,88.7,29,198,,,,,85.9,72.7,44.8,,72.8,,,46.1,,,9,11,642,14.8,93.7,6.0,36,8,1,26,26,18,2.8,4043,7.3,77.7,511,559,7.7,2.41,12,21,3.5,65.7,367,236,7.6,603,89.7,30,191,,,,,86.0,69.1,45.0,,69.3,,,46.1,,,7,11,646,14.8,93.0,5.8,35,8,1,28,24,19,2.9,4039,7.2,85.2,61,67,5.5,2.26,0,0,0.0,73.1,49,19,5.8,69,10.3,3,31,,,,,83.1,80.9,79.5,,79.1,,,,,,2,1,76,10.5,104.4,2.9,2,0,0,4,3,0,0.0,525,7.8,0,94.1,68,74,-2.8,1.6,0,0,0.0,81.1,60,12,6.3,76,11.3,4,24,,,,,83.4,60.8,79.7,,60.5,,,,,,0,1,80,8.3,94.9,1.3,1,0,0,6,1,1,1.3,521,7.0,0.61
Tom Brady,698,QB,NE,15,-6.16,0,647,19,76.1,498,541,9.6,2.43,7,35,6.0,62.1,336,225,11.3,585,90.4,43,214,,,,64.7,83.4,93.2,78.1,,92.0,81.1,,73.3,,,10,7,626,16.4,102.4,6.3,37,7,2,24,35,9,1.4,4208,7.8,80.4,453,494,7.9,2.32,8,28,5.3,65.8,325,188,10.7,535,82.7,39,187,,,,64.7,86.7,93.1,77.3,,92.0,81.1,,73.3,,,8,5,567,18.1,104.0,6.4,34,7,2,23,29,6,1.1,3763,7.6,68.6,102,109,10.0,2.47,0,7,5.9,59.6,65,38,7.1,112,17.3,5,41,,,,,68.0,77.7,81.3,,76.0,,,,,,2,2,122,7.9,98.9,2.7,3,0,0,5,7,4,3.3,873,8.0,0,96.5,57,62,-2.9,1.55,1,0,0.0,87.1,54,1,1.8,62,9.6,1,14,,,,,81.8,66.2,78.8,,65.5,,,,,,0,0,63,0.0,100.8,0.0,0,0,0,4,1,1,1.6,428,6.9,0.39
Blake Bortles,8638,QB,JAX,15,-0.87,0,645,15,67.1,477,517,11.4,2.83,14,27,4.9,56.3,291,222,9.1,588,91.2,29,210,,,,,47.2,66.0,41.4,,63.5,58.4,,75.5,,,4,16,624,19.4,89.5,7.3,43,28,3,19,34,36,5.8,3911,7.6,69.9,429,464,9.4,2.6,13,19,3.9,59.1,274,184,8.7,522,80.9,26,179,,,,,41.3,62.8,37.8,,62.1,58.4,,64.1,,,4,11,553,20.7,91.7,7.3,38,20,3,15,29,28,5.1,3279,7.1,70.3,101,110,12.2,3.3,3,8,7.0,58.2,64,43,9.9,123,19.1,7,42,,,,,86.7,75.0,81.5,,68.5,,,90.7,,,0,5,129,11.6,84.3,4.1,5,8,0,6,6,8,6.2,910,8.3,0,96.2,53,57,-2.8,1.77,2,0,0.0,82.5,47,5,7.8,57,8.8,4,11,,,,,81.3,67.4,78.5,,66.6,,,,,,0,0,58,0.0,92.8,0.0,0,0,0,2,1,0,0.0,278,4.9,1.2
Matt Ryan,4317,QB,ATL,15,-2.95,0,620,2,75.0,515,545,8.7,2.64,16,12,2.1,65.3,356,208,7.8,587,94.7,30,214,,,,,50.4,79.7,78.5,,79.4,,,46.5,,,4,14,627,13.9,88.0,4.9,29,13,0,10,18,18,2.9,4073,7.5,76.9,428,456,7.5,2.43,17,11,2.3,66.9,305,154,7.3,488,78.7,24,156,,,,,47.4,78.7,76.9,,78.6,,,47.5,,,4,12,520,14.3,84.3,4.5,22,10,0,7,12,15,2.9,3133,6.9,73.7,118,122,9.8,3.12,0,1,0.7,63.9,78,54,10.3,132,21.3,9,62,,,,,71.4,72.9,81.9,,72.4,,,54.3,,,0,3,144,13.0,102.6,5.3,7,3,0,4,7,4,2.8,1124,9.2,0,96.8,31,33,-3.6,1.41,1,0,0.0,81.8,27,0,10.0,33,5.3,3,4,,,,,78.6,64.6,76.9,,64.0,,,,,,0,1,37,,87.4,0.0,0,0,0,1,1,1,2.7,184,5.6,2.34
Drew Brees,802,QB,NO,14,-9.82,0,619,20,73.7,487,520,9.7,2.57,7,29,5.2,64.0,333,178,7.2,554,89.5,26,200,,,,,68.9,83.7,54.2,,81.9,,,65.6,,,6,11,597,17.4,100.2,5.6,31,3,2,18,31,23,3.9,4203,8.1,76.9,458,481,7.9,2.39,4,23,4.5,69.4,334,137,5.1,506,81.7,18,179,,,,,74.3,84.1,52.2,,82.4,,,65.6,,,5,9,542,16.1,99.0,4.3,22,3,2,12,20,15,2.8,3803,7.9,76.1,92,104,9.4,2.85,3,6,5.5,59.6,62,44,11.4,113,18.3,8,36,,,,,59.2,71.8,81.2,,70.6,,,,,,1,2,120,20.5,108.8,8.0,9,0,0,8,11,8,6.7,744,7.2,0,100.0,63,65,-3.7,1.7,0,0,0.0,96.9,63,3,0.0,65,10.5,0,15,,,,,82.0,71.8,78.9,,70.7,,,,,,0,0,65,0.0,88.7,0.0,0,0,0,2,0,0,0.0,344,5.3,-0.76
Matthew Stafford,4924,QB,DET,15,7.26,0,616,11,73.1,446,473,8.4,2.64,7,20,4.0,64.5,305,207,6.4,536,87.0,21,192,,,,,83.3,64.4,64.1,,63.3,,,62.6,,,6,12,567,19.3,95.8,7.5,40,23,0,14,29,24,4.2,3424,7.2,75.2,419,450,6.6,2.44,8,17,3.6,65.6,295,169,6.3,498,80.8,20,169,,,,,81.5,59.4,62.8,,58.5,,,61.6,,,5,12,522,16.6,91.7,5.6,28,20,0,18,24,22,4.2,3061,6.8,78.8,99,103,7.7,2.84,1,3,2.8,72.8,75,44,3.8,118,19.2,3,45,,,,,86.5,76.9,81.4,,75.3,,,63.5,,,1,1,126,27.3,111.4,10.2,12,3,0,2,5,3,2.4,903,8.8,0,93.1,72,80,-3.1,1.7,2,0,0.0,81.3,65,6,3.0,80,13.0,2,22,,,,,83.5,61.1,79.7,,60.8,,,,,,0,1,81,0.0,89.6,0.0,0,0,0,6,0,1,1.2,540,6.8,1.97
Aaron Rodgers,2241,QB,GB,15,-8.28,0,610,12,68.3,416,453,10.0,3.08,5,30,5.8,55.8,253,208,10.9,535,87.7,31,153,,,,,48.2,75.0,66.5,,70.9,,,81.1,,,6,7,606,19.7,88.3,7.7,41,40,1,25,26,15,2.5,2938,6.5,72.6,413,442,8.2,2.86,7,26,5.2,61.8,273,178,9.0,517,84.8,27,155,,,,,54.6,74.6,66.1,,70.6,,,81.1,,,5,5,588,21.3,98.0,7.4,38,37,1,16,27,14,2.4,3058,6.9,73.3,75,86,8.2,3.22,0,4,4.4,53.5,46,40,16.4,93,15.2,9,24,,,,,54.3,68.2,80.4,,67.1,,,63.5,,,1,2,97,7.5,71.5,3.2,3,3,0,10,3,2,2.1,472,5.5,0,98.6,72,75,-2.2,1.7,2,0,0.0,88.0,66,10,7.0,75,12.3,5,26,,,,,83.3,65.7,79.7,,65.1,,,,,,0,0,79,0.0,117.3,0.0,0,0,0,1,4,1,1.3,592,7.9,-1.43
Eli Manning,1722,QB,NYG,15,-5.52,0,608,21,72.9,506,539,8.7,2.49,7,22,3.8,62.2,335,192,9.2,571,93.9,34,184,,,,,53.6,65.3,31.8,,65.1,,,57.8,,,11,14,610,12.5,93.1,4.2,24,8,0,15,32,28,4.6,3910,7.3,75.2,451,481,7.7,2.4,8,19,3.7,64.0,308,170,9.1,511,84.0,31,163,,,,,40.3,63.9,28.5,,63.8,,,57.8,,,10,12,551,12.9,95.4,4.3,22,8,0,12,30,24,4.4,3413,7.1,70.2,84,94,9.7,2.8,2,3,3.1,58.5,55,28,6.8,97,16.0,4,29,,,,,85.0,66.0,80.6,,65.3,,,,,,1,2,101,10.7,84.6,3.1,3,0,0,7,3,5,5.0,721,7.7,0,100.0,29,36,-3.1,2.04,3,0,0.0,77.8,28,6,3.4,37,6.1,1,8,,,,,28.6,57.8,77.3,,57.7,,,,,,0,0,42,16.7,101.9,2.7,1,0,0,4,1,1,2.4,224,6.2,0.57
Ryan Tannehill,7014,QB,MIA,15,2.33,0,597,17,71.2,455,497,9.9,2.64,12,22,4.2,58.8,292,228,9.9,544,91.1,32,169,,,,64.7,39.0,66.4,64.5,,65.3,91.2,,59.6,,,8,12,576,18.4,84.6,7.7,42,5,2,20,21,24,4.2,3521,7.1,72.2,410,441,8.4,2.43,10,16,3.4,61.2,270,184,8.8,478,80.1,26,135,,,,64.7,40.2,61.5,62.3,,60.5,91.2,,58.3,,,8,10,504,19.0,83.3,7.3,35,2,2,11,16,19,3.8,2917,6.6,79.2,96,107,9.2,3.11,2,6,5.2,63.6,68,52,10.5,119,19.9,8,45,,,,,36.9,79.7,81.5,,77.9,,,63.5,,,0,2,128,17.3,102.6,7.6,9,3,0,9,6,6,4.7,941,8.8,0,94.1,51,51,-3.7,1.78,0,0,0.0,90.2,46,8,4.2,53,8.9,2,11,,,,,34.9,65.4,78.4,,64.8,,,,,,0,0,56,25.0,100.7,3.8,2,0,0,0,1,1,1.8,337,6.6,2.18
Derek Carr,8671,QB,OAK,15,0.12,0,580,23,70.5,468,496,9.5,2.6,11,36,6.9,59.3,294,164,10.9,535,92.2,36,169,,,,,58.5,77.1,15.9,,78.4,,,44.1,,,0,11,564,14.6,90.9,4.5,24,15,0,17,29,23,4.1,3475,7.0,71.6,395,422,8.6,2.53,9,30,6.8,60.9,257,126,9.2,455,78.4,26,134,,,,,51.6,73.9,9.2,,75.3,,,46.6,,,0,9,477,16.7,91.0,4.6,21,12,0,18,24,19,4.0,2844,6.7,76.3,114,118,8.4,2.56,3,6,4.8,61.0,72,42,17.2,125,21.6,15,44,,,,,86.9,79.2,81.6,,78.7,,,50.1,,,0,3,132,9.5,95.6,3.2,4,3,0,1,7,4,3.0,949,8.0,0,97.6,41,44,-2.4,1.76,1,0,0.0,79.5,35,4,12.5,45,7.8,5,9,,,,,79.8,69.0,77.6,,68.2,,,,,,0,1,45,25.0,102.5,2.2,1,0,0,2,2,0,0.0,318,7.2,1.3
