player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Mike Mitchell,4970,S,PIT,6,6,,6.0,25,0,39.6,0,1,0,0,0,0.0
Jadeveon Clowney,8636,ED,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Sheldon Price,8479,CB,IND,1,1,,1.0,14,0,39.6,0,1,0,0,0,0.0
Cody Riggs,10108,CB,TEN,3,17,,5.7,31,0,39.6,0,3,0,0,0,0.0
Jayron Hosley,7094,CB,NYG,4,5,,5.0,21,0,39.6,0,1,0,0,0,0.0
Luke Kuechly,7015,LB,CAR,3,9,,4.5,5,0,39.6,0,2,0,0,0,0.0
Ronald Darby,9483,CB,BUF,5,11,,3.7,4,0,39.6,0,3,0,0,0,0.0
Steven Johnson,7298,LB,TEN,1,4,,2.0,31,0,39.6,0,2,0,0,0,0.0
Von Miller,6154,ED,DEN,2,3,,3.0,10,0,39.6,0,1,0,0,0,0.0
Kavell Conner,5763,LB,SD,2,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
Jonathan Anderson,9998,LB,CHI,2,5,,5.0,6,0,39.6,0,1,0,0,0,0.0
Will Blackmon,3060,CB,WAS,6,25,,25.0,32,0,39.6,0,1,0,0,0,0.0
Joe Thomas,9272,LB,GB,3,8,,4.0,12,0,39.6,0,2,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,2,1,,1.0,19,0,39.6,0,1,0,0,0,0.0
Darrell Stuckey,5634,S,SD,1,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
Steve Williams,7927,CB,SD,3,7,,7.0,27,1,0.0,0,1,0,0,0,0.0
A.J. Klein,7930,LB,CAR,2,3,,3.0,5,0,39.6,0,1,0,0,0,0.0
Pernell McPhee,6317,ED,CHI,4,5,,5.0,6,1,0.0,0,1,0,0,0,0.0
Dashon Goldson,3742,S,WAS,5,11,,11.0,32,0,39.6,0,1,0,0,0,0.0
Jerry Hughes,5556,ED,BUF,2,4,,4.0,4,0,39.6,0,1,0,0,0,0.0
Alan Ball,3853,CB,CHI,3,6,,6.0,6,0,39.6,0,1,0,0,0,0.0
