player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ryan Tannehill,7014,QB,MIA,4,2.52,2.47,2.78,5.75,182,17,66.3,92,100,8.1,1.85,6,1,1.0,57.0,57,30,6.6,103,56.6,4,24,,,,,85.5,60.4,80.8,60.1,,,1,4,108,10.0,68.7,2.9,3,0,0,1,4,3,2.8,539,5.4,76.7,60,70,11.5,3.4,2,3,3.9,57.1,40,49,13.0,79,43.4,6,25,,,,,20.0,53.6,80.0,52.8,,66.5,1,1,87,14.3,90.2,8.9,7,2,0,7,3,6,6.9,541,7.7
Alex Smith,2218,QB,KC,4,2.62,2.29,3.4,4.86,178,16,75.3,93,98,3.7,1.84,3,1,1.0,69.4,68,20,2.9,98,55.1,2,29,,,,,85.2,61.7,80.7,61.3,,,0,1,104,0.0,89.5,0.0,0,0,0,2,2,1,1.0,637,6.5,69.2,39,45,11.1,3.62,0,2,4.1,55.6,25,47,7.4,79,44.4,2,23,,,,,27.2,51.4,0.0,54.4,,53.1,0,2,84,38.3,88.5,22.8,18,16,0,6,2,5,6.0,473,10.5
Matthew Stafford,4924,QB,DET,4,2.41,2.32,3.85,3.9,173,11,77.9,104,111,4.7,1.87,2,2,1.7,72.1,80,32,1.2,112,64.7,1,42,,,,,86.1,54.4,81.2,54.5,,,3,4,118,3.1,88.6,0.9,1,0,0,2,4,7,5.9,786,7.1,62.2,45,52,10.8,3.4,1,1,1.8,50.0,26,36,7.1,61,35.3,2,12,,,,,41.0,36.1,79.0,39.5,,46.5,2,1,66,13.9,60.7,8.2,5,4,0,4,1,6,9.1,231,4.4
Blake Bortles,8638,QB,JAX,4,2.6,2.5,2.78,4.97,168,15,71.8,78,81,6.3,1.83,3,2,2.4,61.7,50,16,10.7,82,48.8,6,25,,,,,83.8,46.8,79.9,47.6,,,0,1,85,6.3,85.4,1.2,1,0,0,0,4,3,3.5,399,4.9,62.5,64,73,15.9,3.33,1,3,3.8,47.9,35,48,12.5,86,51.2,5,29,,,,,84.5,75.3,80.3,71.0,,78.6,2,2,95,14.6,73.8,8.1,7,6,0,6,2,4,4.2,597,8.2
Joe Flacco,4332,QB,BLT,4,2.46,2.38,4.0,6.2,165,3,72.4,87,90,6.2,1.91,1,3,3.1,67.8,61,19,3.2,91,55.2,2,25,,,,,84.7,61.8,80.4,61.5,,,2,3,97,5.3,92.2,1.1,1,0,0,0,5,4,4.1,626,7.0,69.4,62,68,9.3,3.14,0,5,6.5,60.3,41,35,4.7,74,44.8,2,19,,,,,41.5,50.9,79.8,51.7,,58.3,2,2,83,14.3,66.2,6.8,5,1,0,4,0,6,7.2,426,6.3
Peyton Manning,327,QB,DEN,4,2.24,2.19,2.88,,164,10,68.0,103,105,7.8,1.83,2,2,1.8,63.8,67,16,4.3,106,64.6,3,36,,,,,85.7,52.1,80.9,52.5,,,0,5,111,6.3,75.3,0.9,1,0,0,0,5,7,6.3,605,5.8,73.3,45,49,9.1,2.98,2,4,7.7,63.3,31,31,6.1,58,35.4,2,15,,,,,81.6,73.8,78.7,72.5,,,0,0,61,29.0,92.5,15.5,9,0,0,2,1,2,3.3,363,7.4
Russell Wilson,7077,QB,SEA,4,2.97,2.58,3.44,5.15,163,29,77.6,67,68,4.6,1.8,0,0,0.0,73.5,50,16,3.8,70,42.9,2,19,,,,,82.8,45.3,79.4,46.2,,,0,2,73,12.5,85.6,2.9,2,0,0,1,2,4,5.5,403,5.9,80.8,52,58,11.0,3.86,0,3,5.2,70.7,41,55,2.4,93,57.1,1,35,,,,,28.1,85.4,80.3,85.9,,64.3,0,0,93,29.1,119.6,17.2,16,19,0,6,3,2,2.2,576,9.9
Kirk Cousins,7102,QB,WAS,4,2.46,2.44,3.66,,159,32,84.1,88,91,6.6,1.84,1,4,4.0,76.9,70,21,5.4,91,57.2,4,33,,,,,84.9,69.5,80.5,68.6,,,0,2,100,0.0,97.2,0.0,0,0,0,2,4,4,4.0,557,6.1,62.7,59,62,11.3,3.34,0,3,4.5,56.5,35,35,5.4,67,42.1,2,24,,,,,82.9,67.6,79.4,65.0,,72.5,0,2,74,14.3,65.8,7.5,5,0,0,3,0,2,2.7,448,7.2
Jameis Winston,9434,QB,TB,4,2.85,2.57,3.62,5.23,155,30,68.9,74,75,6.9,1.9,0,3,3.8,62.7,47,13,7.8,76,49.0,4,27,,,,,48.9,46.2,79.7,47.2,,,0,6,81,7.7,71.4,1.3,1,0,0,1,4,6,7.4,587,7.8,58.0,50,58,14.0,3.77,0,4,6.1,44.8,26,43,10.3,79,51.0,3,23,,,,,50.2,50.7,80.0,52.2,,53.6,0,1,87,18.6,70.9,10.1,8,13,0,8,2,6,6.9,378,6.5
Philip Rivers,1725,QB,SD,4,2.17,2.09,2.94,5.5,154,27,83.7,104,107,4.6,1.85,0,2,1.8,76.6,82,31,5.7,109,70.8,5,40,,,,,85.7,70.0,80.9,69.0,,,1,2,111,6.5,113.5,1.8,2,0,0,2,7,3,2.7,862,8.1,72.4,29,33,12.3,3.0,1,1,2.6,51.5,17,24,19.0,44,28.6,4,15,,,,,29.8,50.4,77.9,51.5,,57.9,0,2,49,41.7,78.6,22.7,10,1,0,3,1,3,6.1,386,11.7
Sam Bradford,5526,QB,PHI,4,2.59,2.49,4.03,5.25,154,24,82.3,79,84,5.5,1.99,2,2,2.2,65.5,55,16,15.4,84,54.5,10,20,,,,,84.1,68.3,80.1,67.4,,,2,1,89,0.0,82.6,0.0,0,0,0,1,2,0,0.0,464,5.5,66.1,56,61,10.6,3.32,0,5,7.5,54.1,33,29,10.8,70,45.5,4,22,,,,,83.2,54.6,79.6,52.3,,74.8,2,3,77,24.1,81.6,10.0,7,2,0,3,4,5,6.5,484,7.9
Ryan Fitzpatrick,2467,QB,NYJ,4,2.56,2.4,4.0,5.51,154,22,81.1,74,77,7.2,1.91,2,1,1.2,71.4,55,17,8.3,77,50.0,5,23,,,,,83.7,62.6,79.8,62.2,,,0,2,83,0.0,100.8,0.0,0,0,0,1,6,4,4.8,444,5.8,56.3,64,68,14.7,3.21,1,3,4.3,48.5,33,32,8.3,77,50.0,3,26,,,,,83.4,58.2,79.7,56.3,,67.6,1,4,80,6.3,52.3,2.6,2,7,0,2,1,7,8.8,480,7.1
Matt Ryan,4317,QB,ATL,4,2.41,2.34,2.68,5.2,152,2,80.2,86,93,5.6,1.85,6,3,3.0,67.7,63,16,8.7,95,62.5,6,35,,,,,85.0,85.1,80.6,82.9,,,1,1,101,12.5,95.7,2.1,2,0,0,0,3,3,3.0,689,7.4,75.6,45,50,10.5,3.35,2,2,3.5,66.0,33,20,2.9,57,37.5,1,25,,,,,82.0,76.7,79.0,74.6,,66.1,0,1,66,20.0,111.5,7.0,4,3,0,3,3,2,3.0,513,10.3
Eli Manning,1722,QB,NYG,4,2.2,2.14,3.33,3.83,150,21,83.2,101,104,6.1,1.81,0,2,1.9,70.2,73,11,13.1,104,69.3,11,32,,,,,85.4,73.4,80.8,72.1,,,0,1,107,0.0,102.7,0.0,0,0,0,3,5,3,2.8,751,7.2,57.1,35,39,11.7,3.09,0,3,6.5,43.6,17,25,15.0,46,30.7,3,14,,,,,80.5,50.6,78.2,49.1,,67.3,0,0,53,16.0,79.5,8.7,4,3,0,4,2,2,3.8,225,5.8
Colin Kaepernick,6188,QB,SF,4,2.95,2.56,3.66,5.2,146,28,78.1,64,65,5.0,1.89,1,0,0.0,72.3,47,11,6.0,67,45.9,3,19,,,,,82.3,53.5,79.1,53.8,,,0,0,68,18.2,84.2,3.0,2,0,0,0,0,0,0.0,341,5.2,56.5,46,51,12.1,3.85,0,4,7.7,49.0,25,52,3.8,79,54.1,1,22,,,,,83.4,47.3,79.7,43.4,,66.2,0,5,80,23.1,48.0,15.2,12,16,0,5,2,5,6.3,386,7.6
Aaron Rodgers,2241,QB,GB,4,2.96,2.72,2.82,5.29,144,12,83.9,62,63,4.9,1.69,0,2,3.0,82.5,52,4,0.0,64,44.4,0,21,,,,,82.3,61.5,79.1,61.2,,,1,0,68,25.0,128.0,1.6,1,0,0,0,6,1,1.5,447,7.1,76.9,52,60,10.8,4.02,1,9,12.5,61.7,37,47,7.5,79,54.9,3,28,,,,,54.3,94.6,80.4,94.6,,66.9,0,0,97,10.6,119.3,6.3,5,14,0,7,5,1,1.0,548,9.1
Tyrod Taylor,6332,QB,BUF,4,3.14,2.78,4.29,5.56,143,4,88.5,52,53,4.9,1.86,1,2,3.6,83.0,44,5,4.3,54,37.8,2,19,,,,,36.8,62.3,78.5,61.9,,,0,0,57,20.0,111.1,1.9,1,0,0,0,2,2,3.5,405,7.6,70.3,64,67,13.3,3.92,1,4,5.3,62.7,42,46,6.7,89,62.2,3,28,,,,,54.1,77.4,80.5,77.3,,61.4,0,4,100,19.6,95.6,10.1,9,13,0,2,6,2,2.0,583,8.7
Ryan Mallett,6226,QB,HST,4,2.44,2.37,4.33,4.5,142,13,72.7,77,83,6.8,1.93,2,0,0.0,57.8,48,14,14.3,83,58.5,8,21,,,,,84.0,56.8,80.1,56.9,,,2,1,88,0.0,67.6,0.0,0,0,0,2,1,2,2.3,366,4.4,52.9,51,54,14.2,3.15,0,4,7.1,42.6,23,26,14.8,59,41.5,4,20,,,,,38.8,56.7,78.8,55.2,,69.6,1,2,62,11.5,61.8,5.1,3,2,0,2,2,4,6.5,354,6.6
Carson Palmer,1317,QB,ARZ,4,2.48,2.4,3.3,4.67,140,1,79.5,73,75,7.2,1.83,2,1,1.3,69.3,52,20,10.3,77,55.0,6,31,,,,,48.4,73.2,79.8,72.0,,,0,2,82,10.0,104.5,2.6,2,0,0,0,5,2,2.4,603,8.0,68.5,54,57,16.3,3.28,1,6,9.1,57.9,33,32,10.8,63,45.0,4,28,,,,,44.1,91.2,79.3,91.1,,48.1,1,1,72,9.4,112.6,4.8,3,3,0,1,5,5,6.9,552,9.7
Cam Newton,6153,QB,CAR,4,2.96,2.67,3.74,5.61,139,5,84.8,46,52,5.6,1.96,5,0,0.0,61.5,32,4,17.9,52,37.4,7,17,,,,,81.0,69.3,78.3,68.4,,,1,0,55,0.0,87.5,0.0,0,0,0,0,2,3,5.5,266,5.1,63.3,60,69,14.4,3.56,2,5,6.6,50.7,35,41,7.9,87,62.6,3,34,,,,,84.5,66.8,80.3,62.9,,74.0,4,2,94,17.1,89.2,8.0,7,11,0,3,5,3,3.2,543,7.9
Tom Brady,698,QB,NE,3,2.1,2.04,3.38,,139,19,84.6,104,107,6.0,1.74,2,6,5.4,75.7,81,16,8.0,107,77.0,7,46,,,,,85.7,92.3,81.0,91.2,,,0,0,112,0.0,115.3,0.0,0,0,0,1,5,0,0.0,887,8.3,66.7,24,26,14.1,3.28,0,4,13.3,57.7,15,18,6.3,32,23.0,1,12,,,,,78.4,84.8,76.9,82.7,,,0,0,37,33.3,125.8,18.8,6,0,0,2,4,2,5.4,225,8.7
Teddy Bridgewater,8667,QB,MIN,4,2.86,2.68,3.29,4.88,138,18,87.5,56,58,4.8,1.85,2,2,3.4,81.0,47,16,4.1,61,44.2,2,21,,,,,81.6,68.9,78.7,68.0,,,0,1,61,18.8,95.6,4.9,3,0,0,0,2,2,3.3,343,5.9,68.8,48,57,12.2,3.71,0,4,6.6,52.6,30,41,9.1,76,55.1,3,24,,,,,48.9,67.0,79.7,64.6,,68.2,0,1,81,24.4,70.1,13.2,10,9,0,9,0,6,7.4,431,7.6
