player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,9,3,0,64.3,0,0,23,89.4,84.2,83.9,57.3,55.8,46.0,0,0,5,40,16.7,9,3,0,51.5,9,0,81,5,426,636,11,0,0,11,0,493,625,2,208,46,7,42,14,0,0,119,54,13.2
Julius Peppers,1010,ED,GB,9,5,0,100.0,1,1,12,51.3,61.4,53.7,70.5,50.8,38.3,6,19,0,14,19.0,4,0,2,142.7,4,6,16,1,28,421,400,5,41,300,54,0,21,257,136,4,15,12,4,31,1,35,32,8.8
Dwight Freeney,1019,ED,ARZ,4,1,0,,0,1,1,60.6,69.8,83.9,68.0,60.0,72.7,3,10,0,,0.0,0,0,0,0.0,0,2,3,0,5,92,88,0,1,86,1,0,4,72,15,1,2,0,0,15,0,0,0,
James Harrison,1251,ED,PIT,9,6,1,83.3,0,1,25,73.5,77.1,39.8,77.1,66.4,82.9,7,18,0,15,4.8,1,0,2,86.8,5,2,31,0,52,354,303,0,0,302,1,0,51,171,131,19,13,14,6,27,0,29,34,5.8
Terence Newman,1321,CB,MIN,9,7,0,56.6,0,0,18,74.9,78.2,84.5,,85.0,76.9,0,0,2,55,5.3,2,6,1,59.8,30,0,57,456,340,523,5,0,0,5,0,1,518,0,183,4,7,29,53,0,0,334,110,11.1
Kevin Williams,1325,DI,NO,10,3,1,,0,2,20,,71.6,65.1,60.7,73.1,62.3,1,10,0,,10.0,2,0,1,0.0,0,0,0,0,0,329,329,9,307,1,12,0,0,157,172,0,14,15,0,11,0,0,0,
Terrell Suggs,1326,ED,BLT,1,0,0,,0,0,3,75.1,62.5,77.6,64.3,44.8,,0,1,0,,,0,0,0,0.0,0,0,0,0,7,48,48,0,0,48,0,0,0,27,14,0,0,0,0,1,0,0,0,
Calvin Pace,1334,ED,NYJ,9,0,0,66.7,0,1,22,67.6,67.9,87.4,65.0,60.3,36.8,4,7,0,12,25.0,2,1,0,79.2,4,2,7,0,40,315,299,0,0,296,3,0,16,161,114,9,5,6,6,13,0,31,23,7.8
Charles Tillman,1351,CB,CAR,9,6,0,53.7,0,1,5,58.7,62.0,87.3,49.4,77.8,73.7,0,0,1,48,7.1,3,5,1,71.3,29,0,34,470,374,535,5,0,0,5,0,3,530,6,155,22,10,33,54,0,0,417,112,14.4
Rashean Mathis,1355,CB,DET,7,2,0,80.0,0,0,11,62.5,63.6,85.9,54.7,64.7,68.8,0,0,1,50,11.1,4,2,1,107.6,32,0,28,388,248,434,4,0,0,4,0,1,430,2,184,13,13,30,40,0,1,413,173,12.9
Cory Redding,1381,DI,ARZ,9,2,0,,1,0,1,67.3,61.1,12.7,54.6,62.4,24.0,0,5,1,,33.3,2,0,2,0.0,0,0,1,0,0,147,146,20,113,7,6,0,1,100,47,0,2,2,0,5,0,0,0,
