player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Steve McLendon,5232,DI,PIT,13,1,0,25,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,23,0,0,0,0,0,0,,,0,0,0.0,100.0,0.7,1.0,1.0,0,0,0.0,60.0,0,23,,0,0,118.8,1,1,100.0,150,1,0,1,0,23,23,23.0,23.0
Colt Anderson,5242,S,IND,8,89,0,14,1,32.0,0.0,97.4,,35.0,0,0,0.0,65.7,0,,0.0,0,0,39.6,0,37,41.6,38,0,2,1,0,0,0,0.0,,0,0,21.0,100.0,100.0,39.0,39.0,0,0,0.0,58.4,0,25,0.0,0,0,118.8,1,40,44.9,40,0,1,1,0,25,4,0.6,25.0
Michael Bennett,5273,ED,SEA,13,12,0,29,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,90,1,0,0,0,0,0,,,0,0,2.3,33.3,2.9,10.0,3.3,0,0,0.0,68.7,0,10,50.0,1,0,43.8,1,10,83.3,340,9,1,3,0,10,9,1.0,10.0
Ramon Humber,5310,LB,NO,10,88,0,20,0,-5.0,100.0,70.0,20.0,20.0,0,0,0.0,49.1,0,14,,0,0,118.8,1,21,23.9,30,0,0,1,0,14,19,0.7,14.0,0,1,9.4,88.9,96.4,6.6,5.9,0,0,0.0,47.4,0,27,0.0,0,0,118.8,8,54,61.4,56,4,6,9,0,121,38,2.3,15.1
Dan Skuta,5349,LB,JAX,10,92,0,15,0,,,27.8,,,0,0,,64.2,0,,,0,0,0.0,0,10,10.9,36,0,0,0,0,0,0,0.0,,0,0,3.3,100.0,65.8,9.9,9.9,0,0,0.0,35.3,0,21,20.0,1,0,101.8,7,77,83.7,117,1,4,7,0,59,36,0.9,8.4
Jonathan Casillas,5422,LB,NYG,12,302,0,21,0,5.2,75.0,71.0,9.6,7.2,0,0,0.0,38.1,0,20,16.7,1,0,85.1,9,88,29.1,124,1,5,12,0,59,61,0.7,6.6,0,4,4.7,85.7,93.2,5.4,4.7,1,2,5.7,48.8,0,19,6.5,2,2,104.9,30,177,58.6,190,13,25,35,1,241,130,1.5,8.0
Dannell Ellerbe,5442,LB,NO,5,130,0,20,0,11.0,57.1,76.3,10.5,6.0,0,1,14.3,40.9,0,13,0.0,0,1,101.8,4,45,34.6,59,1,2,7,1,20,12,0.5,5.0,0,1,5.8,90.5,98.8,4.1,3.7,0,0,0.0,55.6,0,41,5.6,1,0,127.0,19,81,62.3,82,6,16,21,1,224,120,2.9,11.8
Josh Mauga,5491,LB,KC,11,181,0,16,0,3.8,62.5,86.6,15.0,9.4,1,1,12.5,57.1,2,26,33.3,2,1,47.4,5,84,46.4,97,1,4,8,0,63,69,0.8,12.6,0,2,3.6,88.9,94.7,10.6,9.4,0,0,0.0,60.7,0,17,21.4,3,0,100.5,8,90,49.7,95,2,9,9,0,73,45,0.9,9.1
Ndamukong Suh,5527,DI,MIA,13,1,0,17,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,131,0,0,0,0,0,0,,,0,1,,,0.3,,,0,0,,67.0,0,,33.3,1,0,0.0,0,1,100.0,310,3,1,0,0,0,0,0.0,
Eric Berry,5530,S,KC,13,554,0,16,3,7.3,56.3,96.6,26.9,15.1,0,3,18.8,75.0,1,19,4.8,1,3,47.4,9,259,46.8,268,1,17,16,0,94,39,0.4,10.4,0,3,6.8,78.6,99.2,22.6,17.8,0,3,21.4,68.7,1,30,18.8,3,3,67.3,11,261,47.1,263,2,10,14,0,102,44,0.4,9.3
Joe Haden,5532,CB,CLV,5,159,0,8,0,12.3,80.0,100.0,4.5,3.6,0,2,10.0,28.9,0,43,15.4,2,2,118.8,16,78,49.1,78,0,11,20,0,262,70,3.6,16.4,0,0,19.0,66.7,100.0,11.3,7.6,1,1,11.1,51.0,0,60,60.0,3,1,149.3,6,72,45.3,72,1,2,9,2,113,50,1.7,18.8
Rolando McClain,5533,LB,DAL,9,241,0,9,1,5.1,50.0,83.6,27.0,13.5,0,0,0.0,91.6,1,3,16.7,1,0,16.7,4,117,48.5,140,4,4,8,0,-4,0,0.0,-1.0,0,2,4.6,84.6,88.5,10.0,8.5,0,1,7.7,57.9,0,38,13.3,2,1,104.5,11,116,48.1,131,3,11,13,0,118,85,1.1,10.7
Tyson Alualu,5535,DI,JAX,13,1,0,15,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,73,0,0,0,0,0,0,,,0,0,,,0.5,,,0,0,,54.6,0,,100.0,2,0,0.0,0,1,100.0,202,2,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,13,70,0,24,0,-6.0,100.0,9.7,9.0,9.0,0,0,0.0,73.8,0,-5,20.0,1,0,79.2,2,19,27.1,196,6,4,2,0,-16,-4,-0.9,-8.0,0,1,-0.7,83.3,21.8,8.0,6.7,0,0,0.0,86.1,0,15,14.3,1,0,91.7,5,45,64.3,206,3,5,6,0,36,28,0.9,7.2
Earl Thomas III,5539,S,SEA,13,534,0,29,1,3.0,100.0,100.0,96.0,96.0,0,0,0.0,60.7,0,19,11.1,1,0,118.8,1,105,19.7,105,0,7,1,0,19,16,0.2,19.0,0,0,18.3,63.2,99.5,32.3,20.4,0,3,15.8,81.4,3,29,20.0,5,3,85.3,12,410,76.8,412,5,20,19,2,160,26,0.4,13.3
