player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,HST,7,15.3,3,57.4,,0,0,2,6.5,4,47,13,1,69.9,42.3,86.7,,86.3,0.0,0,3,34,0.0,0,362,4,58,94.8,343,18.0,65,86.1,101,5,82.0,297,776,113,1.9,13.4,2.26
Julio Jones,6158,WR,ATL,7,9.3,6,69.0,,0,0,0,7.9,5,39,2,1,64.7,43.4,91.5,,91.3,0.4,1,1,45,0.0,0,282,0,58,93.3,263,31.6,89,110.7,84,5,68.1,192,730,271,4.7,12.6,2.78
Keenan Allen,7857,WR,SD,7,8.1,8,76.5,,0,0,0,7.5,5,30,27,0,66.8,49.8,77.3,,77.0,0.3,1,2,38,0.0,0,334,3,62,93.4,312,17.7,59,103.4,81,3,82.0,274,690,239,3.9,11.1,2.21
Demaryius Thomas,5547,WR,DEN,6,10.0,5,64.9,,0,0,0,7.7,4,28,10,1,56.6,29.9,76.9,,76.1,0.4,1,4,45,0.0,0,238,2,48,95.4,227,22.3,53,67.8,74,1,77.3,184,527,143,3.0,11.0,2.32
T.Y. Hilton,7092,WR,IND,7,13.1,3,52.9,,0,0,0,5.1,2,22,14,0,72.7,77.7,79.3,,78.2,0.3,1,4,87,0.0,0,296,0,37,92.6,274,35.5,105,72.7,70,3,64.2,190,606,209,5.6,16.4,2.21
Antonio Brown,5718,WR,PIT,7,12.3,9,69.7,,0,0,0,6.1,3,29,25,0,70.7,84.1,91.2,,91.1,0.0,0,1,59,0.0,0,240,0,46,92.1,221,18.8,45,106.3,66,2,80.8,194,671,222,4.8,14.6,3.04
Calvin Johnson,3618,WR,DET,7,11.7,1,66.2,,0,0,0,2.3,1,29,11,1,85.0,34.9,85.4,,83.8,0.0,0,3,57,0.0,0,322,1,43,92.9,299,13.4,43,90.2,65,3,86.6,279,574,179,4.2,13.3,1.92
Odell Beckham Jr.,8647,WR,NYG,7,10.6,6,64.6,,0,0,0,4.5,2,26,21,0,75.5,78.6,78.8,,80.5,0.0,0,1,67,0.0,0,276,1,42,93.5,258,25.0,69,103.6,65,4,73.6,203,524,224,5.3,12.5,2.03
Allen Robinson II,8696,WR,JAX,7,17.1,1,52.3,,0,0,0,8.1,3,26,15,0,53.6,77.3,82.3,,80.7,0.0,0,1,52,0.0,0,286,1,34,93.0,266,10.8,31,107.6,65,6,89.2,255,586,82,2.4,17.2,2.2
Steve Smith,837,WR,BLT,6,10.7,12,65.1,,0,0,0,8.9,4,26,3,1,61.6,79.3,90.5,,89.8,0.5,1,3,50,0.0,0,222,0,41,92.3,205,31.5,70,91.2,63,3,67.6,150,588,238,5.8,14.3,2.87
Emmanuel Sanders,5606,WR,DEN,6,12.8,2,60.3,,0,0,0,5.0,2,26,10,0,73.3,83.7,81.3,,81.4,0.0,0,1,75,0.0,0,246,0,38,95.1,234,18.3,45,96.5,63,3,80.9,199,527,196,5.2,13.9,2.25
Julian Edelman,5156,WR,NE,6,7.1,11,71.4,,0,0,0,13.5,7,26,19,0,43.3,81.4,78.0,67.3,77.4,0.0,0,1,59,0.7,2,270,3,45,92.6,250,51.5,139,109.4,63,4,48.5,131,503,241,5.4,11.2,2.01
Jordan Matthews,8677,WR,PHI,7,8.6,8,66.1,,0,0,2,13.3,6,19,24,1,31.4,29.5,56.1,,55.3,0.4,1,2,32,0.0,0,267,2,39,92.9,248,93.3,249,76.8,59,1,6.0,16,398,196,5.0,10.2,1.6
Larry Fitzgerald,1724,WR,ARZ,7,10.4,3,78.0,,0,0,0,2.1,1,32,1,1,85.0,34.9,90.3,62.6,90.4,2.0,5,0,44,1.6,4,251,1,46,90.4,227,63.7,160,144.5,59,6,33.9,85,622,215,4.7,13.5,2.74
Brandon Marshall,3064,WR,NYJ,6,12.2,6,69.5,,0,0,0,8.9,4,30,22,3,58.4,18.0,79.4,,81.0,0.0,0,5,58,0.0,0,236,4,41,95.3,225,22.5,53,88.1,59,4,77.5,183,578,183,4.5,14.1,2.57
Golden Tate,5585,WR,DET,7,7.9,10,59.6,,0,0,0,10.5,4,17,11,1,62.9,33.3,66.6,61.6,65.8,0.0,0,2,33,0.3,1,319,2,34,92.8,296,66.5,212,66.3,57,1,33.2,106,318,196,5.8,9.4,1.07
Travis Benjamin,7100,WR,CLV,7,14.8,5,62.5,,0,0,0,0.0,0,21,8,1,89.7,49.5,73.8,,74.6,0.0,0,2,60,0.0,0,278,1,35,90.6,252,7.6,21,105.9,56,4,92.4,257,575,169,4.8,16.4,2.28
Brandin Cooks,8655,WR,NO,7,11.9,2,62.5,0.0,0,1,0,2.8,1,17,20,1,80.5,77.9,66.7,65.7,66.6,0.0,0,2,47,0.3,1,311,1,35,93.2,290,26.0,81,78.3,56,1,73.6,229,444,187,5.3,12.7,1.53
Pierre Garcon,4519,WR,WAS,7,9.8,1,66.1,,0,0,0,7.5,3,22,32,0,66.6,78.1,70.4,,70.6,0.0,0,3,22,0.0,0,269,2,37,91.8,247,19.3,52,78.7,56,3,80.7,217,350,98,2.6,9.5,1.42
Jeremy Maclin,4942,WR,KC,6,10.9,1,70.9,,0,0,0,2.5,1,21,16,0,82.2,81.9,72.4,,74.3,0.4,1,1,61,0.0,0,249,2,39,93.2,232,24.9,62,99.9,55,1,74.7,186,531,188,4.8,13.6,2.29
Donte Moncrief,8725,WR,IND,7,9.6,2,63.0,,0,0,0,8.1,3,19,14,0,54.4,77.8,69.3,,69.1,0.0,0,1,30,0.0,0,272,0,34,93.0,253,18.0,49,107.1,54,5,82.0,223,381,134,3.9,11.2,1.51
Michael Crabtree,4933,WR,OAK,6,11.2,5,61.1,,0,0,0,2.9,1,22,23,0,79.4,77.1,84.0,,82.1,0.0,0,1,37,0.0,0,209,2,33,94.7,198,31.1,65,87.0,54,2,68.9,144,381,101,3.1,11.5,1.92
Rob Gronkowski,5567,TE,NE,6,10.1,2,65.4,,0,0,1,2.9,1,24,19,0,80.4,81.6,89.1,76.9,86.1,22.5,62,0,52,11.3,31,275,4,34,82.5,227,43.3,119,137.7,52,6,34.2,94,533,255,7.5,15.7,2.35
Martellus Bennett,4375,TE,CHI,6,6.3,3,66.7,,0,0,0,10.5,4,17,6,1,53.6,28.4,75.9,67.4,67.8,60.4,148,3,24,17.6,43,245,1,34,78.8,193,19.6,48,70.1,51,2,19.2,47,292,162,4.8,8.6,1.51
Anquan Boldin,1369,WR,SF,7,9.0,3,60.8,,0,0,0,6.1,2,19,28,0,68.2,76.6,74.1,,71.3,0.0,0,2,51,0.0,0,226,0,31,96.5,218,53.5,121,79.9,51,2,45.6,103,372,142,4.6,12.0,1.71
John Brown,8726,WR,ARZ,7,13.7,2,74.0,,0,0,0,2.6,1,28,1,1,81.3,29.3,85.0,,84.9,0.0,0,2,49,0.0,0,242,1,37,91.3,221,36.0,87,113.9,50,3,64.0,155,562,163,4.4,15.2,2.54
Jarvis Landry,8698,WR,MIA,6,5.7,10,72.0,,0,0,0,7.7,3,19,17,0,64.8,85.2,84.4,73.1,78.6,1.4,3,3,50,0.5,1,216,1,36,94.9,205,74.5,161,83.3,50,2,20.4,44,395,222,6.2,11.0,1.93
