team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
DAL,9,5,187,5,25,187,90.4,33,3
ATL,2,5,199,6,29,199,89.2,39,4
OAK,23,5,203,4,25,203,88.9,37,8
CLV,8,5,216,10,29,216,88.2,45,6
CIN,7,5,178,3,38,178,87.9,42,1
HST,13,5,254,11,43,254,87.8,58,4
CAR,5,4,139,1,26,139,87.4,31,4
BUF,4,5,169,7,32,169,87.3,41,2
NYJ,22,4,154,8,31,154,87.3,39,0
NO,20,5,223,5,33,223,87.0,48,10
PIT,25,5,168,6,27,168,86.6,39,6
PHI,24,5,200,13,29,200,86.5,48,6
DEN,10,5,201,9,32,201,86.3,48,7
NE,19,4,172,8,23,172,86.3,39,8
WAS,32,5,192,8,39,192,86.2,50,3
NYG,21,5,205,12,41,205,86.1,55,2
MIN,18,4,138,6,28,138,85.5,37,3
BLT,3,5,202,11,45,202,85.1,58,2
IND,14,5,209,13,38,209,84.4,58,7
ARZ,1,5,160,8,34,160,84.4,46,4
TB,30,5,178,5,38,178,84.0,50,7
GB,12,5,183,2,46,184,83.1,55,7
TEN,31,4,148,5,28,148,82.8,42,9
CHI,6,5,192,2,51,192,82.6,60,7
SF,28,5,185,9,44,185,82.4,59,6
DET,11,5,244,17,59,244,82.4,81,5
KC,16,5,214,5,48,214,80.6,68,15
SEA,29,5,193,9,46,193,80.6,65,10
JAX,15,5,208,11,53,208,80.3,73,9
SL,26,5,153,20,33,154,79.4,58,5
MIA,17,4,182,16,46,182,79.1,69,7
SD,27,5,210,8,60,210,78.6,79,11
