player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,15,4,10.3,66.7,99.4,53.7,35.8,0,3,4,22.2,23,91.8,89.8,85.6,54.6,56.1,49.8,5,40,17.0,8,4,0,51.9,12,700,704,6,35,18,0,146,66,0.2,12.2
Julius Peppers,1010,ED,GB,15,1,1.0,100.0,9.1,10.5,10.5,1,0,0,0.0,12,51.9,61.3,56.7,71.5,46.6,50.3,0,14,30.0,3,0,3,142.7,4,42,462,13,6,4,1,35,32,0.8,8.8
Dwight Freeney,1019,ED,ARZ,10,0,-1.0,100.0,4.3,9.0,9.0,0,0,0,0.0,1,46.2,78.5,88.0,79.3,56.0,75.8,0,41,100.0,1,0,0,118.8,1,9,211,7,0,1,0,41,42,4.6,41.0
James Harrison,1251,ED,PIT,14,1,4.6,70.0,23.9,11.6,8.1,0,1,1,10.0,25,74.1,84.0,55.4,84.0,69.1,72.0,0,15,14.3,1,1,2,78.3,7,83,348,7,5,10,0,43,37,0.5,6.1
Terence Newman,1321,CB,MIN,15,2,11.3,58.1,99.6,10.3,6.0,0,1,11,12.8,18,67.2,70.0,87.0,68.3,74.3,69.4,3,72,9.8,4,9,4,81.1,50,551,553,7,35,86,4,611,196,1.2,12.2
Terrell Suggs,1326,ED,BLT,1,0,,,20.6,,,0,0,0,,3,75.1,62.5,77.6,64.3,44.8,,0,,,0,0,0,0.0,0,7,34,0,0,0,0,0,0,0.0,
Calvin Pace,1334,ED,NYJ,15,0,3.9,60.0,24.9,11.0,6.6,0,0,1,10.0,22,62.2,63.9,73.7,61.9,62.0,55.2,0,14,25.0,1,1,1,74.6,6,70,281,3,3,10,0,54,24,0.8,9.0
Charles Tillman,1351,CB,CAR,11,2,14.0,54.8,98.7,12.8,7.0,0,1,5,8.1,5,59.3,63.4,58.9,68.4,83.2,79.0,2,48,5.1,2,5,2,72.7,34,456,462,5,35,62,1,491,130,1.1,14.4
Rashean Mathis,1355,CB,DET,7,2,8.3,80.0,99.2,7.4,6.0,0,0,3,7.5,11,62.5,63.6,85.9,54.7,64.7,68.8,1,50,7.7,2,2,1,107.6,32,248,250,9,22,40,1,413,173,1.7,12.9
Cory Redding,1381,DI,ARZ,11,0,,,0.9,,,1,0,0,,1,68.1,67.1,21.2,55.2,64.9,26.5,1,,100.0,1,0,2,0.0,0,1,116,0,0,0,0,0,0,0.0,
Robert Mathis,1447,ED,IND,14,0,1.5,50.0,12.3,39.0,19.5,0,0,0,0.0,14,87.0,66.0,47.8,62.3,51.9,52.8,0,40,0.0,0,0,3,95.8,1,43,351,7,2,2,0,40,38,1.0,40.0
Chris Clemons,1585,ED,JAX,15,1,-0.7,66.7,3.1,6.5,4.3,0,0,0,0.0,15,52.1,42.1,40.7,52.4,40.1,32.4,0,14,40.0,2,0,5,91.0,2,14,453,4,2,3,0,24,22,1.8,12.0
Cullen Jenkins,1637,DI,NYG,15,1,6.5,50.0,2.7,13.0,6.5,0,0,0,0.0,21,63.9,65.0,58.1,65.5,60.7,67.0,0,18,16.7,1,0,3,81.3,1,13,488,5,4,2,0,18,9,1.4,18.0
DeAngelo Hall,1729,CB,WAS,10,2,14.2,64.0,99.6,16.4,10.5,0,0,1,4.0,32,60.0,58.5,0.0,60.0,59.6,78.4,0,40,8.8,3,1,2,118.1,16,277,278,7,29,25,2,216,26,0.8,13.5
Jason Babin,1748,ED,BLT,2,0,-3.0,100.0,11.1,3.0,3.0,0,0,0,0.0,3,40.1,28.1,0.0,53.5,61.2,27.7,0,16,100.0,1,0,3,118.8,1,3,27,0,0,1,0,16,19,5.3,16.0
Karlos Dansby,1754,LB,CLV,15,3,3.2,75.0,86.3,13.7,10.3,1,1,0,0.0,8,79.4,74.4,55.0,63.7,64.3,76.3,3,27,6.1,2,0,2,64.8,33,478,554,12,28,44,0,302,242,0.7,9.2
Daryl Smith,1760,LB,BLT,15,5,5.5,82.4,87.7,10.7,8.8,0,1,2,3.9,3,54.1,63.7,90.0,58.3,73.0,50.9,1,35,22.9,11,2,0,99.2,42,484,552,13,32,51,1,418,212,0.9,10.0
Dwan Edwards,1772,DI,CAR,11,0,5.0,0.0,1.9,,5.0,0,0,0,0.0,5,67.0,50.7,85.3,51.0,43.5,73.2,0,,0.0,0,0,0,39.6,0,5,262,3,3,1,0,0,0,0.0,
Randy Starks,1792,DI,CLV,14,0,,,1.2,,,1,0,0,,8,49.6,63.9,35.5,62.3,69.1,49.6,0,,50.0,2,0,3,0.0,0,3,259,2,2,0,0,0,0,0.0,
Will Allen,1832,S,PIT,12,4,7.4,69.6,94.9,13.5,9.4,0,2,4,8.7,25,62.6,67.8,60.8,77.3,72.3,46.0,1,75,11.8,4,4,1,131.2,32,448,472,13,26,46,7,448,239,1.0,14.0
Jared Allen,1847,ED,CAR,14,0,3.0,40.0,5.6,10.5,4.2,0,0,0,0.0,5,60.0,58.5,70.7,58.0,58.0,72.7,1,9,0.0,0,0,2,9.2,2,22,390,5,5,5,0,16,17,0.8,8.0
