player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Carlos Hyde,8692,HB,SF,1,26,7,2,20.8,35,0,168,0,0,7,86,82.7,6,11,28,0,4,79.5,90.9,75.0,,79.4,65.9,90.0,60.0,18,0,14,2,16,32,0,0,2,28,2,168,86,3.31,6.5,0.88,22
Alfred Morris,7165,HB,WAS,1,25,1,0,0.0,0,0,121,0,0,1,57,9.1,4,6,32,0,8,78.6,68.8,73.7,,65.0,52.7,68.6,60.0,14,0,0,0,12,28,0,0,0,25,0,121,57,2.28,4.8,0.0,16
Matt Forte,4358,HB,CHI,1,24,5,3,46.1,65,0,141,1,0,5,68,48.9,3,7,6,0,9,78.8,66.5,78.7,,79.6,56.8,68.5,60.0,23,0,25,5,32,26,0,0,8,29,1,141,68,2.83,5.9,0.78,15
DeAngelo Williams,2972,HB,PIT,1,21,8,2,36.2,46,0,127,0,0,8,81,140.3,5,6,25,0,9,78.3,82.9,77.5,,76.2,50.5,87.9,,28,0,5,1,32,24,0,0,1,22,0,127,81,3.86,6.0,0.16,10
Chris Ivory,6007,HB,NYJ,1,20,4,1,20.9,19,0,91,0,0,4,64,61.0,4,5,22,0,7,77.3,65.4,72.9,,78.3,72.4,62.5,60.0,19,0,9,1,5,21,0,0,1,21,2,91,64,3.2,4.6,1.8,13
Tevin Coleman,9506,HB,ATL,1,20,2,1,25.0,20,0,80,0,0,2,41,20.5,2,2,2,0,3,77.4,59.6,73.8,,72.1,53.5,59.6,60.0,20,0,0,0,10,24,0,0,1,20,0,80,41,2.05,4.0,0.0,15
Eddie Lacy,7842,HB,GB,1,19,2,2,36.5,31,0,85,0,0,2,48,24.1,2,5,12,0,7,77.4,68.2,76.8,,81.5,61.2,67.0,60.0,16,0,14,2,14,22,0,0,3,21,1,85,48,2.53,4.5,1.0,12
Jeremy Hill,8690,HB,CIN,1,19,4,0,0.0,0,0,63,0,0,4,28,31.0,2,4,7,0,5,76.8,74.2,74.5,,,51.4,76.2,60.0,11,0,0,0,13,20,0,0,0,19,2,63,28,1.47,3.3,0.0,14
Marshawn Lynch,3628,HB,SEA,1,17,5,1,32.9,24,0,68,0,1,5,38,61.0,3,6,29,0,1,77.5,73.4,79.9,,45.5,65.2,76.4,60.0,24,0,31,5,35,21,5,1,7,22,0,73,39,2.17,4.1,0.89,16
Jonathan Stewart,4327,HB,CAR,1,18,4,1,39.3,22,0,56,0,1,4,23,29.0,1,2,5,0,10,77.2,58.7,76.6,,80.2,71.6,52.3,68.2,22,0,25,4,18,26,0,0,4,22,0,56,23,1.28,3.1,1.39,8
LeSean McCoy,4976,HB,BUF,1,17,4,1,39.0,16,0,41,0,0,4,21,24.7,1,3,4,0,12,77.6,66.0,76.2,,22.9,73.7,64.4,60.0,16,0,46,3,15,24,0,0,4,20,0,41,21,1.24,2.4,3.07,4
Jamaal Charles,4387,HB,KC,1,16,1,0,0.0,0,0,57,0,0,1,19,5.7,3,3,16,0,10,77.2,72.9,77.9,,82.5,90.3,61.9,60.0,13,0,46,5,19,23,0,0,7,21,0,57,19,1.19,3.6,2.42,5
Joseph Randle,7933,HB,DAL,1,16,0,1,23.1,15,0,65,0,0,0,33,0.0,1,2,9,1,6,24.9,62.1,71.8,,51.4,90.2,56.5,60.0,15,0,42,3,7,16,0,0,3,19,0,65,33,2.06,4.1,6.0,10
Benny Cunningham,8283,HB,SL,1,16,4,0,0.0,0,0,45,1,3,4,32,70.0,0,3,26,0,1,77.1,69.9,74.7,,75.3,75.7,67.0,60.0,9,0,77,4,26,19,0,0,6,20,0,45,32,2.0,2.8,2.96,15
Dion Lewis,6301,HB,NE,1,15,4,0,0.0,0,0,69,1,3,4,49,120.4,2,2,19,1,12,25.2,64.4,75.3,,77.1,51.0,69.6,60.0,13,0,51,4,21,19,0,0,5,19,0,69,49,3.27,4.6,2.43,3
Justin Forsett,4547,HB,BLT,1,14,0,1,46.5,20,0,43,0,0,0,21,0.0,1,4,3,0,3,76.0,46.1,76.5,,15.2,62.7,50.4,,20,0,13,4,19,14,0,0,5,18,0,43,21,1.5,3.1,0.68,11
Melvin Gordon III,9448,HB,SD,1,14,3,0,0.0,0,0,51,0,1,3,30,50.4,1,3,27,1,2,24.5,61.3,75.3,,55.0,75.3,57.7,60.0,14,0,16,3,14,17,0,0,3,17,0,51,30,2.14,3.6,1.14,9
Cam Newton,6153,QB,CAR,1,12,1,0,0.0,0,0,23,0,0,1,15,10.4,1,3,5,0,2,81.0,63.0,79.3,67.5,,,50.8,60.0,10,0,0,0,0,33,12,2,0,12,0,35,30,2.14,2.5,,5
Lamar Miller,7097,HB,MIA,1,13,4,1,32.1,17,0,53,0,0,4,27,59.3,2,4,17,0,4,74.9,68.3,80.7,,73.1,56.4,68.6,64.6,17,0,22,1,25,17,0,0,2,14,0,53,27,2.08,4.1,0.88,9
Danny Woodhead,4914,HB,SD,1,13,0,0,0.0,0,0,43,1,1,0,17,8.2,1,2,27,0,2,75.0,50.1,79.9,,39.0,49.4,52.3,,10,0,19,3,25,12,0,0,5,16,2,43,17,1.31,3.3,0.76,4
Rashad Jennings,5174,HB,NYG,1,13,1,1,51.9,27,0,52,1,0,1,43,25.4,1,3,21,0,5,74.7,53.8,72.9,,79.0,25.9,59.7,,27,0,0,0,3,13,0,0,1,13,1,52,43,3.31,4.0,0.0,6
Terrance West,8729,HB,TEN,1,13,3,0,0.0,0,0,41,0,0,3,27,47.9,1,2,31,1,9,23.4,55.9,71.0,,76.4,58.7,56.1,60.0,12,0,0,0,2,16,0,0,0,13,0,41,27,2.08,3.2,0.0,4
C.J. Anderson,8101,HB,DEN,1,12,1,0,0.0,0,0,29,0,1,1,19,19.8,0,1,10,0,1,75.2,60.2,77.5,,79.3,63.2,55.4,60.0,6,0,19,4,25,13,0,0,7,16,0,29,19,1.58,2.4,0.76,11
Andre Ellington,7968,HB,ARZ,1,12,1,2,49.3,34,0,69,0,0,1,29,18.6,4,5,1,1,8,23.1,53.3,74.7,,17.6,51.4,57.6,,18,0,7,1,21,13,0,0,1,13,1,69,29,2.42,5.8,0.33,4
Bilal Powell,6278,HB,NYJ,1,12,1,1,33.9,21,0,62,0,0,1,32,19.0,1,4,22,0,0,74.8,61.0,75.8,,79.5,60.0,60.2,60.0,21,0,16,2,11,15,0,0,3,14,0,62,32,2.67,5.2,1.45,11
Bishop Sankey,8689,HB,TEN,1,12,3,2,43.2,32,0,74,1,0,3,56,100.0,3,5,31,1,5,23.8,52.7,71.8,,68.4,42.5,56.7,,16,0,12,2,7,13,0,0,3,14,1,74,56,4.67,6.2,1.71,7
T.J. Yeldon,9469,HB,JAX,1,12,3,0,0.0,0,0,51,0,1,3,26,57.8,3,3,15,0,5,75.0,63.2,76.4,,84.2,69.2,58.1,60.0,14,0,16,3,19,13,0,0,4,15,0,51,26,2.17,4.3,0.84,7
Isaiah Crowell,9295,HB,CLV,1,12,0,0,0.0,0,0,20,0,0,0,12,0.0,0,1,8,0,1,75.2,62.2,74.0,,83.0,59.7,57.6,72.3,8,1,13,2,14,14,0,0,2,14,0,20,12,1.0,1.7,0.93,11
Ronnie Hillman,7069,HB,DEN,1,12,0,0,0.0,0,0,41,0,0,0,21,0.0,1,3,10,0,3,74.3,60.1,72.2,,78.3,57.0,59.9,,11,0,0,0,2,12,0,0,0,12,0,41,21,1.75,3.4,0.0,9
