player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Russell Wilson,7077,QB,SEA,1,2.56,2.19,2.95,4.75,53,29,82.8,29,29,4.7,1.78,0,0,0.0,82.8,24,7,0.0,31,58.5,0,8,,77.7,52.4,76.4,52.8,,,0,1,32,28.6,91.2,6.5,2,0,0,0,1,2,6.3,191,6.6,72.7,11,12,6.1,3.67,0,0,0.0,66.7,8,16,0.0,22,41.5,0,4,,75.6,64.9,75.0,62.5,,64.5,0,0,22,25.0,78.5,18.2,4,6,0,1,0,0,0.0,60,5.0
Andrew Luck,7007,QB,IND,1,2.41,2.24,4.3,4.6,53,14,63.0,27,29,5.1,1.8,0,0,0.0,58.6,17,7,0.0,29,54.7,0,9,,77.6,60.7,76.3,60.5,,,1,0,31,0.0,79.0,0.0,0,0,0,1,1,1,3.2,115,4.0,47.4,19,20,14.7,3.15,0,1,4.3,45.0,9,10,0.0,24,45.3,0,9,,77.0,69.2,75.9,64.9,,72.1,0,2,28,20.0,43.3,8.3,2,2,0,1,1,2,7.1,128,6.4
Sam Bradford,5526,QB,PHI,1,2.27,2.27,,,52,24,82.4,34,37,4.1,1.95,1,0,0.0,70.3,26,7,7.1,37,71.2,2,10,,78.9,61.0,77.1,60.8,,,2,1,39,0.0,71.2,0.0,0,0,0,0,0,0,0.0,194,5.2,78.6,14,15,8.4,3.05,0,1,6.7,66.7,10,4,9.1,15,28.8,1,7,,73.5,63.9,73.7,63.4,,,1,1,15,0.0,91.5,0.0,0,0,0,0,1,1,6.7,142,9.5
Drew Brees,802,QB,NO,1,2.61,2.48,5.9,,50,20,82.1,28,31,2.6,1.88,2,1,3.1,74.2,23,5,0.0,31,62.0,0,10,,77.7,72.8,76.4,71.7,,,0,0,32,0.0,106.7,0.0,0,0,0,1,1,0,0.0,238,7.7,70.6,17,17,10.2,3.8,0,0,0.0,41.2,7,5,41.7,19,38.0,5,2,,75.1,70.7,74.7,69.7,,,0,1,20,40.0,40.6,10.5,2,0,0,0,0,0,0.0,117,6.9
Blake Bortles,8638,QB,JAX,1,2.42,2.26,2.96,4.3,46,15,71.4,21,21,3.6,1.69,0,0,0.0,66.7,14,2,6.7,21,45.7,1,8,,75.4,40.4,74.9,41.8,,,0,1,21,0.0,71.5,0.0,0,0,0,0,1,2,9.5,90,4.3,61.1,18,18,14.0,3.04,0,0,0.0,44.4,8,13,27.3,25,54.3,3,5,,76.6,77.9,75.6,73.4,,71.4,0,1,26,38.5,37.5,20.0,5,2,0,0,0,0,0.0,93,5.2
Tony Romo,1693,QB,DAL,1,2.4,2.4,,,45,9,76.2,21,21,3.7,1.78,0,0,0.0,71.4,15,1,6.3,21,46.7,1,10,,75.6,53.3,75.0,53.7,,,0,1,22,0.0,87.0,0.0,0,0,0,0,1,0,0.0,148,7.0,91.7,24,24,5.1,2.93,0,0,0.0,87.5,21,10,4.5,24,53.3,1,11,,76.3,81.5,75.5,79.7,,,0,1,25,0.0,113.2,0.0,0,0,0,0,2,0,0.0,208,8.7
Peyton Manning,327,QB,DEN,1,2.33,2.27,2.95,,44,10,66.7,27,28,8.1,1.9,1,0,0.0,64.3,18,4,0.0,29,65.9,0,9,,77.4,55.2,76.1,55.4,,,0,1,30,25.0,60.4,3.4,1,0,0,0,0,1,3.3,132,4.7,66.7,9,12,7.8,3.18,1,0,0.0,50.0,6,9,0.0,15,34.1,0,2,,73.5,51.2,73.7,51.7,,,0,0,15,33.3,58.7,20.0,3,0,0,2,0,0,0.0,43,3.6
Philip Rivers,1725,QB,SD,1,2.05,2.0,4.1,,44,27,93.9,33,33,2.6,1.81,0,1,3.0,87.9,29,9,6.5,33,75.0,2,16,,77.9,66.8,76.5,66.1,,,0,1,33,0.0,116.2,0.0,0,0,0,0,2,1,3.0,332,10.1,85.7,7,8,9.6,3.06,0,0,0.0,62.5,5,8,16.7,10,22.7,1,4,,71.4,75.0,72.3,73.7,,,0,1,10,25.0,51.6,20.0,2,0,0,1,0,0,0.0,71,8.9
Jameis Winston,9434,QB,TB,1,2.83,2.46,3.1,5.06,42,30,65.0,20,21,6.2,1.93,0,0,0.0,61.9,13,6,0.0,22,52.4,0,9,,24.6,29.4,75.3,30.7,,,0,2,24,16.7,66.1,4.5,1,0,0,1,1,3,12.5,182,8.7,33.3,9,12,11.7,3.82,0,0,0.0,25.0,3,13,0.0,20,47.6,0,3,,75.6,28.8,75.0,29.4,,50.7,0,0,22,23.1,67.4,15.0,3,5,0,3,1,2,9.1,28,2.3
Teddy Bridgewater,8667,QB,MIN,1,3.3,3.17,3.76,5.0,41,18,90.9,11,11,3.2,1.95,0,0,0.0,90.9,10,2,0.0,12,29.3,0,4,,72.4,56.0,72.9,56.2,,,0,0,12,50.0,93.6,8.3,1,0,0,0,0,0,0.0,71,6.5,70.0,20,21,12.4,4.0,0,0,0.0,61.9,13,13,7.1,28,68.3,1,9,,77.2,59.6,76.0,57.1,,66.5,0,1,29,30.8,65.6,14.3,4,3,0,1,0,2,6.9,160,7.6
Ben Roethlisberger,1732,QB,PIT,1,2.84,2.85,2.65,,40,25,82.4,17,17,9.5,1.82,0,2,11.1,76.5,13,2,7.1,17,42.5,1,7,,74.5,82.9,74.3,80.8,,,0,0,18,0.0,106.3,0.0,0,0,0,0,0,0,0.0,165,9.7,70.0,20,21,14.6,3.59,0,3,13.0,61.9,13,11,7.1,23,57.5,1,8,,76.3,78.9,75.5,77.2,,,0,1,25,18.2,86.6,8.7,2,0,0,1,1,1,4.0,186,8.9
Jay Cutler,2956,QB,CHI,1,2.68,2.47,3.05,4.9,40,6,57.9,19,19,6.4,1.84,0,0,0.0,52.6,10,7,9.1,19,47.5,1,4,,74.8,44.8,74.5,45.9,,,0,1,19,0.0,37.6,0.0,0,0,0,0,0,1,5.3,62,3.3,56.3,16,16,11.3,3.45,0,0,0.0,50.0,8,11,11.1,21,52.5,1,10,,75.9,68.2,75.2,63.9,,70.6,0,0,23,18.2,107.0,9.5,2,3,0,0,1,0,0.0,163,10.2
Eli Manning,1722,QB,NYG,1,2.38,2.32,3.3,3.7,38,21,91.3,23,24,5.8,1.92,0,1,4.2,70.8,17,4,19.0,24,63.2,4,8,,76.1,84.5,75.3,82.5,,,0,0,24,0.0,88.7,0.0,0,0,0,1,0,0,0.0,159,6.6,50.0,10,12,5.6,3.17,0,0,0.0,25.0,3,8,40.0,14,36.8,2,3,,73.2,45.8,73.5,43.4,,63.3,0,0,14,12.5,39.6,7.1,1,1,0,2,0,1,7.1,34,2.8
