player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Julio Jones,6158,WR,ATL,3,43,0,2,0,-2.7,2,100.0,,0,0,0.0,0,3,0,91.6,96.5,0,13,0.0,0,12,7,83.3,10,128.3,7,16.3,1,37,56,8.0,5.3,3.7,5.1,2,81.8,,0,0,0.0,0,5,0,89.7,92.5,0,45,0.0,0,31,9,80.6,25,139.8,11,25.6,1,113,81,9.0,12.6,4.52
Julian Edelman,5156,WR,NE,3,41,0,19,0,-2.2,1,100.0,,0,0,0.0,0,1,0,90.6,92.9,0,19,0.0,0,10,5,100.0,10,100.0,5,12.2,0,40,51,10.2,8.0,4.0,5.5,0,78.3,,0,0,10.0,2,6,0,53.6,77.4,0,19,2.9,2,70,18,90.0,63,105.3,23,56.1,1,133,63,3.5,7.4,2.11
DeAndre Hopkins,7808,WR,HST,3,39,0,13,0,,0,,,0,0,,0,0,0,,45.2,0,0,0.0,0,13,0,100.0,13,0.0,0,0.0,0,0,0,,,0.0,6.3,0,75.0,,0,0,25.0,1,1,0,62.7,74.4,0,17,0.0,0,29,3,100.0,29,96.9,4,10.3,0,31,7,2.3,10.3,1.07
Keenan Allen,7857,WR,SD,3,39,0,27,0,,0,,,0,0,,0,0,0,78.7,45.1,0,0,0.0,0,21,0,95.2,20,0.0,0,0.0,0,0,0,,,0.0,2.2,3,100.0,,0,0,0.0,0,2,0,64.0,76.1,0,21,0.0,0,18,5,100.0,18,110.0,5,12.8,0,52,41,8.2,10.4,2.89
Steve Smith,837,WR,BLT,3,39,0,3,0,-3.8,1,75.0,,0,0,0.0,0,0,0,88.7,76.5,0,7,0.0,0,8,3,87.5,7,81.3,4,10.3,0,16,29,9.7,5.3,2.29,7.5,3,76.9,,0,0,0.0,0,6,1,58.3,83.0,0,50,0.0,0,35,10,91.4,32,143.9,13,33.3,1,164,91,9.1,16.4,5.13
Demaryius Thomas,5547,WR,DEN,3,37,0,10,0,-0.3,1,83.3,,0,0,0.0,0,1,0,90.6,74.4,0,17,0.0,0,9,5,100.0,9,88.2,6,16.2,0,31,32,6.4,6.2,3.44,9.0,0,55.6,,0,0,16.7,1,4,0,77.8,72.8,1,20,0.0,0,29,5,100.0,29,38.4,9,24.3,0,64,13,2.6,12.8,2.21
Antonio Brown,5718,WR,PIT,3,35,0,25,0,-2.0,2,100.0,,0,0,0.0,0,1,0,90.6,89.9,0,17,0.0,0,16,5,93.8,15,94.2,5,14.3,0,33,43,8.6,6.6,2.2,12.3,0,75.0,,0,0,0.0,0,1,0,66.6,92.7,0,37,0.0,0,20,3,70.0,14,112.5,4,11.4,0,46,17,5.7,15.3,3.29
Emmanuel Sanders,5606,WR,DEN,3,33,0,10,0,,0,,,0,0,,0,0,0,,44.4,0,0,0.0,0,10,0,100.0,10,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,,0,0,0.0,0,2,0,72.8,74.8,0,13,0.0,0,24,2,100.0,24,106.3,2,6.1,0,19,7,3.5,9.5,0.79
Calvin Johnson,3618,WR,DET,3,33,0,11,0,,0,,,0,0,,0,0,0,,45.0,0,0,0.0,0,15,0,100.0,15,0.0,0,0.0,0,0,0,,,0.0,9.5,0,66.7,,0,0,0.0,0,2,0,67.3,72.4,0,28,0.0,0,17,4,100.0,17,91.7,6,18.2,0,49,22,5.5,12.3,2.88
Michael Crabtree,4933,WR,OAK,3,32,0,23,0,,0,,,0,0,,0,0,0,,45.2,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,5.9,4,81.8,,0,0,0.0,0,7,0,88.3,84.0,1,12,0.0,0,35,9,97.1,34,53.0,11,34.4,0,64,34,3.8,7.1,1.88
Jarvis Landry,8698,WR,MIA,3,32,0,17,0,-3.5,2,83.3,,0,0,0.0,0,1,0,90.6,97.0,0,11,0.0,0,9,5,100.0,9,84.0,6,18.8,0,25,43,8.6,5.0,2.78,7.3,3,72.7,,0,0,5.9,1,8,0,75.3,87.1,1,36,0.0,0,95,16,96.8,92,78.6,22,68.8,0,184,73,4.6,11.5,2.0
Brandon Marshall,3064,WR,NYJ,3,32,0,22,0,-4.0,0,100.0,,0,0,0.0,0,0,1,78.7,26.5,0,-8,0.0,0,12,1,91.7,11,79.2,1,3.1,0,-8,-4,-4.0,-8.0,-0.73,14.1,0,57.1,,0,0,20.0,1,1,2,43.4,65.6,0,15,0.0,0,31,4,100.0,31,65.2,7,21.9,0,26,-3,-0.8,6.5,0.84
Jordan Matthews,8677,WR,PHI,3,29,0,24,0,-3.0,2,100.0,,0,0,0.0,0,1,0,88.7,70.4,0,19,0.0,0,12,3,91.7,11,104.2,3,10.3,0,27,36,12.0,9.0,2.45,7.3,3,75.0,,0,0,12.5,3,12,0,36.7,67.6,1,32,0.0,0,112,21,92.9,104,95.2,28,96.6,1,226,121,5.8,10.8,2.17
Larry Fitzgerald,1724,WR,ARZ,3,28,0,1,0,-5.0,0,100.0,,0,0,0.0,0,1,0,78.7,84.9,0,8,0.0,0,5,1,100.0,5,139.6,1,3.6,1,8,13,13.0,8.0,1.6,11.1,0,100.0,,0,0,0.0,0,9,0,85.3,87.3,0,29,0.0,0,59,11,89.8,53,149.1,11,39.3,1,171,49,4.5,15.5,3.23
Amari Cooper,9437,WR,OAK,3,28,0,23,0,-3.4,1,80.0,,0,0,20.0,1,0,0,28.1,58.7,0,8,0.0,0,7,4,100.0,7,80.8,5,17.9,0,17,30,7.5,4.3,2.43,4.0,2,83.3,,0,0,0.0,0,1,0,56.9,72.9,0,40,0.0,0,14,5,100.0,14,106.3,6,21.4,0,57,48,9.6,11.4,4.07
