player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Phil Dawson,422,K,SF,1,1,1,4.38,47.0,48.0,1.0,0,0,0,0,28,60.0,0,48,0,0,100.0,1,1,1,4.38,47,0,48
Shane Lechler,673,P,HST,12,74,74,4.43,38.04,46.61,10.1,0,0,8,11,13,64.4,24,64,2,0,58.1,434,43,74,327.89,2815,10,3449
Mike Scifres,1458,P,SD,12,52,52,4.27,37.83,45.15,11.3,0,0,5,10,27,49.8,11,68,4,0,61.5,361,32,53,221.95,1967,1,2348
Andy Lee,1906,P,CLV,12,58,58,4.45,40.43,47.29,9.9,0,0,4,12,8,70.1,23,67,6,0,55.2,318,32,58,258.09,2345,4,2743
Donnie Jones,1939,P,PHI,12,66,66,4.42,42.82,47.12,4.4,0,1,9,16,24,64.6,25,64,1,1,50.0,144,33,69,291.89,2826,7,3110
Dustin Colquitt,2316,P,KC,12,56,56,4.46,42.84,46.16,5.7,0,0,10,13,16,82.7,27,62,8,0,39.3,126,22,56,249.91,2399,3,2585
Nick Novak,2726,K,HST,1,1,1,4.27,16.0,36.0,,0,0,0,0,13,60.0,0,36,0,0,0.0,0,0,1,4.27,16,1,36
Sam Koch,3148,P,BLT,12,54,54,4.34,44.61,48.04,5.7,0,0,7,11,3,88.4,21,67,5,0,53.7,165,29,54,234.42,2409,1,2594
Jon Ryan,3493,P,SEA,12,57,57,4.42,37.46,45.07,13.7,0,0,6,18,29,71.3,24,69,4,0,40.4,314,23,57,252.11,2135,6,2569
Steve Weatherford,3552,P,NYJ,1,4,4,4.1,30.75,40.25,12.7,0,0,1,0,22,53.0,0,50,0,0,75.0,38,3,4,16.38,123,0,161
Brandon Fields,3841,P,NO,2,10,10,3.99,35.1,41.2,10.5,0,0,2,1,20,54.4,4,57,3,0,20.0,21,2,10,39.87,351,2,412
Brett Kern,4580,P,TEN,12,62,62,4.47,38.47,46.56,15.5,0,0,6,16,31,83.2,24,61,7,0,50.0,482,31,62,276.95,2385,1,2887
Kevin Huber,5066,P,CIN,12,46,46,4.45,41.11,44.7,8.3,0,0,11,13,7,64.1,19,67,4,0,32.6,125,15,47,204.65,1891,2,2056
Thomas Morstead,5088,P,NO,10,44,44,4.45,41.16,45.45,8.0,0,0,2,9,20,71.5,17,58,11,0,47.7,169,21,44,195.69,1811,1,2000
Pat McAfee,5146,P,IND,12,61,61,4.69,42.79,48.49,9.6,0,0,7,16,14,89.9,21,61,5,0,45.9,268,28,61,286.38,2610,4,2958
Britton Colquitt,5192,P,DEN,12,66,66,4.35,39.23,43.29,7.5,0,0,15,12,10,68.2,19,62,10,0,37.9,188,25,66,287.13,2589,4,2857
Tim Masthay,5510,P,GB,12,61,61,4.22,38.39,42.21,5.1,0,0,4,9,12,53.0,17,62,13,0,49.2,153,30,61,257.41,2342,4,2575
Matt Bosher,6344,P,ATL,11,45,45,4.51,42.16,48.71,9.8,0,0,3,12,2,77.6,16,69,2,0,57.8,255,26,46,202.75,1897,2,2192
Spencer Lanning,6566,P,CHI,1,3,3,3.97,36.0,45.67,9.7,0,0,0,0,6,60.1,1,52,0,0,100.0,29,3,3,11.9,108,0,137
Chris Jones,6798,P,DAL,12,49,49,4.48,42.22,45.0,8.0,0,0,5,19,9,82.1,22,60,7,0,34.7,136,17,49,219.48,2069,0,2205
Bryan Anger,7072,P,JAX,12,61,61,4.47,37.72,46.23,12.9,0,0,4,18,15,69.6,22,63,1,0,55.7,439,34,61,272.73,2301,4,2820
Brad Nortman,7192,P,CAR,12,54,54,4.45,38.96,44.96,8.4,0,0,1,14,5,69.0,16,65,6,1,53.7,244,29,54,240.3,2104,4,2428
