player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,12,7,0,60.0,0,1,23,91.7,90.4,84.7,55.7,61.5,58.2,0,0,5,40,13.0,9,3,0,45.6,9,0,109,8,543,819,13,0,0,13,0,639,806,3,273,50,8,53,15,0,0,119,54,13.2
Julius Peppers,1010,ED,GB,12,6,0,100.0,1,2,12,50.4,62.6,49.8,72.3,51.3,46.3,8,28,0,14,15.4,4,0,3,142.7,4,8,16,1,37,547,524,5,45,419,55,0,23,339,171,6,18,16,4,44,1,35,32,8.8
Dwight Freeney,1019,ED,ARZ,7,1,0,100.0,0,1,1,46.0,60.9,86.5,62.2,60.9,73.6,3,14,0,41,50.0,1,0,0,118.8,1,3,6,0,8,167,160,0,3,155,2,0,7,138,21,1,3,0,1,20,0,41,42,41.0
James Harrison,1251,ED,PIT,11,6,1,62.5,0,2,25,77.9,82.7,47.0,84.0,65.1,68.3,7,21,0,15,11.5,3,1,2,69.3,5,5,40,0,64,425,364,0,0,363,1,0,61,205,156,20,18,17,8,33,0,29,34,5.8
Terence Newman,1321,CB,MIN,12,7,0,56.9,0,0,18,67.5,71.4,85.8,,82.4,74.0,0,0,3,55,6.5,3,7,4,69.1,41,0,72,629,454,716,6,0,0,6,0,3,710,0,262,6,9,36,72,0,2,478,146,11.7
Kevin Williams,1325,DI,NO,12,5,1,,0,2,20,57.0,72.2,54.3,66.2,73.7,64.8,2,17,0,,8.3,2,0,2,0.0,0,0,0,0,0,427,427,11,401,1,14,0,0,205,222,0,16,17,0,19,0,0,0,
Terrell Suggs,1326,ED,BLT,1,0,0,,0,0,3,75.1,62.5,77.6,64.3,44.8,,0,1,0,,,0,0,0,0.0,0,0,0,0,7,48,48,0,0,48,0,0,0,27,14,0,0,0,0,1,0,0,0,
Calvin Pace,1334,ED,NYJ,12,0,0,50.0,0,1,22,70.0,66.4,88.2,61.5,60.4,49.4,4,8,0,12,16.7,2,1,0,59.9,4,2,7,0,59,395,374,0,0,371,3,1,21,183,153,13,8,10,8,14,0,31,23,7.8
Charles Tillman,1351,CB,CAR,9,6,0,53.7,0,1,5,58.7,62.0,87.3,49.4,77.8,73.7,0,0,1,48,7.1,3,5,1,71.3,29,0,34,470,374,535,5,0,0,5,0,3,530,6,155,22,10,33,54,0,0,417,112,14.4
Rashean Mathis,1355,CB,DET,7,2,0,80.0,0,0,11,62.5,63.6,85.9,54.7,64.7,68.8,0,0,1,50,11.1,4,2,1,107.6,32,0,28,388,248,434,4,0,0,4,0,1,430,2,184,13,13,30,40,0,1,413,173,12.9
Cory Redding,1381,DI,ARZ,9,2,0,,1,0,1,67.3,61.1,12.7,54.6,62.4,24.0,0,5,1,,33.3,2,0,2,0.0,0,0,1,0,0,147,146,20,113,7,6,0,1,100,47,0,2,2,0,5,0,0,0,
Robert Mathis,1447,ED,IND,11,0,0,100.0,0,0,14,61.9,56.0,52.6,61.1,47.2,64.8,7,13,0,40,12.5,1,0,2,118.8,1,4,11,0,36,380,362,0,0,362,0,0,18,238,106,7,10,7,1,24,0,40,38,40.0
Chris Clemons,1585,ED,JAX,12,3,1,66.7,0,1,15,55.6,37.6,42.4,47.9,36.4,28.2,5,10,0,14,35.7,5,0,4,91.0,2,2,1,0,11,500,499,0,0,494,5,0,1,361,128,0,7,6,3,17,0,24,22,12.0
Colin Cole,1589,DI,CAR,2,1,0,,0,0,5,,57.9,78.4,56.8,58.6,67.3,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,49,49,13,31,0,5,0,0,34,15,0,0,0,0,1,0,0,0,
Cullen Jenkins,1637,DI,NYG,12,4,1,,0,0,21,61.2,66.0,76.0,64.0,62.4,64.5,5,18,0,,16.7,3,0,2,0.0,0,3,4,0,10,556,551,128,295,80,48,0,5,387,159,1,10,11,0,26,0,0,0,
DeAngelo Hall,1729,CB,WAS,7,5,0,60.0,0,0,32,70.7,66.0,0.0,60.0,50.5,90.0,0,0,0,40,0.0,0,1,2,108.5,9,0,16,131,171,247,6,0,0,6,0,78,241,1,75,16,7,22,15,0,1,123,10,13.7
Vince Wilfork,1742,DI,HST,12,4,0,,0,0,13,60.0,72.5,69.7,55.9,77.6,63.9,1,6,0,,6.3,1,0,1,0.0,0,0,1,0,0,439,438,217,212,0,9,0,1,214,225,0,11,11,0,7,0,0,0,
Jason Babin,1748,ED,BLT,2,0,0,100.0,0,0,3,40.1,28.1,0.0,53.5,61.2,27.7,1,1,0,16,100.0,1,0,3,118.8,1,0,0,0,3,29,29,0,0,29,0,0,0,24,2,0,0,0,1,2,0,16,19,16.0
Karlos Dansby,1754,LB,CLV,12,9,1,73.7,0,1,8,81.1,76.4,65.3,62.6,65.1,76.2,1,4,3,27,6.7,6,0,1,59.9,28,0,674,2,382,795,73,0,0,73,0,10,722,62,351,36,41,75,38,5,0,267,226,9.5
Daryl Smith,1760,LB,BLT,12,16,0,83.3,0,0,3,59.5,68.2,89.3,60.1,74.7,52.5,1,6,0,35,14.3,14,2,0,106.8,35,3,721,2,408,759,14,0,0,14,0,3,745,62,289,19,34,68,42,10,1,325,165,9.3
Dwan Edwards,1772,DI,CAR,8,2,0,0.0,0,0,5,66.0,49.2,84.0,51.2,41.3,72.9,1,7,0,,0.0,0,0,0,39.6,0,1,1,0,4,254,252,14,150,0,88,0,2,193,57,0,6,5,1,9,0,0,0,
Randy Starks,1792,DI,CLV,11,3,0,,1,0,8,49.6,56.6,26.0,59.4,62.8,43.3,2,10,0,,17.4,4,0,3,0.0,0,1,6,0,3,354,348,26,244,3,75,0,6,199,152,0,14,16,0,13,0,0,0,
Will Allen,1832,S,PIT,9,5,0,67.6,0,1,25,59.4,61.7,51.5,71.9,63.7,36.9,0,2,1,75,19.4,13,2,1,124.2,25,2,150,18,321,533,27,0,0,27,0,234,506,17,195,103,24,49,37,4,5,333,193,13.3
Jared Allen,1847,ED,CAR,11,5,3,40.0,0,0,5,58.8,58.1,64.6,55.9,62.3,72.3,15,8,1,9,5.0,1,0,2,9.2,2,3,0,0,18,483,481,0,1,471,9,0,2,297,168,2,10,14,5,26,0,16,17,8.0
Antonio Smith,1856,DI,DEN,12,0,2,,1,0,10,60.0,57.6,62.3,60.7,52.7,50.6,5,17,0,,28.6,2,0,1,0.0,0,3,0,0,0,302,302,13,192,9,88,0,0,236,66,0,8,5,0,25,0,0,0,
Mike Adams,1972,S,IND,9,6,0,75.9,0,1,14,58.4,59.1,50.6,51.5,63.8,69.8,0,2,5,35,15.7,8,1,1,86.2,22,0,121,6,330,560,12,0,0,12,0,347,548,6,224,74,6,37,29,2,1,341,170,15.5
Adam Jones,2223,CB,CIN,11,5,0,67.3,1,1,7,80.6,79.8,26.6,83.1,71.4,66.7,0,0,2,24,11.9,7,3,2,75.7,35,1,21,592,425,630,9,0,0,9,0,2,621,0,205,6,19,47,52,1,1,339,120,9.7
Antrel Rolle,2225,S,CHI,7,2,0,86.7,0,0,6,65.3,68.6,79.9,57.7,71.3,74.1,0,1,0,35,10.3,4,1,0,98.1,13,0,53,9,234,388,1,0,0,1,0,300,387,2,152,25,14,33,15,1,0,113,42,8.7
DeMarcus Ware,2228,ED,DEN,7,2,0,100.0,1,1,10,65.0,82.5,4.8,90.3,64.4,81.9,9,14,0,12,0.0,0,0,4,80.6,3,7,4,0,25,283,277,0,0,277,0,0,6,160,98,2,11,10,3,30,0,10,10,3.3
Thomas Davis Sr.,2231,LB,CAR,12,13,0,72.9,0,3,5,79.6,75.4,64.1,69.7,59.3,73.6,3,9,3,29,11.1,9,1,1,84.9,43,5,604,3,444,760,63,0,0,63,0,12,697,81,235,77,37,59,59,17,3,372,239,8.7
Derrick Johnson,2232,LB,KC,12,11,0,61.9,0,1,16,82.5,87.7,70.9,52.7,88.4,68.5,1,7,1,19,11.8,11,6,2,62.7,26,4,738,3,465,804,41,0,0,41,0,0,763,63,276,22,44,71,42,12,0,191,178,7.3
Jonathan Babineaux,2276,DI,ATL,12,1,1,0.0,0,0,2,68.1,74.6,86.3,63.8,66.4,46.8,7,15,1,,9.1,2,0,0,0.0,0,0,0,0,13,409,409,29,276,6,98,0,0,293,103,0,15,19,1,22,0,0,0,
Justin Tuck,2291,DI,OAK,5,3,3,,0,0,23,65.2,67.5,84.0,60.3,64.8,60.7,5,3,0,,13.3,2,0,0,0.0,0,1,2,0,1,244,242,14,94,23,111,0,2,166,77,0,9,10,0,9,0,0,0,
Chris Canty,2349,DI,BLT,8,1,1,,0,0,3,63.1,76.4,84.0,62.7,76.2,74.9,3,8,0,,7.7,1,0,0,0.0,0,1,0,0,1,261,261,12,123,42,84,0,0,152,108,0,9,11,0,12,0,0,0,
Trent Cole,2363,ED,IND,11,7,2,80.0,1,1,14,66.8,66.0,37.1,61.8,70.2,44.2,6,20,0,14,15.4,4,0,3,90.0,4,1,7,0,35,433,414,1,60,341,12,0,19,243,155,11,14,15,5,27,0,28,27,7.0
C.J. Mosley,2408,DI,MIA,11,0,0,,0,0,17,60.0,53.3,54.6,57.5,53.4,71.8,3,4,0,,0.0,0,0,2,0.0,0,0,0,0,1,217,217,15,158,0,44,0,0,126,90,0,5,6,0,7,0,0,0,
Jay Ratliff,2441,DI,CHI,2,1,0,,0,0,6,,58.5,79.8,50.2,65.0,71.4,1,1,0,,0.0,0,0,0,0.0,0,0,2,0,0,78,76,4,42,0,30,0,2,47,31,0,2,4,0,2,0,0,0,
Lorenzo Alexander,2476,ED,OAK,1,0,0,,0,0,23,60.0,61.2,69.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,
Brandon Browner,2512,CB,NO,12,7,0,63.4,1,0,20,28.7,28.3,0.0,49.7,53.5,41.3,0,0,1,67,20.0,13,8,19,106.5,45,0,88,560,481,802,25,0,0,25,0,29,777,7,314,100,8,45,71,0,4,659,238,14.6
Ahmad Brooks,2945,ED,SF,10,5,0,100.0,1,0,28,57.2,48.1,10.0,49.1,59.9,29.9,3,20,0,17,28.1,9,1,7,101.8,7,4,16,0,90,544,496,0,4,489,3,1,48,232,222,31,17,18,7,27,0,59,53,8.4
Mario Williams,2946,ED,BUF,11,1,1,100.0,0,0,4,49.2,54.7,90.6,50.6,61.1,29.6,6,23,0,14,28.6,4,0,0,108.3,2,3,7,0,17,653,644,0,24,549,71,0,9,419,217,2,10,9,2,32,0,20,15,10.0
A.J. Hawk,2950,LB,CIN,12,4,0,73.3,0,0,7,56.9,60.9,77.9,67.1,63.0,61.5,0,0,0,18,12.0,3,1,0,91.8,11,1,161,0,105,221,14,0,0,14,0,0,207,5,111,46,9,18,15,1,0,103,78,9.4
Donte Whitner,2953,S,CLV,10,7,0,58.3,0,1,8,67.6,68.3,82.9,57.9,65.4,67.2,0,1,0,40,13.3,10,3,0,113.0,14,1,186,12,341,627,11,0,0,11,0,341,616,13,273,77,18,58,24,2,2,199,97,14.2
Haloti Ngata,2957,DI,DET,10,5,2,,0,0,11,58.4,69.1,70.4,65.2,68.2,65.3,4,15,0,,5.3,1,0,1,0.0,0,2,2,0,4,410,408,30,337,4,37,0,2,263,143,0,12,13,0,21,0,0,0,
Chad Greenway,2962,LB,MIN,12,6,0,80.0,1,0,18,64.1,52.6,44.4,51.8,46.1,73.9,1,2,1,15,7.9,3,0,2,61.4,12,2,373,0,203,441,27,0,0,27,0,15,414,22,216,26,20,29,15,5,0,81,65,6.8
Antonio Cromartie,2964,CB,NYJ,11,4,0,49.2,1,0,22,49.5,51.5,87.6,,59.1,27.3,0,0,0,54,23.3,7,7,4,120.7,31,0,36,548,457,663,20,0,0,20,0,1,643,0,206,58,6,19,63,0,7,614,261,19.8
Tamba Hali,2965,ED,KC,12,10,0,75.0,1,2,16,57.6,81.4,76.7,86.3,62.2,65.1,9,48,0,30,13.9,5,0,1,116.7,6,7,7,0,67,707,687,0,0,687,0,0,20,410,230,13,15,21,8,64,0,102,57,17.0
Manny Lawson,2967,LB,BUF,12,5,0,92.9,0,0,4,65.5,62.1,68.0,46.2,66.6,41.7,2,4,0,11,16.2,6,1,1,90.2,13,1,76,12,175,457,325,0,1,324,0,3,132,94,188,41,18,26,14,7,0,79,59,6.1
Johnathan Joseph,2969,CB,HST,12,5,0,54.7,0,0,13,79.1,76.3,86.6,,50.2,54.8,0,0,1,53,13.0,7,13,2,74.1,41,0,64,574,429,679,0,0,0,0,0,2,679,0,250,39,12,42,75,0,2,417,135,10.2
DeMeco Ryans,2978,LB,PHI,10,10,0,75.0,0,1,24,62.2,56.3,40.7,50.6,55.5,52.3,1,2,1,39,17.0,8,4,2,108.0,21,0,393,0,179,425,5,0,0,5,0,0,420,41,205,27,15,29,28,3,2,232,140,11.0
D'Qwell Jackson,2979,LB,IND,12,22,0,70.0,0,1,14,68.9,67.2,89.7,43.9,68.6,69.6,0,9,1,34,11.8,14,3,2,90.5,28,1,762,0,393,819,7,0,0,7,0,6,812,101,325,43,44,83,40,10,1,309,151,11.0
Roman Harper,2988,S,CAR,12,4,0,65.5,0,0,5,65.2,65.1,57.8,50.3,65.8,76.6,1,3,0,54,7.4,4,5,2,136.0,19,0,179,19,462,693,57,0,0,57,0,344,636,13,218,93,20,46,29,4,3,312,126,16.4
Tim Jennings,3007,CB,TB,5,2,0,62.5,2,0,30,38.9,45.4,26.6,,79.0,61.0,0,0,0,59,11.8,2,1,4,126.0,15,0,14,223,152,275,16,0,0,16,0,0,259,0,123,22,3,13,24,0,3,186,66,12.4
Darryl Tapp,3008,ED,DET,12,3,0,,0,2,11,65.3,75.0,88.7,59.8,76.3,70.5,4,6,0,,5.6,1,0,0,0.0,0,2,1,0,0,311,310,0,6,300,4,0,1,165,146,0,12,14,0,12,0,0,0,
James Anderson,3033,LB,NO,1,2,0,100.0,0,0,20,45.6,55.0,78.6,67.8,66.7,64.9,1,0,0,13,7.7,1,0,0,102.1,4,0,68,1,37,76,2,0,0,2,0,1,74,8,31,4,3,10,4,1,0,34,13,8.5
Frostee Rucker,3036,DI,ARZ,10,4,0,,0,1,1,64.1,59.7,70.7,62.4,53.3,66.8,8,12,0,,9.1,2,0,1,0.0,0,2,1,0,2,405,404,25,304,38,37,0,1,248,155,0,17,16,0,22,0,0,0,
Jason Hatcher,3037,DI,WAS,12,3,1,,0,0,32,60.2,70.9,56.7,75.6,59.2,52.3,8,31,0,,28.6,6,0,1,0.0,0,1,0,0,0,464,464,24,308,51,81,0,0,303,161,0,7,12,0,40,0,0,0,
Will Blackmon,3060,CB,WAS,11,2,0,49.0,0,2,32,61.4,59.9,85.7,59.1,51.6,64.4,0,0,1,42,11.8,4,5,2,93.2,24,0,63,287,318,527,0,0,0,0,0,4,527,1,208,173,4,28,49,0,4,371,139,15.5
Stephen Tulloch,3061,LB,DET,12,15,0,84.8,0,0,11,33.3,55.3,87.1,63.0,79.4,69.4,3,2,0,43,9.6,9,0,0,130.6,39,1,525,0,267,558,5,0,0,5,0,2,553,28,263,26,41,70,46,6,4,386,273,9.9
Domata Peko Sr.,3068,DI,CIN,12,2,1,,0,0,7,65.8,61.8,53.6,61.4,59.6,75.7,1,2,0,,0.0,0,0,2,0.0,0,4,0,0,0,395,395,194,190,1,10,0,0,202,193,0,14,15,0,7,0,0,0,
Elvis Dumervil,3071,ED,BLT,12,7,2,100.0,0,1,3,78.0,78.4,37.1,79.6,65.6,72.3,14,33,0,20,5.9,2,0,4,118.8,1,7,4,0,29,594,587,0,0,587,0,0,7,352,213,3,26,25,1,54,0,20,28,20.0
Kyle Williams,3079,DI,BUF,6,4,0,,0,0,4,59.5,63.6,44.5,59.9,70.0,29.5,5,7,0,,28.6,4,0,2,0.0,0,1,12,0,15,341,329,10,177,39,103,0,12,222,104,0,4,6,0,13,0,0,0,
Rob Ninkovich,3080,ED,NE,12,4,4,61.5,0,1,19,66.6,61.4,90.4,55.2,60.1,70.3,9,19,0,16,5.9,2,0,0,99.2,8,6,18,0,89,692,668,6,5,642,15,0,24,382,221,6,23,28,13,34,1,63,55,7.9
Jeremy Mincey,3136,ED,DAL,11,4,0,0.0,0,0,9,60.7,62.6,71.4,57.9,65.0,64.6,3,13,0,,23.5,4,0,1,39.6,0,0,1,0,3,328,327,0,7,303,17,0,1,195,130,0,7,9,1,16,0,0,0,
Kedric Golston,3141,DI,WAS,11,2,0,,0,0,32,,53.7,83.5,59.2,51.1,70.0,0,3,0,,0.0,0,0,0,0.0,0,0,0,0,0,142,142,93,48,0,1,0,0,57,85,0,1,1,0,3,0,0,0,
Antoine Bethea,3152,S,SF,7,7,0,75.0,0,0,28,49.3,58.3,5.3,91.1,79.9,82.0,2,1,0,35,7.0,3,2,2,152.6,12,1,66,3,266,439,25,0,0,25,0,333,414,10,163,12,9,33,16,4,3,186,57,15.5
Cortland Finnegan,3160,CB,CAR,1,0,0,50.0,0,0,5,65.6,65.4,75.0,90.0,44.5,78.5,1,1,0,14,0.0,0,0,0,61.1,3,0,1,0,23,30,0,0,0,0,0,0,30,3,4,29,2,4,6,2,0,25,14,8.3
Stephen Bowen,3242,DI,NYJ,11,1,0,,0,0,22,59.6,69.1,79.9,61.7,69.8,29.5,0,5,0,,33.3,1,0,0,0.0,0,0,1,0,0,100,99,2,45,11,41,0,1,59,41,0,1,1,0,5,0,0,0,
Tom Johnson,3378,DI,MIN,12,3,0,,0,0,18,60.0,54.7,59.7,64.1,46.8,75.3,9,24,0,,0.0,0,0,2,0.0,0,2,0,0,1,516,516,12,465,2,37,0,0,342,173,0,15,15,0,35,0,0,0,
Tony McDaniel,3423,DI,TB,10,3,1,,0,0,30,,54.6,17.3,60.1,58.1,73.6,1,2,0,,0.0,0,0,2,0.0,0,0,0,0,0,163,163,8,147,6,2,0,0,74,89,0,6,7,0,3,0,0,0,
Tramon Williams,3558,CB,CLV,12,5,0,53.4,0,0,8,63.2,65.1,87.3,67.2,66.6,69.5,1,0,1,75,8.8,5,5,4,88.0,39,0,77,614,440,787,1,0,0,1,0,3,786,2,345,92,7,47,73,1,2,666,161,17.1
Brent Grimes,3589,CB,MIA,11,2,1,64.8,1,0,17,61.0,63.9,86.3,87.8,66.8,42.6,0,1,3,63,15.7,8,7,1,98.4,46,0,55,620,393,697,2,0,0,2,0,8,695,2,302,12,7,41,71,1,4,701,182,15.2
Darrelle Revis,3630,CB,NYJ,10,2,0,47.5,0,0,22,69.2,71.5,87.4,59.0,77.6,72.0,0,0,3,61,6.7,2,3,1,58.7,28,0,19,524,428,638,4,0,0,4,0,1,634,1,209,90,7,26,59,0,2,381,122,13.6
Lawrence Timmons,3631,LB,PIT,12,18,2,68.7,0,0,25,39.8,43.1,64.1,64.6,50.6,46.2,2,6,1,38,16.0,16,2,2,98.7,46,2,731,4,440,813,13,0,0,13,0,3,800,85,288,61,36,66,67,10,3,494,254,10.7
Leon Hall,3634,CB,CIN,10,6,0,68.2,0,0,7,82.2,83.8,84.3,64.2,79.7,67.1,0,2,2,26,10.0,4,4,0,72.4,30,0,12,14,335,454,8,0,0,8,0,17,446,17,102,403,12,30,44,2,1,263,143,8.8
Michael Griffin,3635,S,TEN,11,18,0,83.3,0,0,31,55.2,57.1,34.3,60.2,64.3,74.1,0,2,1,41,9.9,8,1,2,120.5,20,2,175,11,350,657,61,0,0,61,0,358,596,26,281,52,19,55,24,4,2,250,111,12.5
