player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Tracy Porter,4354,CB,CHI,3,2,,2.0,6,0,39.6,0,1,0,0,0,0.0
Pernell McPhee,6317,ED,CHI,3,5,,5.0,6,1,0.0,0,1,0,0,0,0.0
Cody Riggs,10108,CB,TEN,2,9,,4.5,31,0,39.6,0,2,0,0,0,0.0
Josh Bynes,6503,LB,DET,5,16,,8.0,11,0,39.6,0,2,0,0,0,0.0
Jonathan Anderson,9998,LB,CHI,1,3,,3.0,6,0,39.6,0,1,0,0,0,0.0
Derrick Johnson,2232,LB,KC,4,9,,4.5,16,0,39.6,0,2,0,0,0,0.0
Jordan Richards,9497,S,NE,4,9,,9.0,19,0,39.6,0,1,0,0,0,0.0
Kavell Conner,5763,LB,SD,2,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
Ronald Darby,9483,CB,BUF,5,11,,3.7,4,0,39.6,0,3,0,0,0,0.0
Jayron Hosley,7094,CB,NYG,3,3,,3.0,21,0,39.6,0,1,0,0,0,0.0
Darrell Stuckey,5634,S,SD,1,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
Joe Thomas,9272,LB,GB,3,8,,4.0,12,0,39.6,0,2,0,0,0,0.0
Will Blackmon,3060,CB,WAS,6,25,,25.0,32,0,39.6,0,1,0,0,0,0.0
Koa Misi,5565,LB,MIA,6,23,,11.5,17,0,39.6,0,2,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,2,1,,1.0,19,0,39.6,0,1,0,0,0,0.0
Jonathan Newsome,8801,ED,IND,3,6,,6.0,14,0,39.6,0,1,0,0,0,0.0
Von Miller,6154,ED,DEN,2,3,,3.0,10,0,39.6,0,1,0,0,0,0.0
Jerry Hughes,5556,ED,BUF,2,4,,4.0,4,0,39.6,0,1,0,0,0,0.0
David Harris,3663,LB,NYJ,5,21,,21.0,22,0,39.6,0,1,0,0,0,0.0
Dontae Johnson,8764,CB,SF,1,2,,2.0,28,0,39.6,0,1,0,0,0,0.0
Dashon Goldson,3742,S,WAS,5,11,,11.0,32,0,39.6,0,1,0,0,0,0.0
Steven Johnson,7298,LB,TEN,1,4,,2.0,31,0,39.6,0,2,0,0,0,0.0
Harrison Smith,7641,S,MIN,6,47,,11.8,18,0,39.6,0,4,0,0,0,0.0
Alan Ball,3853,CB,CHI,3,6,,6.0,6,0,39.6,0,1,0,0,0,0.0
Jason McCourty,5127,CB,TEN,3,6,,3.0,31,0,39.6,0,2,0,0,0,0.0
Jadeveon Clowney,8636,ED,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Sheldon Price,8479,CB,IND,1,1,,1.0,14,0,39.6,0,1,0,0,0,0.0
David Amerson,7832,CB,OAK,3,7,,3.5,23,0,39.6,0,2,0,0,0,0.0
Sean Smith,4984,CB,KC,4,12,,12.0,16,0,39.6,0,1,0,0,0,0.0
A.J. Klein,7930,LB,CAR,2,3,,3.0,5,0,39.6,0,1,0,0,0,0.0
Steve Williams,7927,CB,SD,2,6,,6.0,27,1,0.0,0,1,0,0,0,0.0
Mike Mitchell,4970,S,PIT,6,6,,6.0,25,0,39.6,0,1,0,0,0,0.0
Bobby McCain,9578,CB,MIA,3,56,56.0,18.7,17,0,81.9,1,3,1,5,0,0.09
Kyle Wilson,5554,CB,NO,6,94,47.0,23.5,20,1,16.7,2,4,0,12,4,0.13
Michael Thomas,7279,S,MIA,6,33,33.0,11.0,17,0,42.4,1,3,0,-3,3,-0.09
Bradley McDougald,8220,S,TB,5,29,29.0,14.5,30,0,95.8,1,2,0,30,16,1.03
Peyton Thompson,7235,CB,JAX,2,27,27.0,13.5,15,0,66.7,1,2,0,11,13,0.41
Tramon Williams,3558,CB,CLV,7,51,25.5,8.5,8,0,43.8,2,6,0,20,3,0.39
Ray-Ray Armstrong,8271,LB,OAK,4,23,23.0,11.5,23,0,58.3,1,2,0,7,0,0.3
Jordan Poyer,8000,S,CLV,6,23,23.0,23.0,8,0,118.8,1,1,1,3,0,0.13
