player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,11,3,11.3,60.0,99.4,52.2,31.3,0,1,3,20.0,23,89.4,84.4,84.5,55.7,61.4,54.7,5,40,13.9,5,3,0,45.6,9,512,515,5,28,15,0,119,54,0.3,13.2
Julius Peppers,1010,ED,GB,11,1,1.0,100.0,8.9,7.8,7.8,1,0,0,0.0,12,48.5,57.3,60.4,66.7,48.1,43.1,0,14,37.5,3,0,2,142.7,4,31,348,9,4,4,1,35,32,1.1,8.8
Dwight Freeney,1019,ED,ARZ,6,0,-1.0,100.0,5.7,7.0,7.0,0,0,0,0.0,1,46.0,61.3,85.9,63.6,60.0,73.6,0,41,100.0,1,0,0,118.8,1,7,123,3,0,1,0,41,42,5.9,41.0
James Harrison,1251,ED,PIT,10,1,4.2,83.3,23.8,11.2,9.3,0,0,0,0.0,25,73.9,75.8,43.4,76.4,64.5,64.2,0,15,20.0,1,0,2,86.8,5,57,240,4,3,6,0,29,34,0.5,5.8
Terence Newman,1321,CB,MIN,11,2,12.1,53.8,100.0,11.1,6.0,0,1,9,13.8,18,71.4,74.8,85.5,,82.1,78.6,3,55,6.7,2,7,3,59.6,35,421,421,4,26,65,1,417,125,1.1,11.9
Terrell Suggs,1326,ED,BLT,1,0,,,20.6,,,0,0,0,,3,75.1,62.5,77.6,64.3,44.8,,0,,,0,0,0,0.0,0,7,34,0,0,0,0,0,0,0.0,
Calvin Pace,1334,ED,NYJ,11,0,2.1,50.0,24.7,13.3,6.6,0,0,1,12.5,22,69.7,67.0,87.9,63.6,59.1,45.3,0,12,33.3,1,1,0,59.9,4,56,227,2,2,8,0,31,23,0.6,7.8
Charles Tillman,1351,CB,CAR,9,1,14.3,53.7,98.4,12.3,6.6,0,1,5,9.3,5,58.7,62.0,87.3,49.4,77.8,73.7,1,48,6.7,2,5,1,71.3,29,374,380,5,27,54,0,417,112,1.2,14.4
Rashean Mathis,1355,CB,DET,7,2,8.3,80.0,99.2,7.4,6.0,0,0,3,7.5,11,62.5,63.6,85.9,54.7,64.7,68.8,1,50,7.7,2,2,1,107.6,32,248,250,9,22,40,1,413,173,1.7,12.9
Robert Mathis,1447,ED,IND,10,0,2.0,100.0,13.7,30.0,30.0,0,0,0,0.0,14,61.4,57.1,47.7,63.8,43.8,63.3,0,40,0.0,0,0,2,118.8,1,34,248,4,1,1,0,40,38,1.3,40.0
Chris Clemons,1585,ED,JAX,11,1,-0.7,66.7,3.2,5.5,3.7,0,0,0,0.0,15,55.6,39.2,38.8,49.3,38.3,28.2,0,14,50.0,2,0,4,91.0,2,11,346,2,1,3,0,24,22,2.2,12.0
Cullen Jenkins,1637,DI,NYG,11,1,,,2.6,,,0,0,0,,21,62.8,68.1,74.3,64.4,65.5,63.8,0,,25.0,1,0,2,0.0,0,9,349,3,2,0,0,0,0,0.0,
DeAngelo Hall,1729,CB,WAS,6,1,14.6,69.2,100.0,15.6,10.8,0,0,1,7.7,32,69.0,66.9,0.0,,68.7,88.4,0,40,0.0,0,1,2,124.8,9,147,147,6,17,13,1,123,10,0.9,13.7
Jason Babin,1748,ED,BLT,2,0,-3.0,100.0,11.1,3.0,3.0,0,0,0,0.0,3,40.1,28.1,0.0,53.5,61.2,27.7,0,16,100.0,1,0,3,118.8,1,3,27,0,0,1,0,16,19,5.3,16.0
Karlos Dansby,1754,LB,CLV,11,2,3.3,72.2,85.7,13.1,9.5,0,1,0,0.0,8,81.8,77.8,63.7,62.8,66.6,74.1,3,27,4.0,1,0,1,56.9,26,361,421,11,22,36,0,254,213,0.7,9.8
Daryl Smith,1760,LB,BLT,11,4,4.8,82.9,86.3,10.6,8.8,0,1,2,4.9,3,57.2,63.9,89.1,60.1,69.7,48.2,0,35,22.0,9,2,0,107.3,34,391,453,11,28,41,1,320,165,0.9,9.4
Dwan Edwards,1772,DI,CAR,7,0,5.0,0.0,1.7,,3.0,0,0,0,0.0,5,66.5,50.6,83.5,51.8,42.7,72.9,0,,0.0,0,0,0,39.6,0,3,173,3,2,1,0,0,0,0.0,
Randy Starks,1792,DI,CLV,10,0,,,1.6,,,1,0,0,,8,49.6,57.3,22.8,60.2,63.8,40.7,0,,50.0,2,0,3,0.0,0,3,193,2,2,0,0,0,0,0.0,
Will Allen,1832,S,PIT,8,2,6.5,73.5,94.9,10.9,8.0,0,1,2,5.9,25,60.1,59.4,48.0,64.1,58.1,34.0,1,75,14.3,4,2,1,131.5,25,282,297,10,22,34,5,333,193,1.2,13.3
Jared Allen,1847,ED,CAR,10,0,3.0,40.0,6.4,9.0,3.6,0,0,0,0.0,5,58.8,57.2,61.8,56.8,59.5,71.4,1,9,0.0,0,0,2,9.2,2,18,281,5,5,5,0,16,17,0.9,8.0
Mike Adams,1972,S,IND,8,3,8.9,78.3,98.0,14.8,11.6,0,0,1,4.3,14,66.8,64.9,45.3,51.5,60.7,66.0,5,35,13.0,3,1,1,88.7,18,288,294,3,17,23,1,260,148,1.0,14.4
Adam Jones,2223,CB,CIN,10,4,8.6,65.3,100.0,11.4,7.5,1,2,4,8.2,7,81.5,81.5,54.4,83.1,71.3,64.6,2,24,10.0,4,3,1,73.5,32,390,390,13,32,49,1,320,114,0.9,10.0
Antrel Rolle,2225,S,CHI,7,0,6.6,86.7,99.2,16.6,14.4,0,1,1,6.7,6,65.3,68.6,79.9,57.7,71.3,74.1,0,35,9.5,2,1,0,98.1,13,234,236,8,19,15,0,113,42,0.5,8.7
DeMarcus Ware,2228,ED,DEN,7,0,0.0,100.0,13.5,8.3,8.3,1,0,0,0.0,10,65.0,82.5,4.8,90.3,64.4,81.9,0,12,0.0,0,0,4,80.6,3,25,185,9,5,3,0,10,10,0.4,3.3
Thomas Davis Sr.,2231,LB,CAR,11,2,4.0,75.0,84.1,9.9,7.4,0,0,1,1.9,5,79.1,74.5,62.0,69.1,58.5,76.5,3,29,17.1,7,1,1,87.1,39,402,478,17,32,52,3,341,228,0.9,8.7
Derrick Johnson,2232,LB,KC,11,3,2.8,56.3,87.7,21.3,12.0,0,0,6,18.8,16,81.7,86.4,89.8,53.8,84.5,66.6,1,19,18.8,6,6,1,54.7,18,415,473,11,23,32,0,144,131,0.4,8.0
Jonathan Babineaux,2276,DI,ATL,11,0,2.0,0.0,4.2,,10.0,0,0,0,0.0,2,68.2,74.4,86.0,63.2,66.4,44.2,1,,0.0,0,0,0,0.0,0,12,285,5,7,1,0,0,0,0.0,
Justin Tuck,2291,DI,OAK,5,0,,,0.6,,,0,0,0,,23,65.2,67.5,84.0,60.3,64.8,60.7,0,,33.3,1,0,0,0.0,0,1,167,3,2,0,0,0,0,0.0,
Chris Canty,2349,DI,BLT,7,1,,,0.7,,,0,0,0,,3,63.1,76.4,83.6,64.1,75.0,74.6,0,,0.0,0,0,0,0.0,0,1,142,1,1,0,0,0,0,0.0,
Trent Cole,2363,ED,IND,10,0,1.3,75.0,12.6,9.7,7.3,1,0,0,0.0,14,60.4,66.4,32.7,64.4,70.6,41.0,0,14,25.0,1,0,3,93.8,3,31,246,2,3,4,0,28,24,1.0,9.3
C.J. Mosley,2408,DI,MIA,11,0,,,0.8,,,0,0,0,,17,60.0,53.3,54.6,57.5,53.4,71.8,0,,,0,0,2,0.0,0,1,127,0,0,0,0,0,0,0.0,
Brandon Browner,2512,CB,NO,11,1,11.7,65.6,98.6,10.0,6.6,1,2,7,11.5,20,29.6,29.7,0.0,50.8,59.2,40.8,1,67,18.2,8,6,16,101.7,40,434,440,6,35,61,2,599,212,1.5,15.0
Ahmad Brooks,2945,ED,SF,9,0,1.7,100.0,27.4,13.2,13.2,1,0,1,16.7,28,59.8,52.5,15.0,49.4,65.8,41.4,0,17,45.5,5,1,6,105.6,6,82,299,8,6,6,0,56,46,0.7,9.3
Mario Williams,2946,ED,BUF,10,0,0.0,100.0,4.1,15.0,15.0,0,0,0,0.0,4,57.0,55.8,90.2,51.3,60.4,29.6,0,6,25.0,1,0,0,91.7,1,16,391,4,3,1,0,6,6,0.4,6.0
A.J. Hawk,2950,LB,CIN,11,1,2.6,66.7,94.7,10.5,7.0,0,0,1,8.3,7,57.7,60.5,77.5,67.1,61.2,59.6,0,13,10.0,1,1,0,83.0,8,90,95,2,8,12,0,73,68,0.9,9.1
Donte Whitner,2953,S,CLV,9,5,10.7,60.9,96.1,21.5,13.1,0,0,3,13.0,8,67.4,67.2,82.8,57.9,62.6,67.3,0,40,12.5,4,3,0,117.8,14,319,332,4,23,23,2,199,97,0.7,14.2
Haloti Ngata,2957,DI,DET,9,1,,,1.7,,,0,0,0,,11,58.4,68.8,68.4,63.6,69.8,76.0,0,,0.0,0,0,1,0.0,0,4,237,2,1,0,0,0,0,0.0,
Chad Greenway,2962,LB,MIN,11,0,1.8,76.9,89.0,15.6,12.0,1,0,0,0.0,18,66.4,53.2,38.1,52.2,45.3,78.6,1,15,9.1,1,0,2,56.3,10,170,191,9,10,13,0,69,51,0.4,6.9
Antonio Cromartie,2964,CB,NYJ,10,1,13.0,50.0,100.0,14.3,7.1,1,0,7,12.5,22,47.2,49.2,87.1,,57.9,27.1,0,54,23.8,5,6,4,124.3,28,415,415,3,15,56,7,551,232,1.4,19.7
Tamba Hali,2965,ED,KC,11,0,8.9,75.0,14.5,9.0,6.8,1,0,1,12.5,16,56.5,81.2,75.1,88.6,58.8,63.4,0,30,22.2,2,0,1,116.7,6,62,427,8,7,8,0,102,57,1.9,17.0
Manny Lawson,2967,LB,BUF,11,2,1.4,90.9,62.7,13.7,12.5,0,1,1,9.1,4,64.8,59.8,65.4,47.7,62.2,41.7,0,9,27.3,3,1,1,85.6,10,141,225,4,6,11,0,50,42,0.4,5.0
Johnathan Joseph,2969,CB,HST,11,1,11.3,54.8,100.0,9.5,5.2,0,2,14,19.2,13,79.6,77.5,86.2,,54.6,52.6,1,36,10.0,4,13,2,71.9,40,404,404,10,35,73,2,364,128,1.0,9.1
DeMeco Ryans,2978,LB,PHI,9,2,5.3,77.8,80.8,7.9,6.1,0,0,4,14.8,24,64.1,57.2,38.6,50.6,55.3,51.4,1,39,22.2,4,4,2,111.7,21,172,213,4,12,27,2,232,140,1.4,11.0
D'Qwell Jackson,2979,LB,IND,11,2,4.9,66.7,79.6,14.0,9.3,0,0,4,11.1,14,66.8,67.0,89.4,42.7,70.9,68.7,1,34,7.7,2,3,2,86.9,24,359,451,6,22,36,1,273,137,0.8,11.4
Roman Harper,2988,S,CAR,11,0,10.8,61.5,97.2,24.8,15.3,0,0,5,19.2,5,69.6,68.4,55.5,50.6,65.5,75.5,0,45,7.7,2,5,2,88.6,16,416,428,9,24,26,0,220,105,0.6,13.8
Tim Jennings,3007,CB,TB,5,1,12.1,62.5,100.0,9.5,6.0,2,0,1,4.2,30,38.9,45.4,26.6,,79.0,61.0,0,59,15.4,2,1,4,126.0,15,152,152,2,10,24,3,186,66,1.3,12.4
Frostee Rucker,3036,DI,ARZ,10,0,,,0.8,,,0,0,0,,1,64.1,59.7,70.7,62.4,53.3,66.8,0,,33.3,2,0,1,0.0,0,2,250,6,4,0,0,0,0,0.0,
Will Blackmon,3060,CB,WAS,10,0,11.2,48.9,100.0,12.3,6.0,0,1,5,11.1,32,62.6,60.9,85.3,,50.9,62.8,1,40,0.0,0,5,2,93.2,22,285,285,1,12,45,4,324,131,1.2,14.7
Stephen Tulloch,3061,LB,DET,11,5,3.6,86.4,91.3,6.1,5.3,0,0,0,0.0,11,33.5,56.4,86.5,61.4,81.5,67.8,0,43,20.5,8,0,0,132.9,38,241,264,11,26,44,4,379,265,1.6,10.0
Elvis Dumervil,3071,ED,BLT,11,3,-8.0,100.0,7.7,24.0,24.0,0,0,0,0.0,3,78.0,78.5,33.7,78.9,66.9,71.5,0,20,0.0,0,0,4,118.8,1,28,363,9,6,1,0,20,28,0.8,20.0
Kyle Williams,3079,DI,BUF,6,1,,,6.3,,,0,0,0,,4,59.5,63.6,44.5,59.9,70.0,29.5,0,,50.0,2,0,2,0.0,0,15,237,2,1,0,0,0,0,0.0,
Rob Ninkovich,3080,ED,NE,11,2,1.5,66.7,18.6,9.8,6.5,0,1,0,0.0,19,66.2,61.4,90.2,56.5,58.5,69.1,0,16,8.3,1,0,0,107.3,8,83,446,10,9,12,1,63,55,0.8,7.9
Jeremy Mincey,3136,ED,DAL,10,1,-3.0,0.0,1.6,,3.0,0,0,0,0.0,9,60.7,63.9,70.3,58.8,66.4,64.6,0,,66.7,2,0,1,39.6,0,3,189,0,0,1,0,0,0,0.0,
Antoine Bethea,3152,S,SF,7,3,14.1,75.0,96.4,20.9,15.7,0,1,2,12.5,28,49.3,58.3,5.3,91.1,79.9,82.0,0,35,4.5,1,2,2,152.6,12,266,276,4,18,16,3,186,57,0.7,15.5
Tom Johnson,3378,DI,MIN,11,0,,,0.3,,,0,0,0,,18,60.0,53.4,56.5,64.2,44.4,74.8,0,,,0,0,2,0.0,0,1,313,2,0,0,0,0,0,0.0,
Tramon Williams,3558,CB,CLV,11,1,14.4,51.4,99.5,10.8,5.6,0,1,7,10.0,8,67.7,68.8,87.0,67.2,65.5,67.9,1,75,7.9,3,5,3,82.3,36,418,420,3,34,70,2,567,143,1.5,15.8
Brent Grimes,3589,CB,MIA,10,1,13.7,63.1,99.4,7.6,4.8,1,1,6,9.2,17,61.4,64.2,85.8,87.8,66.0,47.9,3,63,13.9,5,6,1,97.3,41,342,344,5,30,65,4,645,167,2.1,15.7
Darrelle Revis,3630,CB,NYJ,10,1,13.1,47.5,99.8,14.6,6.9,0,2,4,6.8,22,69.2,71.5,87.4,59.0,77.6,72.0,3,61,4.3,1,3,1,58.7,28,428,429,6,21,59,2,381,122,0.9,13.6
Lawrence Timmons,3631,LB,PIT,11,9,7.3,67.7,83.3,9.2,6.2,0,0,2,3.2,25,37.7,41.0,62.1,65.9,49.0,44.8,1,38,21.6,11,2,2,94.3,42,403,484,16,31,62,2,472,246,1.2,11.2
Leon Hall,3634,CB,CIN,10,4,6.2,68.2,95.2,10.6,7.2,0,0,4,9.1,7,82.2,83.8,84.3,64.2,79.7,67.1,2,26,11.8,4,4,0,72.4,30,335,352,9,26,44,1,263,143,0.8,8.8
Michael Griffin,3635,S,TEN,10,2,9.2,80.0,93.5,18.7,15.0,0,0,2,10.0,31,58.5,58.9,30.0,61.7,62.4,69.8,1,41,6.5,2,1,2,120.6,16,315,337,8,27,20,2,199,101,0.7,12.4
Reggie Nelson,3637,S,CIN,11,3,16.3,56.3,92.8,46.2,26.0,0,1,1,6.3,7,64.7,65.0,89.3,49.9,66.2,49.2,6,50,15.0,3,1,0,100.3,9,441,475,1,14,16,2,197,69,0.5,21.9
Brandon Meriweather,3640,S,NYG,11,1,13.0,58.6,98.3,25.4,14.9,0,0,3,10.3,21,50.8,51.2,59.2,72.8,51.5,58.6,2,76,17.9,5,3,1,113.9,17,463,471,5,22,29,4,380,128,0.9,22.4
Jon Beason,3641,LB,NYG,4,0,4.7,100.0,87.0,19.0,19.0,0,0,0,0.0,21,38.7,36.7,82.4,47.4,48.6,62.2,0,12,0.0,0,0,0,101.4,3,60,69,0,2,3,0,25,11,0.4,8.3
Paul Posluszny,3650,LB,JAX,10,7,6.4,82.1,90.0,11.5,9.5,0,0,1,2.6,15,59.5,67.5,88.5,59.3,75.1,84.2,2,38,8.2,4,1,0,91.0,32,396,440,12,38,39,1,348,192,0.9,10.9
Eric Weddle,3653,S,SD,9,5,5.3,81.0,90.7,17.0,13.8,0,0,2,9.5,27,64.6,65.9,85.7,66.6,61.8,66.4,0,29,13.3,4,2,0,130.6,17,304,335,5,21,21,2,162,111,0.6,9.5
Lamarr Woodley,3662,ED,ARZ,10,1,1.0,100.0,29.5,7.2,7.2,0,0,0,0.0,1,56.2,51.7,60.8,54.6,52.1,28.7,0,12,37.5,3,0,1,96.5,6,44,149,4,4,6,0,43,37,1.0,7.2
David Harris,3663,LB,NYJ,11,5,1.7,79.5,76.9,11.2,8.9,0,0,2,5.1,22,64.1,69.8,87.5,67.9,68.3,67.0,0,25,12.8,5,1,0,98.2,31,360,468,13,29,39,1,215,196,0.6,6.9
Justin Durant,3664,LB,ATL,8,3,3.6,83.3,94.8,6.8,5.7,0,0,0,0.0,2,51.7,49.6,83.1,49.3,51.0,62.3,0,23,13.9,5,0,0,90.7,30,218,230,12,28,36,0,208,126,1.0,6.9
Josh Wilson,3671,CB,DET,8,1,5.7,82.1,93.9,7.0,5.8,2,0,0,0.0,11,45.7,52.3,82.2,71.4,70.7,63.7,0,26,14.3,3,0,2,109.8,23,169,180,6,17,28,0,290,160,1.8,12.6
Charles Johnson,3699,ED,CAR,4,0,-1.0,100.0,6.2,7.0,7.0,0,0,0,0.0,5,64.4,64.2,52.6,58.0,71.6,75.7,0,4,,0,0,1,83.3,1,7,113,1,0,1,0,4,5,0.6,4.0
Brandon Mebane,3701,DI,SEA,10,0,,,3.1,,,0,0,0,,29,53.8,49.5,51.8,62.9,45.7,33.0,0,,,0,0,2,0.0,0,6,192,2,0,0,0,0,0,0.0,
