player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
DeAndre Hopkins,7808,WR,HST,9,122,0,13,14.0,0,53.7,,0,0,8.3,2,17,0,61.5,86.9,1,29,0.0,0,121,22,94.2,114,85.4,41,33.6,3,240,18,0.8,10.9,2.11,0,15.5,4,60.3,,0,0,2.1,1,38,1,85.2,83.8,2,34,0.0,0,304,47,95.7,291,89.4,78,63.9,3,655,103,2.2,13.9,2.25
Julio Jones,6158,WR,ATL,9,113,0,2,7.4,2,66.7,,0,0,4.3,1,17,0,72.8,90.7,0,45,0.0,0,116,22,93.1,108,122.5,33,29.2,3,274,114,5.2,12.5,2.54,0,10.2,10,73.6,,0,0,8.6,5,29,2,61.4,89.6,1,54,0.0,0,235,53,93.2,219,104.0,72,63.7,1,721,266,5.0,13.6,3.29
Antonio Brown,5718,WR,PIT,10,112,0,25,10.7,5,69.8,,0,0,0.0,0,18,0,88.3,91.8,2,57,0.0,0,133,30,91.7,122,90.6,43,38.4,1,433,184,6.1,14.4,3.55,0,12.4,7,71.4,,0,0,10.0,5,26,0,62.2,89.5,2,59,0.0,0,225,45,91.1,205,94.9,63,56.3,1,624,205,4.6,13.9,3.04
Odell Beckham Jr.,8647,WR,NYG,10,102,0,21,11.2,4,60.0,0.0,0,1,0.0,0,19,1,86.5,80.4,2,87,0.0,0,172,27,90.7,156,90.8,45,44.1,3,378,156,5.8,14.0,2.42,0,10.9,5,61.5,,0,0,5.9,2,19,0,69.6,77.3,1,67,0.0,0,227,32,93.8,213,101.0,52,51.0,3,454,194,6.1,14.2,2.13
Demaryius Thomas,5547,WR,DEN,9,102,0,10,11.3,2,65.8,,0,0,7.4,2,17,1,52.7,74.4,2,24,0.0,0,129,25,93.0,120,65.1,38,37.3,0,275,59,2.4,11.0,2.29,0,10.7,6,69.1,,0,0,5.0,2,21,0,73.3,83.8,3,47,0.0,0,193,38,95.3,184,79.7,55,53.9,1,484,161,4.2,12.7,2.63
Brandon Marshall,3064,WR,NYJ,9,95,0,22,12.8,7,62.2,,0,0,6.7,2,21,1,66.0,90.3,3,35,0.0,0,122,28,95.1,116,83.7,45,47.4,3,381,112,4.0,13.6,3.28,0,13.9,3,65.9,,0,0,10.0,3,16,2,55.1,68.4,4,58,0.0,0,191,27,96.3,184,70.1,41,43.2,2,359,116,4.3,13.3,1.95
Keenan Allen,7857,WR,SD,8,86,0,27,6.4,3,71.0,,0,0,4.3,1,9,0,74.4,69.1,1,20,0.0,0,127,22,92.9,118,71.6,31,36.0,0,177,73,3.3,8.0,1.5,0,8.9,6,81.5,,0,0,8.3,4,25,0,61.4,80.7,1,38,0.0,0,220,44,94.5,208,125.2,54,62.8,4,539,176,4.0,12.3,2.59
Allen Robinson II,8696,WR,JAX,9,86,0,15,14.3,1,40.5,,0,0,6.3,1,12,0,65.9,75.5,2,33,0.0,0,143,15,91.6,131,70.3,37,43.0,4,186,47,3.1,12.4,1.42,0,19.2,1,62.2,,0,0,9.7,3,19,0,47.5,78.0,0,52,0.0,0,230,28,95.2,219,120.4,45,52.3,2,558,76,2.7,19.9,2.55
Mike Evans,8642,WR,TB,8,85,0,30,11.6,2,64.7,,0,0,12.0,3,19,0,40.0,90.5,1,25,0.0,0,95,22,88.4,84,85.5,34,40.0,0,341,83,3.8,15.5,4.06,0,16.9,0,39.1,,0,0,28.0,7,13,0,28.4,68.7,2,68,0.0,0,156,18,91.0,142,53.4,46,54.1,1,326,84,4.7,18.1,2.3
Julian Edelman,5156,WR,NE,9,85,0,19,7.8,9,70.3,,0,0,13.3,4,19,1,46.7,81.0,1,59,0.6,1,162,26,92.0,149,114.1,37,43.5,3,335,188,7.2,12.9,2.25,0,8.6,5,75.0,,0,0,6.9,2,16,0,68.2,77.1,1,27,0.6,1,178,27,92.1,164,103.0,36,42.4,2,272,85,3.1,10.1,1.66
