player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeAndre Hopkins,7808,WR,HST,6,90,0,13,0,,0,,,0,0,,0,0,0,,43.6,0,0,0.0,0,18,0,100.0,18,0.0,0,0.0,0,0,0,,,0.0,19.0,0,50.0,,0,0,14.3,1,3,0,81.6,88.6,0,24,0.0,0,53,6,96.2,51,72.9,12,13.3,0,84,22,3.7,14.0,1.65
Demaryius Thomas,5547,WR,DEN,6,74,0,10,0,0.0,2,88.9,,0,0,0.0,0,1,0,91.4,68.3,0,17,0.0,0,17,8,100.0,17,84.3,9,12.2,0,38,37,4.6,4.8,2.24,9.3,3,55.0,,0,0,15.4,2,7,0,50.3,73.9,3,30,0.0,0,53,11,100.0,53,36.5,20,27.0,0,135,41,3.7,12.3,2.55
Keenan Allen,7857,WR,SD,6,69,0,27,0,-1.3,0,100.0,,0,0,0.0,0,1,0,90.2,53.2,0,20,0.0,0,36,3,94.4,34,98.6,3,4.3,0,23,27,9.0,7.7,0.68,5.7,3,75.0,,0,0,10.0,1,4,0,66.3,75.6,0,21,0.0,0,52,9,98.1,51,92.7,12,17.4,0,81,52,5.8,9.0,1.59
Julio Jones,6158,WR,ATL,6,68,0,2,0,-2.9,2,100.0,,0,0,0.0,0,3,0,91.8,95.2,0,13,0.0,0,15,8,86.7,13,127.1,8,11.8,1,40,63,7.9,5.0,3.08,7.0,2,72.2,,0,0,7.1,1,7,0,88.7,90.0,1,45,0.0,0,75,13,90.7,68,92.8,18,26.5,1,152,102,7.8,11.7,2.24
Emmanuel Sanders,5606,WR,DEN,6,63,0,10,0,-1.7,1,100.0,,0,0,0.0,0,0,0,88.7,61.1,0,8,0.0,0,20,3,95.0,19,79.2,3,4.8,0,9,14,4.7,3.0,0.47,8.1,0,71.4,,0,0,0.0,0,3,0,77.4,77.0,0,13,0.0,0,45,5,95.6,43,84.2,7,11.1,0,38,24,4.8,7.6,0.88
Calvin Johnson,3618,WR,DET,6,59,0,11,0,,0,,,0,0,,0,0,0,,41.1,0,0,0.0,0,31,0,100.0,31,0.0,0,0.0,0,0,0,,,0.0,7.9,0,77.8,,0,0,0.0,0,3,0,82.4,78.2,0,28,0.0,0,37,7,89.2,33,102.8,9,15.3,0,78,37,5.3,11.1,2.36
Odell Beckham Jr.,8647,WR,NYG,6,59,0,21,0,-5.0,0,100.0,,0,0,0.0,0,0,0,84.5,46.3,0,5,0.0,0,16,2,87.5,14,79.2,2,3.4,0,3,13,6.5,1.5,0.21,6.6,3,88.2,,0,0,6.3,1,7,0,77.8,86.5,0,31,0.0,0,63,15,92.1,58,127.5,17,28.8,1,168,67,4.5,11.2,2.9
Antonio Brown,5718,WR,PIT,6,58,0,25,0,-2.9,3,100.0,,0,0,0.0,0,1,0,91.1,81.1,0,17,0.0,0,26,7,96.2,25,82.1,7,12.1,0,26,46,6.6,3.7,1.04,13.3,1,60.0,,0,0,0.0,0,3,0,73.3,91.3,0,39,0.0,0,38,6,84.2,32,95.0,10,17.2,0,103,52,8.7,17.2,3.22
T.Y. Hilton,7092,WR,IND,6,57,0,14,0,-2.3,2,100.0,,0,0,0.0,0,1,0,90.9,76.3,0,16,0.0,0,18,6,100.0,18,95.8,6,10.5,0,42,56,9.3,7.0,2.33,7.7,2,62.5,,0,0,0.0,0,8,0,77.3,77.6,1,30,0.0,0,89,15,97.8,87,62.8,24,42.1,0,150,70,4.7,10.0,1.72
Julian Edelman,5156,WR,NE,5,56,0,19,0,-2.5,1,83.3,,0,0,0.0,0,1,0,90.6,87.1,0,19,0.0,0,18,5,100.0,18,94.4,6,10.7,0,40,51,10.2,8.0,2.22,6.1,3,75.0,,0,0,12.5,3,9,0,43.6,82.3,1,59,2.0,2,101,21,91.1,92,117.0,28,50.0,3,212,106,5.0,10.1,2.3
Steve Smith,837,WR,BLT,5,56,0,3,0,-3.6,1,80.0,,0,0,0.0,0,0,0,90.2,69.3,0,7,0.0,0,13,4,92.3,12,84.2,5,8.9,0,21,37,9.3,5.3,1.75,8.2,3,73.7,,0,0,6.7,1,8,1,36.8,79.4,1,50,0.0,0,56,14,92.9,52,103.2,19,33.9,1,201,100,7.1,14.4,3.87
Allen Robinson II,8696,WR,JAX,6,56,0,15,0,,0,,,0,0,,0,0,0,,42.2,0,0,0.0,0,22,0,95.5,21,0.0,0,0.0,0,0,0,,,0.0,20.1,0,42.9,,0,0,0.0,0,2,0,33.5,61.5,0,46,0.0,0,24,3,100.0,24,121.4,7,12.5,1,74,10,3.3,24.7,3.08
Jeremy Maclin,4942,WR,KC,6,55,0,16,0,-3.4,0,100.0,,0,0,0.0,0,0,0,90.6,49.4,0,8,0.0,0,26,5,96.2,25,79.2,5,9.1,0,9,26,5.2,1.8,0.36,10.1,0,71.4,,0,0,9.1,1,8,0,78.7,72.7,0,39,0.0,0,62,10,88.7,55,124.4,14,25.5,1,131,30,3.0,13.1,2.38
