team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
DAL,9,7,246,7,29,246,91.5,39,3
OAK,23,7,272,8,29,272,90.3,45,8
CIN,7,7,255,3,46,255,89.6,51,2
NO,20,8,361,9,51,361,88.1,73,13
BUF,4,7,262,12,46,262,87.4,62,4
ATL,2,8,334,11,59,334,87.1,78,8
CLV,8,8,349,18,58,349,86.5,85,9
DEN,10,7,277,13,49,277,86.3,69,7
HST,13,8,383,19,62,383,86.0,94,13
CAR,5,7,242,1,53,242,86.0,61,7
WAS,32,7,279,15,54,279,85.5,75,6
NYJ,22,7,281,14,64,281,85.4,80,2
BLT,3,8,336,13,72,336,85.3,92,7
TB,30,7,242,8,49,242,85.3,64,7
PHI,24,7,293,14,50,293,85.0,76,12
NYG,21,8,317,15,70,317,84.4,92,7
IND,14,8,368,20,77,368,84.1,107,10
PIT,25,8,272,11,53,272,83.8,76,12
NE,19,7,311,20,58,311,83.6,90,12
CHI,6,7,271,6,70,271,83.4,83,7
GB,12,7,243,5,55,244,83.1,71,11
MIN,18,7,242,11,56,242,82.9,75,8
ARZ,1,8,276,15,66,276,82.8,88,7
SF,28,8,294,15,65,294,82.0,93,13
SL,26,7,201,25,37,202,81.6,68,6
MIA,17,7,288,20,61,288,81.1,95,14
DET,11,8,372,24,93,372,81.0,129,12
SD,27,8,374,17,98,374,80.9,129,14
JAX,15,7,299,17,75,299,80.9,103,11
KC,16,8,325,7,81,325,80.6,107,19
TEN,31,7,269,17,49,269,79.6,88,22
SEA,29,8,298,15,77,298,79.2,108,16
