team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
OAK,23,11,432,13,54,432,89.9,77,10
DAL,9,11,396,10,62,396,88.9,80,8
ATL,2,11,464,14,89,464,87.2,111,8
BUF,4,11,394,16,70,394,87.1,94,8
NO,20,11,480,19,72,480,86.8,109,18
CIN,7,11,408,5,83,408,86.8,98,10
BLT,3,11,463,19,93,463,86.0,121,9
CAR,5,11,376,2,80,376,85.9,94,12
CLV,8,11,495,23,94,495,85.8,129,12
HST,13,11,484,24,82,484,85.7,122,16
GB,12,11,449,9,90,450,85.6,114,15
WAS,32,11,412,21,84,412,85.1,114,9
DEN,10,11,444,27,89,444,84.5,127,11
IND,14,11,492,33,100,492,84.2,144,11
NYJ,22,11,439,24,102,439,84.1,133,7
PIT,25,11,424,13,96,424,83.6,124,15
TB,30,11,397,29,81,397,83.6,120,10
NYG,21,11,459,20,107,459,83.6,139,12
CHI,6,11,407,14,99,407,83.4,124,11
PHI,24,11,461,26,87,461,83.2,134,21
SF,28,11,404,19,86,404,83.0,121,16
JAX,15,11,491,25,111,491,82.9,152,16
NE,19,11,480,31,103,480,82.7,150,16
KC,16,11,429,11,100,429,82.6,130,19
DET,11,11,494,24,124,494,81.8,164,16
MIA,17,11,454,27,94,454,81.6,144,23
ARZ,1,11,400,27,101,400,81.5,138,10
SL,26,11,354,46,64,355,81.4,121,11
TEN,31,11,413,22,85,413,81.0,132,25
SD,27,11,502,22,131,502,80.6,174,21
SEA,29,11,405,23,104,405,79.9,145,18
MIN,18,11,378,16,109,378,79.8,139,14
