player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Travis Swanson,8711,C,DET,6,0,11,62.0,1,9,293,100.0,100.0,98.0,0,11,1,313,313,64.5,0,6,125,100.0,100.0,97.6,6,0,131,131
Riley Reiff,7029,T,DET,6,0,11,73.4,3,17,293,100.0,100.0,95.6,4,23,3,313,313,66.3,1,13,125,100.0,100.0,92.8,16,2,131,131
Ben Jones,7099,C,HST,6,0,13,78.4,1,7,292,100.0,100.0,98.6,0,8,0,308,308,70.2,1,3,128,100.0,100.0,98.4,4,0,137,137
Derek Newton,6366,T,HST,6,0,13,58.9,4,17,290,100.0,100.0,96.0,1,22,1,306,306,50.5,2,12,127,100.0,100.0,93.7,15,1,136,136
Joe Barksdale,6244,T,SD,6,1,27,77.0,3,9,277,100.0,100.0,97.1,1,14,2,290,290,71.5,3,6,131,100.0,100.0,95.0,11,2,138,138
Anthony Castonzo,6174,T,IND,6,0,14,75.7,4,10,265,100.0,100.0,96.6,2,16,2,289,289,69.3,2,6,109,100.0,100.0,94.5,10,2,116,116
Jack Mewhort,8694,G,IND,6,0,14,82.3,2,7,265,100.0,100.0,98.3,0,9,0,289,289,75.1,2,5,109,100.0,100.0,96.8,7,0,116,116
Khaled Holmes,7903,C,IND,6,0,14,57.2,3,16,265,100.0,100.0,95.7,1,21,2,289,289,43.9,1,13,109,100.0,100.0,92.7,15,1,116,116
Brandon Brooks,7078,G,HST,6,0,13,87.1,1,4,273,100.0,100.0,98.4,0,7,2,288,288,81.9,1,2,121,100.0,100.0,97.1,5,2,130,130
Stefen Wisniewski,6200,C,JAX,6,1,15,74.5,0,8,268,100.0,100.0,98.1,1,9,1,288,288,61.9,0,7,128,100.0,100.0,96.5,8,1,138,138
Jermey Parnell,5426,T,JAX,6,0,15,60.7,10,16,268,100.0,100.0,94.8,1,27,1,288,288,53.0,8,11,128,100.0,100.0,91.8,20,1,138,138
Zane Beadles,5570,G,JAX,6,0,15,66.3,1,10,268,100.0,100.0,96.1,0,16,5,288,288,56.8,0,7,128,100.0,100.0,94.1,11,4,138,138
Joel Bitonio,8670,G,CLV,6,0,8,81.0,2,8,260,100.0,100.0,97.7,1,11,1,282,282,77.6,1,8,144,100.0,100.0,96.2,10,1,157,157
Alex Mack,4944,C,CLV,6,0,8,80.0,3,3,260,100.0,100.0,97.7,2,9,3,282,282,75.3,3,2,144,100.0,100.0,96.2,8,3,157,157
Mitchell Schwartz,7041,T,CLV,6,0,8,79.5,3,7,260,100.0,100.0,97.3,1,12,2,282,282,76.5,1,7,144,100.0,100.0,96.5,9,1,157,157
Joe Thomas,3619,T,CLV,6,0,8,91.3,0,8,260,100.0,100.0,97.7,0,10,2,282,282,90.7,0,5,144,100.0,100.0,96.9,7,2,157,157
Zach Strief,3155,T,NO,6,0,20,73.1,2,6,264,100.0,100.0,96.6,0,13,5,281,281,64.4,2,4,115,100.0,100.0,93.9,10,4,124,124
