player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Keenan Allen,7857,WR,LAC,10,106,0,27,0,-2.2,1,94.1,,0,0,5.9,1,7,0,78.3,78.5,0,15,0.0,0,49,16,93.9,46,90.4,17,16.0,0,97,133,8.3,6.1,2.11,7.2,5,81.8,63.6,7,11,0.0,0,22,1,90.6,90.8,1,27,0.5,1,190,36,93.2,177,133.0,44,41.5,6,382,170,4.7,10.6,2.16
Stefon Diggs,9579,WR,BUF,10,98,0,4,0,-1.7,3,71.4,,0,0,16.7,1,0,0,32.0,50.3,0,21,0.0,0,52,5,92.3,48,83.6,7,7.1,0,37,45,9.0,7.4,0.77,7.5,5,69.7,50.0,2,4,17.9,5,6,0,48.5,77.9,0,25,0.0,0,140,23,95.0,133,113.3,33,33.7,2,261,108,4.7,11.3,1.96
Robby Anderson,11254,WR,CAR,11,94,0,5,0,-2.6,0,100.0,,0,0,0.0,0,2,0,91.4,68.7,0,24,0.0,0,42,8,97.6,41,88.5,8,8.5,0,42,63,7.9,5.3,1.02,8.1,0,78.9,66.7,4,6,3.2,1,19,0,79.2,78.1,0,26,0.0,0,130,30,92.3,120,102.6,38,40.4,0,328,161,5.4,10.9,2.73
Allen Robinson II,8696,WR,CHI,10,94,0,6,0,-2.6,1,100.0,,0,0,0.0,0,0,0,90.9,50.4,0,7,0.0,0,31,5,96.8,30,79.2,5,5.3,0,14,27,5.4,2.8,0.47,8.1,2,71.0,33.3,3,9,0.0,0,10,0,91.6,76.6,0,24,0.0,0,123,22,97.6,120,87.4,31,33.0,0,195,56,2.5,8.9,1.63
DeAndre Hopkins,7808,WR,ARZ,10,90,0,1,0,-2.3,3,100.0,,0,0,0.0,0,4,0,92.7,79.9,0,12,0.0,0,49,15,93.9,46,81.1,15,16.7,0,52,86,5.7,3.5,1.13,4.6,1,85.7,,0,0,0.0,0,3,0,91.5,83.5,0,33,0.0,0,33,6,93.9,31,111.3,7,7.8,0,75,54,9.0,12.5,2.42
Tyler Lockett,9502,WR,SEA,10,89,0,29,0,-3.5,0,100.0,,0,0,0.0,0,1,0,88.7,56.7,0,17,0.0,0,28,2,96.4,27,116.7,2,2.2,0,24,31,15.5,12.0,0.89,9.4,3,73.3,0.0,0,2,10.8,4,16,0,60.1,75.6,1,43,0.0,0,263,33,93.9,247,96.8,45,50.6,1,383,142,4.3,11.6,1.55
Terry McLaurin,48229,WR,WAS,10,89,0,32,0,-1.6,1,100.0,,0,0,0.0,0,2,0,92.0,64.9,0,20,0.0,0,48,11,97.9,47,90.2,11,12.4,0,62,80,7.3,5.6,1.32,9.9,6,74.1,66.7,4,6,0.0,0,12,1,91.1,83.6,0,68,0.0,0,120,20,94.2,113,137.3,27,30.3,2,316,149,7.5,15.8,2.8
Cooper Kupp,11824,WR,LA,10,87,0,26,0,-1.9,2,87.5,,0,0,0.0,0,1,0,91.1,57.7,0,15,8.3,4,48,7,87.5,42,82.8,8,9.2,0,31,50,7.1,4.4,0.74,7.6,3,74.1,83.3,5,6,2.4,1,18,0,82.4,77.6,1,55,0.4,1,228,40,95.2,217,96.4,54,62.1,1,442,233,5.8,11.1,2.04
Davante Adams,8688,WR,GB,8,87,0,12,0,-1.3,0,100.0,,0,0,0.0,0,3,0,92.4,80.7,0,16,0.0,0,42,14,100.0,42,115.5,14,16.1,1,84,102,7.3,6.0,2.0,7.7,0,86.1,50.0,2,4,0.0,0,18,0,91.7,92.2,0,45,0.0,0,91,31,96.7,88,144.3,36,41.4,6,329,154,5.0,10.6,3.74
Amari Cooper,9437,WR,DAL,10,87,0,9,0,-4.0,0,100.0,,0,0,0.0,0,0,0,84.5,41.4,0,0,0.0,0,36,1,91.7,33,79.2,1,1.1,0,0,4,4.0,0.0,0.0,10.3,0,63.2,50.0,2,4,7.7,1,7,0,90.1,76.3,1,32,0.0,0,97,12,95.9,93,64.8,19,21.8,0,146,39,3.3,12.2,1.57
Tyler Boyd,10689,WR,CIN,10,86,0,7,0,-1.5,1,100.0,,0,0,0.0,0,1,0,90.2,58.2,0,5,3.7,1,27,4,88.9,24,79.2,4,4.7,0,7,13,3.3,1.8,0.29,8.6,6,80.0,62.5,5,8,1.6,1,35,1,91.8,88.7,2,23,0.0,0,364,60,96.2,350,102.7,75,87.2,3,609,202,3.4,10.2,1.74
Travis Kelce,7844,TE,KC,10,86,0,16,0,-1.4,0,100.0,,0,0,0.0,0,2,0,91.1,84.7,0,15,10.5,4,38,7,86.8,33,128.9,7,8.1,1,38,48,6.9,5.4,1.15,10.9,1,72.7,50.0,1,2,0.0,0,15,0,91.2,92.2,1,45,1.0,1,105,16,89.5,94,131.6,22,25.6,3,255,104,6.5,15.9,2.71
Tyreek Hill,10799,WR,KC,10,86,0,16,0,-2.1,1,87.5,,0,0,0.0,0,4,0,91.1,84.6,0,14,0.0,0,40,7,100.0,40,139.1,8,9.3,1,63,79,11.3,9.0,1.58,14.2,4,67.4,50.0,3,6,3.1,1,21,0,72.8,74.4,0,54,0.0,0,241,31,93.8,226,130.0,46,53.5,5,392,139,4.5,12.6,1.73
Diontae Johnson,33441,WR,PIT,9,79,0,25,0,-2.7,0,100.0,,0,0,0.0,0,1,0,91.1,55.6,0,13,0.0,0,36,7,100.0,36,88.7,7,8.9,0,37,56,8.0,5.3,1.03,3.6,0,62.5,,0,0,0.0,0,3,0,60.4,70.7,0,10,0.0,0,55,5,94.5,52,72.4,8,10.1,0,35,29,5.8,7.0,0.67
Darren Waller,9637,TE,LV,10,79,0,23,0,-2.0,1,100.0,,0,0,0.0,0,4,0,91.8,90.7,0,22,3.4,1,29,10,93.1,27,100.8,10,12.7,0,82,102,10.2,8.2,3.04,9.4,0,55.6,60.0,3,5,0.0,0,6,1,86.4,78.8,0,24,1.3,1,75,10,89.3,67,86.1,18,22.8,1,83,38,3.8,8.3,1.24
Alvin Kamara,11822,HB,NO,10,79,0,20,0,-4.8,7,82.6,0.0,0,1,13.6,3,5,0,29.5,94.4,0,34,6.1,2,33,19,87.9,29,104.3,23,29.1,1,128,221,11.6,6.7,4.41,3.2,0,70.0,,0,0,0.0,0,3,0,71.9,92.6,0,29,3.3,1,30,7,93.3,28,86.3,10,12.7,0,62,43,6.1,8.9,2.21
D.J. Moore,48267,WR,CAR,11,77,0,5,0,-2.3,3,66.7,,0,0,0.0,0,2,0,84.5,57.5,0,24,0.0,0,41,2,97.6,40,140.3,3,3.9,2,31,38,19.0,15.5,0.78,11.2,2,69.2,0.0,0,1,10.0,1,5,0,55.5,76.9,1,27,0.0,0,100,9,96.0,96,83.2,13,16.9,1,93,25,2.8,10.3,0.97
A.J. Green,6156,WR,CIN,10,75,0,7,0,,0,,,0,0,,0,0,0,,41.7,0,0,0.0,0,19,0,100.0,19,0.0,0,0.0,0,0,0,,,0.0,14.9,0,40.0,40.0,2,5,0.0,0,3,0,77.4,63.4,0,15,0.0,0,79,4,100.0,79,51.3,10,13.3,0,38,9,2.3,9.5,0.48
Adam Thielen,8288,WR,MIN,10,75,0,18,0,-4.0,0,0.0,,0,0,100.0,1,0,0,21.6,30.0,0,0,0.0,0,20,0,95.0,19,39.6,1,1.3,0,0,0,,,0.0,13.5,0,72.7,71.4,5,7,11.1,2,11,0,50.0,84.7,1,51,0.0,0,80,16,91.3,73,128.8,22,29.3,3,240,54,3.4,15.0,3.29
Jerry Jeudy,61103,WR,DEN,10,74,0,10,0,5.5,1,100.0,,0,0,0.0,0,1,1,84.5,50.0,0,25,0.0,0,13,2,100.0,13,118.8,2,2.7,0,34,23,11.5,17.0,2.62,13.0,4,47.2,33.3,2,6,19.0,4,11,1,47.6,66.0,3,25,0.0,0,163,17,93.9,153,30.3,36,48.6,0,204,70,4.1,12.0,1.33
JuJu Smith-Schuster,11817,WR,PIT,10,73,0,25,0,-0.7,1,100.0,,0,0,0.0,0,5,0,92.1,76.2,0,20,0.0,0,52,12,100.0,52,90.3,12,16.4,0,68,76,6.3,5.7,1.31,6.5,3,79.7,41.7,5,12,2.1,1,24,0,91.4,73.9,2,31,0.0,0,335,47,93.4,313,112.1,59,80.8,5,443,213,4.5,9.4,1.42
Calvin Ridley,48262,WR,ATL,9,73,0,2,0,,0,,,0,0,,0,0,0,,45.7,0,0,0.0,0,11,0,90.9,10,0.0,0,0.0,0,0,0,,,0.0,11.1,0,71.4,0.0,0,1,0.0,0,5,0,66.9,73.8,0,27,0.0,0,40,5,92.5,37,148.8,7,9.6,1,80,16,3.2,16.0,2.16
D.K. Metcalf,47864,WR,SEA,10,73,0,29,0,-1.0,6,100.0,,0,0,0.0,0,1,0,91.1,90.1,0,32,0.0,0,28,7,96.4,27,97.6,7,9.6,0,52,59,8.4,7.4,1.93,18.2,0,33.3,50.0,1,2,50.0,2,2,0,40.0,75.6,1,54,4.6,3,65,2,90.8,59,72.2,6,8.2,2,61,11,5.5,30.5,1.03
CeeDee Lamb,61570,WR,DAL,10,72,0,9,0,-2.1,2,100.0,,0,0,0.0,0,2,0,91.6,67.1,0,14,0.0,0,31,9,93.5,29,87.0,9,12.5,0,44,63,7.0,4.9,1.52,10.4,5,67.6,33.3,4,12,8.0,4,29,1,41.2,71.4,1,43,0.3,1,329,46,96.4,317,108.1,68,94.4,4,591,175,3.8,12.8,1.86
Mike Evans,8642,WR,TB,11,71,0,30,0,0.0,0,100.0,,0,0,0.0,0,1,0,78.7,47.3,0,1,0.0,0,44,1,97.7,43,118.8,1,1.4,1,1,1,1.0,1.0,0.02,11.1,0,72.0,50.0,1,2,0.0,0,16,0,56.1,66.7,1,50,0.0,0,180,18,94.4,170,119.1,25,35.2,2,282,81,4.5,15.7,1.66
Tee Higgins,61211,WR,CIN,10,70,0,7,0,-3.0,0,100.0,,0,0,0.0,0,0,0,84.5,45.4,0,3,3.7,1,27,2,92.6,25,79.2,2,2.9,0,-2,4,2.0,-1.0,-0.08,12.5,1,61.1,50.0,4,8,8.3,1,7,1,90.0,70.9,0,54,1.0,1,100,11,96.0,96,93.8,18,25.7,0,176,66,6.0,16.0,1.83
Brandin Cooks,8655,WR,HST,10,69,0,13,0,-1.8,1,100.0,,0,0,0.0,0,1,0,91.8,90.5,0,57,0.0,0,29,9,96.6,28,143.1,9,13.0,1,85,101,11.2,9.4,3.04,9.5,1,70.0,50.0,2,4,4.5,1,9,0,85.0,75.6,0,57,0.0,0,115,21,95.7,110,109.0,30,43.5,1,270,123,5.9,12.9,2.45
Will Fuller V,10655,WR,HST,10,69,0,13,0,-1.6,3,100.0,,0,0,0.0,0,4,0,91.1,91.3,0,22,0.0,0,33,7,97.0,32,105.4,7,10.1,0,65,76,10.9,9.3,2.03,10.4,0,84.2,66.7,2,3,5.9,1,11,0,85.2,84.1,0,43,0.0,0,88,16,96.6,85,134.9,19,27.5,1,231,54,3.4,14.4,2.72
