player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,2,2.84,0,112,7,68.7,83,89,9.8,2.65,0,4,4.3,59.6,53,39,7.0,104,92.9,4,36,,32.4,69.4,82.3,70.0,,56.5,1,0,109,15.4,85.6,5.8,6,8,2,3,3,2,1.8,483,5.4,71.4,77,83,8.8,2.46,0,4,4.6,61.4,51,31,7.3,94,83.9,4,31,,29.7,67.2,82.0,66.6,,60.5,1,1,99,16.1,81.6,5.3,5,5,2,3,3,3,3.0,423,5.1,64.3,14,14,8.1,3.36,0,0,0.0,64.3,9,8,0.0,18,16.1,0,5,,74.5,61.0,74.3,64.8,,52.2,0,0,18,12.5,81.3,5.6,1,3,0,0,0,0,0.0,86,6.1,0,87.5,8,8,-3.3,2.1,0,0,0.0,87.5,7,0,0.0,8,7.1,0,0,,70.3,39.3,71.5,40.7,,,0,1,8,,40.6,0.0,0,0,0,0,0,1,12.5,26,3.3,1.04
Matt Ryan,4317,QB,ATL,2,3.46,0,97,2,77.9,77,85,11.6,2.76,1,5,5.6,65.9,56,24,6.7,92,94.8,4,40,,84.8,77.8,82.1,78.0,58.8,52.7,0,1,97,12.5,110.3,3.3,3,4,0,7,6,3,3.1,708,8.3,77.9,68,73,10.9,2.59,1,3,3.8,67.1,49,18,7.5,78,80.4,4,34,,83.8,75.2,81.7,75.2,58.8,54.5,0,1,84,11.1,102.4,2.6,2,3,0,4,4,3,3.6,557,7.6,85.7,14,17,9.9,3.26,0,2,11.8,70.6,12,6,0.0,19,19.6,0,6,,74.8,77.3,74.5,77.6,,58.3,0,0,19,16.7,140.8,5.3,1,1,0,3,2,0,0.0,166,9.8,0,100.0,5,5,-2.6,1.92,0,0,0.0,100.0,5,0,0.0,5,5.2,0,0,,68.9,66.0,70.6,65.4,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,15,3.0,2.13
Daniel Jones,39395,QB,NYG,2,9.65,0,95,21,77.1,70,77,7.3,2.74,0,3,3.6,62.3,48,37,11.1,91,95.8,6,33,,54.2,78.9,81.6,74.9,,76.7,1,3,98,18.9,72.6,7.7,7,6,2,4,2,2,2.0,484,6.3,76.3,59,64,6.6,2.59,0,2,2.8,60.9,39,29,13.3,76,80.0,6,25,,49.3,71.9,81.1,68.9,,71.1,0,2,83,20.7,67.3,7.9,6,5,2,3,1,2,2.4,342,5.3,85.7,14,17,7.4,3.36,0,1,5.9,70.6,12,10,0.0,19,20.0,0,9,,74.8,89.3,74.5,83.8,,65.6,1,1,19,10.0,99.6,5.3,1,1,0,2,1,0,0.0,178,10.5,0,100.0,3,4,-6.0,2.8,0,0,0.0,75.0,3,2,0.0,4,4.2,0,1,,66.9,61.0,69.2,60.8,,,0,0,4,0.0,102.1,0.0,0,0,0,1,0,0,0.0,36,9.0,5.13
Dak Prescott,10769,QB,DAL,2,16.07,0,94,9,75.7,70,77,8.8,2.69,1,5,6.3,64.9,50,30,5.7,85,90.4,3,33,,45.8,82.8,81.9,80.1,,69.8,3,0,88,13.3,100.3,4.7,4,4,1,2,2,2,2.3,655,8.5,74.5,55,61,7.3,2.58,1,2,3.1,63.9,39,21,4.9,69,73.4,2,22,,38.9,69.7,81.5,66.5,,69.8,3,0,72,19.0,92.7,5.8,4,4,1,1,2,2,2.8,386,6.3,87.5,24,25,8.4,2.66,0,3,11.5,80.0,20,10,4.8,25,26.6,1,15,,76.6,92.9,75.6,91.8,,,0,0,26,0.0,118.8,0.0,0,0,0,1,0,0,0.0,330,13.2,0,100.0,9,9,-1.8,1.79,0,0,0.0,100.0,9,1,0.0,9,9.6,0,4,,71.4,63.5,72.3,63.1,,,0,0,10,0.0,94.9,0.0,0,0,0,0,0,0,0.0,61,6.8,6.87
Kyler Murray,38334,QB,ARZ,2,-14.44,0,94,1,73.6,53,60,10.4,3.11,2,2,3.1,63.3,38,24,2.6,74,78.7,1,27,,84.5,71.1,0.0,65.2,,81.8,0,2,78,20.8,82.8,6.8,5,9,1,4,2,1,1.3,443,7.4,79.2,53,60,6.0,2.62,1,1,1.5,70.0,42,17,0.0,68,72.3,0,21,,84.1,65.8,0.0,61.8,,75.5,0,1,73,5.9,84.2,1.5,1,7,1,5,1,1,1.4,363,6.1,73.3,15,18,12.5,3.43,1,1,5.6,55.6,10,11,9.1,26,27.7,1,9,,76.6,73.6,0.0,70.4,,74.8,0,1,26,36.4,79.2,15.4,4,3,0,2,1,0,0.0,153,8.5,0,93.3,15,18,-3.1,1.85,0,0,0.0,77.8,14,4,0.0,20,21.3,0,3,,75.4,58.0,0.0,63.3,,58.3,0,0,21,0.0,83.6,0.0,0,1,0,3,0,0,0.0,73,4.1,2.45
Carson Wentz,10636,QB,PHI,2,-9.12,0,94,24,66.2,71,75,11.1,2.74,0,2,2.6,54.7,41,29,12.8,84,89.4,6,26,,27.7,42.7,81.6,41.4,,68.1,1,4,86,27.6,61.4,9.5,8,1,0,3,2,8,9.3,487,6.5,71.7,60,62,9.1,2.53,0,2,3.1,61.3,38,21,11.6,68,72.3,5,18,,25.9,41.7,81.1,39.8,,68.1,0,3,70,23.8,62.6,7.4,5,1,0,2,1,7,10.0,360,5.8,66.7,21,23,9.9,2.79,0,0,0.0,52.2,12,8,14.3,26,27.7,2,8,,76.6,56.1,75.6,56.3,,,1,1,26,37.5,69.5,11.5,3,0,0,1,1,1,3.8,152,6.6,0,100.0,10,10,-3.7,1.44,0,0,0.0,90.0,9,0,10.0,10,10.6,1,0,,71.4,62.5,72.3,62.1,,,0,0,10,,79.2,0.0,0,0,0,0,0,0,0.0,25,2.5,0.8
Josh Allen,46601,QB,BUF,2,3.98,0,90,4,75.4,65,68,10.6,3.21,2,6,8.2,69.1,47,28,4.1,77,85.6,2,31,,28.8,73.1,81.7,78.6,,45.1,0,0,82,10.7,124.3,3.9,3,6,0,1,5,3,3.7,655,9.6,78.7,47,48,5.7,2.81,0,0,0.0,68.8,33,17,10.8,54,60.0,4,17,,26.5,53.4,81.1,59.3,,42.2,0,0,60,11.8,107.9,3.7,2,4,0,1,3,2,3.3,319,6.6,80.6,31,33,12.2,3.21,2,6,18.2,72.7,24,11,4.0,36,40.0,1,18,,78.4,93.8,76.8,92.8,,63.5,0,0,36,9.1,144.5,2.8,1,2,0,0,3,1,2.8,408,12.4,0,100.0,13,13,-3.5,1.55,0,0,0.0,76.9,10,0,23.1,13,14.4,3,4,,73.2,69.2,73.5,68.4,,,0,0,14,,114.9,0.0,0,0,0,0,1,0,0.0,72,5.5,5.71
Patrick Mahomes,11765,QB,KC,2,-7.58,0,87,16,76.9,65,70,8.0,2.68,1,2,2.6,64.3,45,27,10.0,78,89.7,5,32,,84.0,83.1,81.8,79.0,,75.8,2,0,87,7.4,102.6,2.6,2,6,0,2,4,1,1.1,469,6.7,75.5,53,57,6.4,2.61,1,0,0.0,66.7,38,22,5.0,64,73.6,2,30,,82.6,80.5,81.4,76.0,,75.8,1,0,71,4.5,107.6,1.6,1,6,0,2,4,0,0.0,364,6.4,80.0,20,22,8.3,2.64,0,2,8.3,59.1,13,7,18.8,23,26.4,3,5,,76.3,72.3,75.5,71.2,,,1,0,25,14.3,94.7,4.3,1,0,0,1,1,1,4.0,149,6.8,0,75.0,8,9,-1.8,2.07,0,0,0.0,66.7,6,2,0.0,9,10.3,0,3,,70.9,53.7,71.9,54.0,,,0,0,9,0.0,115.0,0.0,0,0,0,1,1,0,0.0,44,4.9,0.38
Teddy Bridgewater,8667,QB,CAR,2,-16.67,0,86,5,77.0,61,64,10.0,2.68,2,4,5.9,70.3,45,26,4.3,74,86.0,2,30,,46.7,65.8,81.6,65.2,,58.9,0,1,78,23.1,97.5,8.1,6,4,0,1,1,4,5.1,585,9.1,79.4,63,64,6.9,2.38,1,3,4.4,75.0,48,17,4.0,71,82.6,2,28,,83.0,68.7,81.5,67.1,,63.5,0,1,75,23.5,98.4,5.6,4,3,0,0,1,3,4.0,539,8.4,70.0,10,12,14.0,3.29,1,1,8.3,58.3,7,9,0.0,15,17.4,0,4,,21.2,49.4,73.7,52.2,,56.8,0,1,15,22.2,49.7,13.3,2,1,0,1,0,2,13.3,97,8.1,0,83.3,12,12,-3.0,1.64,0,0,0.0,83.3,10,0,0.0,12,14.0,0,2,,72.4,55.7,72.9,55.8,,,0,1,12,,49.7,0.0,0,0,0,0,0,1,8.3,51,4.3,-0.34
Deshaun Watson,11767,QB,HST,2,3.78,0,86,13,72.9,59,63,10.3,3.11,0,5,7.7,63.5,40,31,7.0,79,91.9,3,28,,83.8,72.9,81.0,71.1,,65.6,1,2,82,25.8,84.4,10.1,8,8,1,2,2,2,2.4,485,7.7,75.0,52,55,9.3,2.98,0,4,7.0,65.5,36,27,7.7,70,81.4,3,26,,83.1,69.7,80.7,69.9,,58.4,1,0,73,25.9,93.9,10.0,7,8,1,1,1,0,0.0,412,7.5,75.0,12,13,8.6,3.09,0,1,7.7,69.2,9,5,0.0,16,18.6,0,5,,73.9,73.7,73.9,68.4,,65.9,0,2,16,20.0,83.0,6.3,1,1,0,1,1,2,12.5,116,8.9,0,100.0,5,5,-4.2,1.83,0,0,0.0,100.0,5,1,0.0,7,8.1,0,3,,69.6,59.3,71.1,62.6,,57.9,0,0,7,0.0,102.5,0.0,0,1,0,0,0,0,0.0,43,8.6,1.43
