player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Stefon Diggs,9579,WR,BUF,10,98,0,4,10.6,5,69.8,66.7,2,3,14.3,5,18,0,42.3,84.0,1,47,0.0,0,152,30,90.8,138,109.8,43,43.9,2,452,133,4.4,15.1,3.28,0,10.9,5,76.5,50.0,5,10,4.9,2,18,0,65.3,73.9,0,49,0.0,0,241,39,95.0,229,100.6,51,52.0,0,426,96,2.5,10.9,1.86
Allen Robinson II,8696,WR,CHI,10,94,0,6,10.5,2,55.0,33.3,7,21,0.0,0,13,0,84.5,81.3,2,27,0.0,0,135,22,96.3,130,71.3,40,42.6,2,264,64,2.9,12.0,2.03,0,10.6,4,77.6,46.2,6,13,0.0,0,20,0,90.0,76.3,2,42,0.0,0,227,38,98.2,223,93.7,49,52.1,1,438,109,2.9,11.5,1.96
Keenan Allen,7857,WR,LAC,9,87,0,27,8.7,2,67.9,71.4,5,7,0.0,0,16,1,83.6,84.8,0,26,0.0,0,109,19,92.7,101,115.5,28,32.2,2,222,82,4.3,11.7,2.2,0,7.4,5,77.8,45.5,5,11,0.0,0,22,0,90.2,82.4,3,27,0.9,2,211,42,94.8,200,87.7,54,62.1,2,413,215,5.1,9.8,2.07
Robby Anderson,11254,WR,CAR,10,85,0,5,9.9,3,75.0,50.0,4,8,4.0,1,15,0,62.5,87.1,0,75,0.0,0,110,24,86.4,95,121.6,32,37.6,1,358,175,7.3,14.9,3.77,0,9.7,0,74.5,40.0,2,5,2.6,1,19,1,81.8,67.4,1,39,0.0,0,230,38,97.0,223,87.6,51,60.0,0,387,159,4.2,10.2,1.74
DeAndre Hopkins,7808,WR,ARZ,9,82,0,1,8.8,2,83.3,75.0,3,4,0.0,0,11,0,81.1,87.7,1,60,0.0,0,87,15,82.8,72,114.1,18,22.0,1,266,152,10.1,17.7,3.69,0,8.7,9,83.1,66.7,4,6,2.0,1,28,1,86.2,80.4,0,45,0.0,0,251,49,96.8,243,110.1,59,72.0,1,535,161,3.3,10.9,2.2
Terry McLaurin,48229,WR,WAS,9,82,0,32,9.1,1,70.4,50.0,2,4,0.0,0,16,0,83.6,83.8,0,39,0.0,0,119,19,89.9,107,118.8,27,32.9,1,296,157,8.3,15.6,2.77,0,10.7,11,70.0,50.0,2,4,2.8,1,21,1,80.4,73.8,2,68,0.0,0,248,35,97.2,241,97.1,50,61.0,2,480,237,6.8,13.7,1.99
Tyler Lockett,9502,WR,SEA,9,80,0,29,10.9,2,74.1,66.7,2,3,9.1,2,15,0,58.1,80.5,0,39,0.0,0,123,20,93.5,115,140.6,27,33.8,4,241,84,4.2,12.1,2.1,0,13.3,1,68.8,60.0,3,5,10.8,4,17,0,52.8,70.5,1,47,0.0,0,260,33,95.8,249,99.9,48,60.0,2,407,87,2.6,12.3,1.63
Amari Cooper,9437,WR,DAL,9,80,0,9,9.0,2,73.9,100.0,2,2,5.6,1,12,0,67.7,83.6,0,32,0.0,0,88,17,96.6,85,132.9,23,28.8,2,222,67,3.9,13.1,2.61,0,9.1,5,74.5,37.5,3,8,2.4,1,21,0,83.0,71.6,2,58,0.0,0,275,41,97.1,267,81.6,55,68.8,0,429,150,3.7,10.5,1.61
Davante Adams,8688,WR,GB,7,78,0,12,7.5,1,83.9,50.0,3,6,0.0,0,21,0,86.5,93.9,1,45,0.0,0,77,26,94.8,73,136.6,31,39.7,4,326,158,6.1,12.5,4.47,0,11.8,0,72.1,50.0,4,8,0.0,0,16,1,88.3,81.8,1,49,0.0,0,162,31,91.4,148,113.9,43,55.1,3,394,132,4.3,12.7,2.66
Alvin Kamara,11822,HB,NO,9,78,0,20,3.6,2,80.0,100.0,1,1,7.7,1,6,0,63.2,85.2,0,29,12.3,8,65,12,81.5,53,113.3,15,19.2,1,88,72,6.0,7.3,1.66,0,0.2,13,85.7,66.7,2,3,7.7,4,19,0,72.4,91.1,0,52,5.2,9,173,48,90.2,156,109.7,56,71.8,1,498,477,9.9,10.4,3.19
Travis Kelce,7844,TE,KC,9,76,0,16,8.8,2,59.3,0.0,0,4,0.0,0,12,0,81.7,84.7,0,45,8.3,10,120,16,85.0,102,114.0,27,35.5,2,245,123,7.7,15.3,2.4,0,7.8,4,86.4,50.0,1,2,0.0,0,27,1,90.0,90.6,1,32,5.9,13,221,38,90.0,199,118.8,44,57.9,2,490,235,6.2,12.9,2.46
Tyler Boyd,10689,WR,CIN,9,75,0,7,9.2,1,69.7,75.0,3,4,4.2,1,18,0,73.5,88.2,1,25,0.0,0,112,23,93.8,105,93.1,33,44.0,1,281,96,4.2,12.2,2.68,0,8.4,3,87.5,66.7,2,3,0.0,0,18,1,89.3,70.5,1,23,0.0,0,242,35,96.7,234,98.8,40,53.3,1,328,89,2.5,9.4,1.4
Cooper Kupp,11824,WR,LA,9,74,0,26,7.7,3,65.4,50.0,2,4,10.5,2,14,0,54.3,78.3,1,49,1.1,1,88,17,95.5,84,91.3,26,35.1,1,237,127,7.5,13.9,2.82,0,6.9,5,77.3,100.0,1,1,5.6,2,11,0,70.8,68.4,1,55,3.3,7,213,34,92.5,197,95.3,44,59.5,1,324,198,5.8,9.5,1.64
Tyreek Hill,10799,WR,KC,9,72,0,16,16.4,2,60.9,33.3,1,3,0.0,0,13,0,80.6,79.1,0,54,0.0,0,120,14,92.5,111,136.2,23,31.9,5,242,63,4.5,17.3,2.18,0,15.0,5,58.7,0.0,0,2,12.9,4,16,0,46.4,69.4,0,41,0.0,0,213,27,96.2,205,108.6,46,63.9,3,396,107,4.0,14.7,1.93
