player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,10,33,33,4.21,40.12,44.12,7.0,0,0,6,10,1,57.5,11,58,0,0,48.5,112,16,33,138.77,1324,1,1456
Dustin Colquitt,2316,P,PIT,5,20,20,4.21,37.15,43.05,7.1,0,0,2,5,25,61.0,8,59,0,0,55.0,78,11,20,84.29,743,2,861
Sam Koch,3148,P,BLT,10,37,37,4.3,42.92,45.22,5.0,0,0,4,13,3,71.9,17,59,6,0,35.1,65,13,37,159.11,1588,1,1673
Brett Kern,4580,P,TEN,7,20,20,4.22,41.35,48.25,12.3,0,0,2,7,31,72.7,13,66,1,0,40.0,98,8,20,84.33,827,2,965
Kevin Huber,5066,P,CIN,9,43,43,4.32,41.33,47.02,7.4,0,0,9,9,7,57.9,12,70,2,0,39.5,125,17,43,185.6,1777,6,2022
Thomas Morstead,5088,P,NO,9,34,34,4.42,39.74,41.26,3.2,0,0,4,17,20,57.7,17,51,2,0,29.4,32,10,34,150.2,1351,1,1403
Britton Colquitt,5192,P,MIN,10,33,33,4.28,36.0,44.61,11.1,2,0,4,5,18,56.3,7,59,0,0,66.7,244,22,35,141.09,1188,2,1472
Chris Jones,6798,P,DAL,8,24,24,4.44,40.21,42.58,6.2,0,0,0,15,9,60.7,5,54,2,0,25.0,37,6,24,106.59,965,1,1022
Bryan Anger,7072,P,HST,10,37,37,4.38,42.49,47.41,5.9,0,0,2,13,13,75.7,15,67,3,0,37.8,82,14,37,162.08,1572,5,1754
Johnny Hekker,7252,P,LA,9,41,41,4.39,39.61,46.2,15.8,0,0,8,10,26,70.2,24,63,7,0,29.3,190,12,41,179.91,1624,4,1894
Sam Martin,7947,P,DEN,10,38,38,4.11,42.61,48.24,9.2,1,0,2,7,10,68.8,14,69,8,0,50.0,174,19,39,156.24,1619,2,1833
Ryan Allen,8242,P,TEN,1,8,8,3.6,40.0,50.5,10.7,0,0,0,0,31,58.6,1,65,1,0,75.0,64,6,8,28.8,320,1,404
Tress Way,8358,P,WAS,10,43,43,4.42,44.42,48.14,5.5,0,0,7,12,32,71.0,18,61,0,0,51.2,120,22,43,190.26,1910,2,2070
Pat O'Donnell,8826,P,CHI,10,48,48,4.17,39.52,46.6,12.4,0,0,8,14,6,58.9,20,64,1,0,43.8,260,21,48,200.11,1897,4,2237
Bradley Pinion,9598,P,TB,10,40,40,4.29,40.68,44.65,8.5,0,0,4,12,30,72.2,15,59,8,0,35.0,119,14,40,171.46,1627,2,1786
Ty Long,9728,K,LAC,10,36,36,4.18,37.33,46.53,12.7,3,0,3,5,27,57.2,9,63,3,0,63.9,291,23,39,150.53,1344,2,1675
Jordan Berry,10236,P,PIT,5,24,24,4.32,39.67,46.54,13.9,0,0,3,7,25,64.8,13,62,3,0,37.5,125,9,24,103.56,952,2,1117
