player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Allen Robinson II,8696,WR,CHI,6,65,0,6,10.9,2,48.1,20.0,3,15,0.0,0,8,0,80.0,77.3,2,23,0.0,0,80,13,96.3,77,49.3,27,41.5,1,166,49,3.8,12.8,2.16,0,10.1,4,73.5,45.5,5,11,0.0,0,13,0,86.1,76.8,2,37,0.0,0,129,25,96.9,125,82.0,34,52.3,1,272,80,3.2,10.9,2.18
Amari Cooper,9437,WR,DAL,6,63,0,9,8.8,0,76.5,100.0,2,2,0.0,0,10,0,80.0,83.6,0,28,0.0,0,68,13,95.6,65,145.0,17,27.0,2,163,52,4.0,12.5,2.51,0,9.2,5,73.3,20.0,1,5,2.9,1,18,0,79.4,74.6,2,58,0.0,0,203,33,97.0,197,76.2,45,71.4,0,340,131,4.0,10.3,1.73
DeAndre Hopkins,7808,WR,ARZ,6,59,0,1,9.8,2,81.3,75.0,3,4,0.0,0,10,0,80.0,91.1,1,60,0.0,0,62,13,83.9,52,113.5,16,27.1,1,258,145,11.2,19.8,4.96,0,7.6,7,80.0,33.3,1,3,3.0,1,19,0,78.9,81.1,0,45,0.0,0,159,32,97.5,155,100.6,40,67.8,0,326,106,3.3,10.2,2.1
Stefon Diggs,9579,WR,BUF,6,58,0,4,11.3,2,60.0,66.7,2,3,21.1,4,10,0,29.8,73.6,0,47,0.0,0,84,15,88.1,74,107.9,25,43.1,1,255,50,3.3,17.0,3.45,0,11.4,3,80.0,57.1,4,7,7.7,2,12,0,52.2,75.3,0,49,0.0,0,143,24,95.1,136,105.1,30,51.7,0,277,39,1.6,11.5,2.04
Terry McLaurin,48229,WR,WAS,6,55,0,32,9.4,1,70.6,50.0,1,2,0.0,0,10,0,79.4,80.3,0,39,0.0,0,79,12,91.1,72,127.3,17,30.9,1,191,117,9.8,15.9,2.65,0,11.3,8,62.9,0.0,0,2,4.3,1,16,0,72.8,75.2,1,26,0.0,0,164,22,97.6,160,76.6,35,63.6,0,286,142,6.5,13.0,1.79
Calvin Ridley,48262,WR,ATL,6,52,0,2,12.0,1,77.8,50.0,1,2,0.0,0,6,0,75.6,75.2,0,22,0.0,0,58,7,89.7,52,149.3,9,17.3,2,93,24,3.4,13.3,1.79,0,16.7,4,63.2,50.0,4,8,7.7,2,18,0,62.3,74.0,1,63,0.0,0,165,24,98.2,162,96.6,38,73.1,1,402,66,2.8,16.8,2.48
Travis Kelce,7844,TE,KC,6,51,0,16,9.4,1,55.0,0.0,0,3,0.0,0,8,0,78.7,75.9,0,45,6.0,5,84,11,88.1,74,111.9,20,39.2,2,147,66,6.0,13.4,1.99,0,7.6,3,85.7,50.0,1,2,0.0,0,16,1,85.3,82.5,1,32,3.9,6,154,24,90.3,139,108.3,28,54.9,1,300,142,5.9,12.5,2.16
Robby Anderson,11254,WR,CAR,6,51,0,5,11.6,1,81.3,100.0,2,2,7.1,1,9,0,48.0,88.5,0,75,0.0,0,58,13,91.4,53,139.6,16,31.4,1,245,111,8.5,18.8,4.62,0,9.9,0,76.5,25.0,1,4,3.7,1,15,1,74.9,70.1,1,39,0.0,0,146,26,96.6,141,92.3,34,66.7,0,316,127,4.9,12.2,2.24
CeeDee Lamb,61570,WR,DAL,6,49,0,9,9.1,1,53.8,33.3,1,3,0.0,0,5,0,75.6,71.5,1,24,0.0,0,57,7,96.5,55,40.9,13,26.5,0,81,29,4.1,11.6,1.47,0,10.5,2,81.8,50.0,2,4,6.9,2,18,0,55.1,72.1,0,43,0.6,1,177,27,96.6,171,128.4,33,67.3,1,409,124,4.6,15.1,2.39
Adam Thielen,8288,WR,MIN,6,48,0,18,14.8,0,69.2,50.0,4,8,0.0,0,7,0,78.7,90.7,0,35,0.0,0,50,9,88.0,44,134.6,13,27.1,3,110,13,1.4,12.2,2.5,0,14.7,1,65.6,16.7,1,6,4.5,1,13,0,71.3,80.5,2,39,0.0,0,144,21,94.4,136,100.3,32,66.7,3,294,39,1.9,14.0,2.16
