player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Matt Ryan,4317,QB,ATL,9,2.76,2.66,3.31,4.62,382,2,82.1,151,159,6.7,1.95,6,4,2.4,73.6,117,32,5.6,163,42.7,7,67,,,,68.6,75.2,82.7,73.7,,,,0,1,175,12.5,103.7,2.5,4,0,0,2,6,3,1.7,1156,7.3,75.1,173,191,12.0,3.36,0,13,6.6,62.3,119,87,8.5,219,57.3,11,81,,,,90.2,83.7,83.7,83.1,,58.1,,2,4,227,17.2,95.7,6.8,15,13,0,16,9,7,3.1,1590,8.3
Joe Burrow,28022,QB,CIN,8,2.65,2.46,3.47,5.49,372,7,79.0,200,203,6.5,1.89,2,5,2.3,74.4,151,33,4.4,207,55.6,7,85,,,,73.5,79.6,83.5,77.8,,,,0,3,218,12.1,97.4,1.9,4,0,0,1,6,6,2.8,1442,7.1,64.9,111,125,13.2,3.63,0,8,6.2,56.0,70,89,2.8,164,44.1,2,50,,,,25.8,68.8,82.6,68.7,,58.8,,5,2,170,27.0,83.1,14.6,24,15,0,9,5,7,4.1,830,6.6
Patrick Mahomes,11765,QB,KC,9,2.91,2.69,3.58,5.27,369,16,83.3,168,171,4.9,1.86,3,5,2.8,76.0,130,26,7.1,173,46.9,10,77,,,,89.2,85.6,82.8,83.4,,,,0,0,179,7.7,124.1,1.2,2,0,0,0,14,1,0.6,1288,7.5,67.4,144,157,12.9,3.85,0,17,10.0,57.3,90,94,7.2,195,52.8,7,68,,,,90.1,87.5,83.4,86.7,,65.4,,2,1,211,10.6,107.7,5.1,10,28,0,11,11,9,4.3,1399,8.9
Tom Brady,698,QB,TB,9,2.5,2.47,3.23,5.0,360,30,81.2,170,180,5.4,1.92,5,6,3.1,70.0,126,26,8.7,182,50.6,12,64,,,,89.9,76.7,83.1,75.2,,,,1,5,196,7.7,93.7,1.1,2,0,0,4,12,3,1.5,980,5.4,70.3,155,164,13.8,3.11,2,20,11.5,61.0,100,64,8.3,177,49.2,9,59,,,,70.8,92.4,83.0,91.6,,54.2,,2,2,189,17.2,100.1,6.2,11,2,0,5,8,4,2.1,1418,8.6
Josh Allen,46601,QB,BUF,9,3.06,2.86,4.05,5.26,355,4,87.2,125,128,2.9,1.81,2,1,0.7,78.1,100,18,8.3,131,36.9,9,42,,,,63.2,73.9,81.8,72.6,,,,0,1,139,16.7,105.4,2.3,3,0,0,1,6,3,2.2,811,6.3,74.3,171,187,13.6,3.8,5,17,8.5,62.6,117,119,7.9,224,63.1,10,91,,,,75.4,90.2,83.9,86.7,,77.6,,1,4,239,13.4,108.1,7.1,16,21,0,10,13,9,3.8,1776,9.5
Carson Wentz,10636,QB,PHI,8,2.89,2.69,3.76,5.24,353,24,78.8,132,138,6.0,1.88,2,5,3.4,68.8,95,30,8.7,145,41.1,9,45,,,,88.1,72.0,82.2,70.8,,,,3,3,155,23.3,90.6,4.8,7,0,0,1,6,4,2.6,852,6.2,63.5,148,167,12.9,3.61,3,11,6.1,49.7,83,97,11.7,207,58.6,11,54,,,,25.5,54.4,83.6,48.5,,90.7,,1,9,222,25.8,58.7,12.1,25,15,0,15,6,19,8.6,1031,6.2
Daniel Jones,39395,QB,NYG,9,2.75,2.62,3.14,4.96,347,21,82.3,147,157,5.3,1.9,4,8,4.8,70.7,111,41,8.3,162,46.7,10,54,,,,88.8,80.5,82.6,78.7,,,,4,3,170,12.2,87.7,3.1,5,0,0,2,5,3,1.8,906,5.8,70.5,129,147,8.8,3.52,3,8,4.9,54.4,80,108,12.1,184,53.0,11,56,,,,24.5,67.9,83.2,63.2,,83.1,,2,6,202,21.3,64.8,12.5,23,14,0,13,3,9,4.5,972,6.6
Teddy Bridgewater,8667,QB,CAR,9,2.65,2.42,3.62,4.85,347,5,84.4,167,172,4.4,1.81,3,5,2.7,76.7,132,30,6.4,173,49.9,9,68,,,,89.5,72.7,82.9,71.5,,,,1,2,186,3.3,103.8,0.6,1,0,0,1,7,3,1.6,1197,7.0,78.6,117,133,10.6,3.49,1,6,4.2,66.2,88,79,4.3,174,50.1,4,61,,,,70.0,63.5,82.9,61.2,,67.2,,0,4,185,21.5,92.9,9.8,17,24,0,15,4,9,4.9,1219,9.2
Russell Wilson,7077,QB,SEA,8,2.95,2.73,3.51,5.29,344,29,82.9,140,146,5.8,1.89,2,7,4.6,76.7,112,33,3.4,149,43.3,4,60,,,,66.3,85.5,82.2,83.3,,,,3,3,154,9.1,116.5,2.0,3,0,0,1,12,4,2.6,1108,7.6,80.4,138,151,12.6,3.78,1,20,12.4,65.6,99,90,10.8,194,56.4,12,74,,,,72.8,93.2,83.3,91.2,,85.9,,0,5,208,22.2,117.8,10.3,20,23,0,12,16,5,2.4,1433,9.5
Deshaun Watson,11767,QB,HST,8,2.97,2.6,4.09,5.42,325,13,76.3,139,142,6.7,1.82,2,6,4.1,70.4,100,18,5.7,145,44.6,6,52,,,,87.7,76.9,82.0,75.4,,,,0,0,148,16.7,116.8,2.1,3,0,0,1,10,0,0.0,1109,7.8,75.4,118,127,12.3,3.92,0,15,11.2,66.9,85,95,4.5,179,55.1,4,70,,,,70.3,88.6,82.9,83.0,,82.2,,1,5,188,22.1,101.4,11.7,21,31,0,8,7,6,3.2,1267,10.0
