team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
GB,12,1,44,0,1,44,98.9,1,0
LV,23,1,30,0,3,30,95.0,3,0
NO,20,1,34,1,3,34,94.1,4,0
MIA,17,1,34,1,3,34,94.1,4,0
NE,19,1,23,0,1,23,93.5,2,1
ATL,2,1,56,3,3,56,92.9,7,1
IND,14,1,48,5,2,48,92.7,7,0
DEN,10,1,34,1,4,34,92.6,5,0
CAR,5,1,39,0,4,39,92.3,5,1
ARZ,1,1,50,1,7,50,92.0,8,0
LA,26,1,34,1,3,34,91.2,5,1
LAC,27,1,34,2,4,34,91.2,6,0
TEN,31,1,45,6,2,45,91.1,8,0
JAX,15,1,28,0,1,28,91.1,3,2
KC,16,1,33,1,3,33,90.9,5,1
BUF,4,1,53,2,9,53,89.6,11,0
CLV,8,1,42,3,2,42,89.3,7,2
TB,30,1,41,4,4,41,87.8,9,1
CHI,6,1,40,0,10,40,87.5,10,0
BLT,3,1,30,0,6,30,86.7,7,1
SF,28,1,37,3,5,37,86.5,9,1
MIN,18,1,31,2,3,31,85.5,7,2
DET,11,1,46,3,9,46,84.8,13,1
HST,13,1,40,0,9,40,83.7,11,2
DAL,9,1,45,1,11,45,82.2,14,2
PIT,25,1,36,4,7,36,81.9,12,1
SEA,29,1,39,3,10,39,80.8,14,1
CIN,7,1,43,2,14,43,79.1,17,1
NYG,21,1,48,0,19,48,78.1,20,1
WAS,32,1,36,7,9,36,75.0,17,1
PHI,24,1,50,2,13,50,75.0,20,5
NYJ,22,1,37,1,16,37,74.3,18,1
