player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Joe Burrow,28022,QB,CIN,2,2.65,2.4,3.27,5.56,110,7,72.1,61,62,6.6,1.95,0,2,3.0,64.5,40,13,9.1,62,56.4,4,24,,82.1,76.2,79.0,74.7,,,0,0,66,0.0,82.7,0.0,0,0,0,1,1,1,1.5,319,5.1,66.7,30,33,12.8,3.64,0,2,6.1,60.6,20,25,0.0,47,42.7,0,12,,29.8,57.3,77.8,60.2,,52.2,1,1,48,24.0,84.2,12.8,6,8,0,2,2,2,4.2,190,5.8
Matt Ryan,4317,QB,ATL,2,2.72,2.63,3.67,4.03,97,2,82.1,39,40,7.7,2.05,1,1,2.2,75.0,30,8,6.3,41,42.3,2,19,,79.9,72.7,77.7,71.5,,,0,0,46,12.5,104.8,2.4,1,0,0,0,1,1,2.2,306,7.7,76.7,43,50,13.4,3.21,0,4,7.8,62.0,31,16,6.1,56,57.7,2,21,,81.2,77.4,78.5,78.6,,52.2,0,1,57,12.5,113.5,3.6,2,4,0,7,5,2,3.5,417,8.3
Carson Wentz,10636,QB,PHI,2,2.6,2.5,3.45,4.6,94,24,85.4,41,41,5.4,1.83,0,1,2.4,73.2,30,9,14.3,43,45.7,5,13,,79.6,66.3,77.5,65.6,,,0,1,44,22.2,85.3,4.7,2,0,0,0,1,1,2.3,239,5.8,55.0,40,44,13.2,3.25,0,1,2.2,45.5,20,20,9.1,51,54.3,2,13,,23.2,28.7,78.1,29.6,,58.3,1,3,52,30.0,45.0,11.8,6,1,0,3,1,7,13.5,273,6.2
Daniel Jones,39395,QB,NYG,2,2.8,2.64,3.1,5.02,93,21,78.4,37,38,5.3,1.94,0,0,0.0,65.8,25,8,13.8,40,43.0,4,12,,79.5,73.0,77.4,71.8,,,1,1,43,25.0,75.1,5.0,2,0,0,0,1,0,0.0,186,4.9,77.8,36,41,8.2,3.52,0,3,6.7,63.4,26,30,7.1,52,55.9,2,22,,34.9,79.1,78.4,74.0,,76.9,0,2,56,16.7,76.7,9.6,5,6,0,5,1,2,3.6,334,8.1
Kyler Murray,38334,QB,ARZ,2,2.88,2.4,5.04,5.77,93,1,79.6,49,53,4.1,1.86,1,0,0.0,71.7,38,10,2.6,53,57.0,1,17,,81.2,58.9,78.5,58.8,,,0,2,57,0.0,73.2,0.0,0,0,0,3,1,1,1.8,265,5.0,73.7,19,24,16.0,4.33,1,2,8.0,58.3,14,18,0.0,39,41.9,0,13,,79.0,81.2,0.0,74.6,,81.0,0,0,40,27.8,108.2,12.8,5,10,0,4,1,0,0.0,251,10.5
Dak Prescott,10769,QB,DAL,2,2.63,2.53,3.15,4.35,93,9,81.4,43,44,4.4,1.92,1,1,2.2,77.3,34,5,2.9,45,48.4,1,18,,80.0,65.0,77.7,64.4,,,0,0,47,20.0,101.8,2.2,1,0,0,0,1,1,2.1,293,6.7,75.0,36,41,11.4,3.3,0,4,9.3,61.0,25,26,7.4,48,51.6,2,19,,28.1,91.3,78.0,88.3,,76.8,3,0,50,11.5,104.0,6.3,3,4,0,2,1,1,2.0,423,10.3
Josh Allen,46601,QB,BUF,2,2.97,2.72,3.73,6.07,90,4,82.1,39,40,2.6,1.79,1,0,0.0,70.0,28,3,12.5,40,44.4,4,14,,79.3,75.2,77.3,73.8,,,0,0,42,0.0,92.1,0.0,0,0,0,0,1,1,2.4,224,5.6,76.9,39,41,14.0,3.92,1,6,13.3,70.7,29,25,3.3,50,55.6,1,21,,80.9,78.9,78.3,77.3,,65.1,0,0,54,12.0,151.7,6.0,3,6,0,1,5,2,3.7,503,12.3
Patrick Mahomes,11765,QB,KC,2,2.62,2.44,2.65,4.98,87,16,82.2,45,46,4.5,1.88,1,0,0.0,73.9,34,8,8.1,46,52.9,3,21,,80.0,65.1,77.7,64.5,,,0,0,47,0.0,104.5,0.0,0,0,0,0,2,0,0.0,291,6.3,67.9,28,33,10.8,3.45,0,2,5.1,51.5,17,21,10.5,41,47.1,2,14,,80.3,88.6,77.9,83.8,,75.8,2,0,49,9.5,103.3,4.9,2,6,0,3,3,1,2.0,222,6.7
Teddy Bridgewater,8667,QB,CAR,2,2.54,2.38,3.18,4.53,86,5,82.5,40,42,3.5,1.79,2,2,4.5,76.2,32,7,3.0,43,50.0,1,14,,79.8,74.9,77.6,73.6,,,0,1,45,14.3,81.5,2.3,1,0,0,0,0,1,2.2,261,6.2,72.7,33,34,13.2,3.28,0,2,5.6,67.6,23,19,4.2,43,50.0,1,18,,29.2,53.8,77.6,54.0,,58.9,0,1,45,26.3,102.0,11.6,5,4,0,1,1,4,8.9,375,11.0
Deshaun Watson,11767,QB,HST,2,3.04,2.54,4.4,5.83,85,13,83.3,36,37,7.4,1.81,0,2,5.3,73.0,27,5,10.0,38,44.7,3,16,,78.9,74.9,77.1,73.5,,,0,0,39,20.0,102.1,2.6,1,0,0,1,1,0,0.0,268,7.2,64.3,28,30,11.4,4.12,0,3,9.7,60.0,18,27,0.0,46,54.1,0,15,,80.1,66.4,77.8,66.0,,61.7,1,2,48,25.9,71.5,15.2,7,9,0,1,1,2,4.2,260,8.7
