player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,6,-6.14,0,284,7,71.8,209,225,10.2,2.7,2,8,3.4,62.7,141,102,6.0,263,92.6,9,90,,37.6,76.0,86.3,75.4,,58.7,5,3,274,23.5,85.3,9.1,24,13,2,7,6,8,2.9,1493,6.6,74.7,174,188,8.6,2.51,2,7,3.6,66.5,125,81,3.8,216,76.1,5,69,,44.1,75.6,85.9,74.5,,61.7,3,3,226,21.0,84.7,7.9,17,10,2,7,4,7,3.1,1208,6.4,69.6,56,58,10.3,3.05,0,1,1.7,60.3,35,22,10.3,68,23.9,4,25,,42.6,66.5,79.2,67.3,,52.2,2,1,69,31.8,86.1,10.3,7,3,0,0,2,2,2.9,409,7.1,0,90.5,21,21,-2.9,1.9,0,0,0.0,90.5,19,1,0.0,21,7.4,0,4,,75.4,54.3,74.9,54.5,,,0,1,21,0.0,71.4,0.0,0,0,0,0,0,1,4.8,124,5.9,0.62
Gardner Minshew,41401,QB,JAX,6,6.84,0,274,15,75.2,206,222,9.2,2.83,2,10,4.3,66.7,148,84,4.5,256,93.4,7,92,,49.4,66.8,59.8,66.6,59.8,58.5,2,5,268,20.2,94.2,6.6,17,17,1,11,11,6,2.2,1566,7.1,76.0,183,199,7.6,2.7,2,7,3.4,66.3,132,68,5.0,225,82.1,7,73,,43.8,63.6,57.2,63.7,,56.8,1,4,234,17.6,90.4,5.3,12,14,1,12,8,5,2.1,1339,6.7,77.5,40,41,11.2,2.94,0,3,6.8,73.2,30,18,3.2,49,17.9,1,22,,80.6,69.0,78.2,67.9,59.8,63.5,1,1,52,27.8,112.1,10.2,5,3,0,0,3,2,3.8,343,8.4,0,88.2,17,18,-3.1,1.56,0,0,0.0,77.8,14,2,6.7,18,6.6,1,3,,74.5,50.8,74.3,51.3,,,0,0,18,0.0,93.5,0.0,0,0,0,1,0,1,5.6,116,6.4,1.64
Carson Wentz,10636,QB,PHI,6,-5.28,0,272,24,68.7,195,211,10.9,2.97,2,9,4.0,56.9,120,95,10.4,248,91.2,14,75,,36.8,62.2,86.0,56.9,56.7,80.2,4,9,264,26.3,71.0,10.1,25,12,0,10,8,17,6.4,1351,6.4,71.4,161,173,9.1,2.72,2,8,4.3,60.1,104,70,9.6,199,73.2,11,58,,29.3,65.0,85.5,58.6,59.3,83.4,3,6,212,25.7,75.1,9.0,18,8,0,7,6,13,6.1,1073,6.2,67.9,56,62,10.1,3.19,1,1,1.5,54.8,34,28,10.5,73,26.8,4,17,,83.2,54.1,79.6,54.6,58.4,57.3,1,3,77,25.0,60.4,9.6,7,4,0,4,2,4,5.2,328,5.3,0,86.4,22,24,-4.1,1.65,1,0,0.0,75.0,18,3,5.3,24,8.8,1,0,,76.3,59.3,75.5,59.1,,,0,0,25,0.0,77.1,0.0,0,0,0,1,0,0,0.0,50,2.1,-0.91
Matt Ryan,4317,QB,ATL,6,7.1,0,265,2,75.2,210,230,10.5,2.77,3,10,4.2,64.3,148,76,6.3,251,94.7,10,93,,77.5,75.6,86.2,75.0,58.8,51.7,2,3,260,17.1,98.1,5.2,13,8,1,14,11,8,3.1,1758,7.6,74.7,170,183,9.9,2.61,3,7,3.7,63.4,116,58,8.7,201,75.8,11,73,,90.1,74.9,85.7,74.6,58.8,51.7,2,3,212,19.0,88.5,5.5,11,7,1,7,6,5,2.4,1295,7.1,82.7,52,61,9.5,3.08,0,3,4.8,70.5,43,18,0.0,64,24.2,0,24,,40.5,69.8,78.9,69.5,,58.3,0,0,65,11.1,125.6,3.1,2,1,0,9,5,3,4.6,548,9.0,0,100.0,12,14,-1.8,1.91,0,0,0.0,78.6,11,0,8.3,14,5.3,1,4,,74.2,63.9,74.1,65.4,,58.3,0,0,17,,92.0,0.0,0,0,0,2,0,0,0.0,85,6.1,1.9
Patrick Mahomes,11765,QB,KC,6,1.23,0,254,16,72.8,184,194,9.7,3.19,2,15,7.2,63.9,124,86,7.5,227,89.4,10,90,,77.0,84.5,86.0,84.9,,59.7,2,1,245,8.1,105.8,3.1,7,26,0,6,11,9,3.7,1570,8.1,72.3,155,162,8.4,3.15,2,11,6.3,65.4,106,72,5.4,190,74.8,6,80,,73.5,83.2,85.6,84.6,,56.5,1,1,205,8.3,109.3,3.2,6,22,0,4,11,6,2.9,1267,7.8,80.8,52,57,7.8,2.87,1,4,6.8,66.7,38,17,9.5,64,25.2,4,19,,82.2,72.0,79.1,70.8,,63.2,1,0,67,5.9,112.6,1.6,1,5,0,3,4,3,4.5,432,7.6,0,87.0,23,25,-3.2,2.09,1,0,0.0,80.0,20,3,0.0,27,10.6,0,9,,76.8,58.1,75.8,60.8,,55.7,0,0,27,0.0,127.8,0.0,0,1,0,1,4,0,0.0,129,5.2,-0.24
Dak Prescott,10769,QB,DAL,5,-0.38,0,240,9,75.7,185,197,9.6,2.69,3,12,5.9,65.5,129,65,7.9,215,89.6,11,90,64.7,71.7,85.4,85.3,80.5,91.2,78.9,4,4,220,15.4,100.4,4.7,10,8,1,4,9,9,4.1,1748,8.9,76.2,151,160,8.8,2.59,2,9,5.5,68.1,109,47,5.2,173,72.1,6,68,64.7,67.2,81.7,84.7,77.0,91.2,75.8,4,3,177,12.8,103.0,3.5,6,7,1,2,9,8,4.5,1277,8.0,82.8,58,62,6.9,2.61,1,3,4.6,67.7,42,20,12.5,67,27.9,6,29,,82.3,81.9,79.2,78.6,,65.6,0,1,70,20.0,90.7,6.0,4,1,0,3,0,1,1.4,579,9.3,0,95.8,24,25,-2.3,1.78,0,0,0.0,88.0,22,2,4.3,25,10.4,1,7,,76.8,67.6,75.8,66.9,,,0,0,27,0.0,84.7,0.0,0,0,0,1,0,0,0.0,108,4.3,1.36
Deshaun Watson,11767,QB,HST,6,-7.78,0,239,13,73.6,178,187,10.8,3.05,2,17,8.8,66.3,124,79,5.3,224,93.7,7,87,,75.1,83.9,85.4,81.5,,68.9,1,5,231,24.1,107.8,8.5,19,18,2,4,13,5,2.2,1723,9.2,75.8,157,163,9.3,2.87,1,15,9.0,69.9,114,62,4.2,194,81.2,5,75,,72.0,81.9,85.0,80.7,,63.2,1,2,199,24.2,109.8,7.7,15,16,2,2,9,3,1.5,1415,8.7,73.5,34,37,12.4,3.3,1,2,5.1,62.2,23,18,8.0,45,18.8,2,16,,80.0,77.1,77.8,73.3,,72.6,0,3,47,22.2,97.9,8.9,4,3,0,2,4,2,4.3,371,10.0,0,100.0,13,13,-3.4,1.44,0,0,0.0,100.0,13,1,0.0,15,6.3,0,4,,73.5,64.0,73.7,66.0,,57.9,0,0,15,0.0,86.9,0.0,0,1,0,0,0,0,0.0,63,4.8,1.35
Josh Allen,46601,QB,BUF,6,-2.7,0,237,4,76.7,176,187,10.9,3.25,5,16,8.0,66.3,124,85,8.1,208,87.8,11,81,,46.9,86.9,85.6,86.7,,62.8,0,4,222,10.6,108.1,4.3,9,12,0,6,14,8,3.6,1556,8.3,78.6,126,129,7.5,2.94,2,5,3.5,68.2,88,53,11.1,144,60.8,11,50,,34.2,70.1,84.8,69.1,,62.8,0,4,158,11.3,96.1,4.2,6,9,0,1,8,7,4.4,910,7.1,80.5,77,87,11.5,3.22,4,11,12.2,65.5,57,34,8.1,93,39.2,5,38,,84.6,94.5,80.4,93.6,,60.8,0,0,96,8.8,125.7,3.2,3,3,0,6,8,1,1.0,801,9.2,0,96.3,27,29,-3.3,1.6,1,0,0.0,72.4,21,2,19.2,29,12.2,5,7,,77.7,66.3,76.4,65.7,,,0,0,32,0.0,107.7,0.0,0,0,0,1,2,0,0.0,155,5.3,2.16
Teddy Bridgewater,8667,QB,CAR,6,-2.77,0,235,5,79.8,168,177,8.9,2.71,4,6,3.2,69.5,123,57,8.2,206,87.7,11,82,,74.2,67.7,59.8,67.6,,58.5,0,4,217,21.1,95.9,5.8,12,17,0,5,5,8,3.7,1527,8.6,80.1,151,158,7.3,2.5,2,5,3.0,71.5,113,41,6.6,179,76.2,8,66,,89.9,66.7,57.8,67.6,,53.1,0,4,189,22.0,90.2,5.0,9,12,0,5,2,6,3.2,1322,8.4,86.0,43,48,7.0,2.99,2,1,2.0,68.8,33,18,10.8,56,23.8,4,23,,36.3,65.8,78.5,63.0,,69.3,0,1,58,16.7,109.2,5.4,3,5,0,3,4,3,5.2,354,7.4,0,92.3,26,29,-3.9,1.97,0,0,0.0,79.3,23,2,4.2,29,12.3,1,7,,77.4,61.0,76.1,60.7,,,0,1,30,0.0,85.2,0.0,0,0,0,3,1,1,3.3,149,5.1,-0.99
Tom Brady,698,QB,TB,6,4.11,0,234,30,72.7,183,194,11.0,2.59,6,20,9.6,60.8,118,55,11.3,203,86.8,15,70,,90.2,91.1,85.7,90.3,,63.7,2,3,219,12.7,99.1,3.4,7,2,0,3,13,2,0.9,1415,7.3,75.1,169,180,8.8,2.41,6,13,6.7,63.3,114,51,10.2,190,81.2,13,56,,90.1,80.9,85.5,79.0,,63.7,2,2,206,13.7,96.2,3.7,7,2,0,3,11,2,1.0,1107,6.2,78.0,41,43,11.0,2.71,0,7,15.6,67.4,29,5,9.4,44,18.8,3,17,,79.9,93.5,77.7,92.4,,,0,2,46,20.0,104.2,2.3,1,0,0,2,3,1,2.2,434,10.1,0,96.3,27,29,-2.8,1.69,0,0,0.0,86.2,25,1,3.8,31,13.2,1,3,,77.9,48.3,76.5,48.8,,,0,1,33,100.0,81.9,3.2,1,0,0,2,1,1,3.0,126,4.3,3.94
