player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,3,9.91,0,164,7,70.3,118,128,10.0,2.66,1,6,4.5,61.7,79,62,4.8,151,92.1,4,52,,47.3,78.2,83.7,78.3,,56.7,2,0,158,22.6,90.1,9.3,14,8,2,5,5,2,1.3,725,5.7,71.8,103,112,8.8,2.48,1,6,5.1,62.5,70,46,5.4,128,78.0,4,40,,41.5,73.2,83.3,72.4,,60.6,1,1,135,21.7,82.0,7.8,10,5,2,5,3,3,2.2,607,5.4,75.0,28,29,8.4,3.03,0,0,0.0,72.4,21,16,0.0,36,22.0,0,15,,78.4,76.0,76.8,77.8,,52.2,1,0,36,25.0,116.2,11.1,4,3,0,0,2,0,0.0,214,7.4,0,92.3,13,13,-2.6,1.89,0,0,0.0,92.3,12,0,0.0,13,7.9,0,3,,72.8,47.3,73.2,48.0,,,0,1,13,,65.4,0.0,0,0,0,0,0,1,7.7,96,7.4,1.96
Dak Prescott,10769,QB,DAL,3,3.98,0,156,9,75.7,115,125,9.7,2.71,3,7,5.4,64.0,80,43,8.0,138,88.5,7,53,,60.5,87.6,83.5,84.0,,75.2,3,2,142,14.0,99.3,4.3,6,7,1,3,5,5,3.5,1117,8.9,76.0,96,103,8.8,2.61,2,4,3.7,66.0,68,30,6.8,114,73.1,5,39,,55.8,78.5,83.1,75.5,,71.2,3,2,118,16.7,97.0,4.4,5,6,1,1,5,5,4.2,786,7.6,86.1,36,40,6.6,2.57,1,3,7.1,70.0,28,15,9.7,42,26.9,3,19,,79.5,91.3,77.5,89.1,,65.6,0,0,44,6.7,102.3,2.4,1,1,0,3,0,0,0.0,402,10.1,0,100.0,17,18,-2.1,1.79,0,0,0.0,88.9,16,2,5.9,18,11.5,1,5,,75.1,65.9,74.7,65.3,,,0,0,20,0.0,83.1,0.0,0,0,0,1,0,0,0.0,71,3.9,2.42
Carson Wentz,10636,QB,PHI,3,-11.46,0,150,24,68.5,108,116,10.1,2.82,1,3,2.5,57.8,67,42,9.5,134,89.3,7,41,,27.9,46.7,83.6,39.1,,90.0,1,6,140,26.2,62.8,8.2,11,7,0,6,3,12,8.6,710,6.1,72.5,91,97,8.0,2.54,1,3,3.0,62.9,61,28,7.6,109,72.7,5,31,,26.1,51.3,83.1,42.6,,90.4,0,5,114,25.0,63.7,6.4,7,5,0,5,2,10,8.8,555,5.7,65.6,32,35,9.3,3.01,0,0,0.0,51.4,18,14,14.3,41,27.3,3,10,,79.3,44.1,77.3,43.9,,62.2,1,1,42,28.6,64.2,9.8,4,2,0,2,1,2,4.8,182,5.2,0,86.7,15,16,-3.8,1.43,0,0,0.0,75.0,12,0,7.7,16,10.7,1,0,,73.9,59.6,73.9,59.4,,,0,0,16,,77.1,0.0,0,0,0,1,0,0,0.0,27,1.7,-0.52
Matt Ryan,4317,QB,ATL,3,6.86,0,137,2,74.3,105,119,12.0,2.76,3,6,4.8,61.3,73,37,6.4,128,93.4,5,51,,87.2,75.5,83.5,75.6,58.8,51.7,1,2,136,13.5,97.8,3.9,5,4,0,10,7,4,2.9,915,7.7,73.6,91,100,10.6,2.54,3,3,2.8,61.0,61,29,9.0,107,78.1,6,42,,86.1,67.6,83.1,67.7,58.8,53.2,1,2,116,13.8,85.8,3.7,4,3,0,5,4,4,3.4,669,6.7,86.4,22,28,12.7,3.27,0,3,10.7,67.9,19,8,0.0,30,21.9,0,11,,77.4,90.4,76.1,90.1,,58.3,0,0,30,12.5,137.8,3.3,1,1,0,6,3,0,0.0,292,10.4,0,100.0,8,9,-1.5,1.87,0,0,0.0,77.8,7,0,12.5,9,6.6,1,2,,71.4,65.5,72.3,64.9,,,0,0,10,,88.0,0.0,0,0,0,1,0,0,0.0,46,5.1,3.74
Patrick Mahomes,11765,QB,KC,3,-5.68,0,134,16,77.5,102,108,8.6,2.73,1,6,5.2,67.6,73,40,7.6,120,89.6,6,54,,86.8,91.5,83.4,90.0,,77.4,2,0,131,5.0,112.3,1.7,2,10,0,3,7,1,0.8,838,7.8,77.1,83,88,7.4,2.69,1,3,3.2,69.3,61,34,4.7,99,73.9,3,49,,85.4,89.8,83.0,85.7,,77.4,1,0,108,2.9,109.7,1.0,1,10,0,3,5,0,0.0,652,7.4,80.0,30,33,7.7,2.5,1,3,8.6,63.6,21,8,12.5,35,26.1,3,10,,78.6,81.6,76.9,79.7,,,1,0,37,12.5,125.8,2.9,1,0,0,1,4,1,2.7,246,7.5,0,81.8,11,13,-2.4,1.91,1,0,0.0,69.2,9,2,0.0,14,10.4,0,5,,73.2,54.3,73.5,54.5,,,0,0,14,0.0,118.6,0.0,0,0,0,1,2,0,0.0,60,4.6,0.04
Kyler Murray,38334,QB,ARZ,3,-8.67,0,131,1,72.3,83,92,10.5,3.0,2,4,4.1,63.0,58,32,3.3,108,82.4,2,42,,87.1,73.9,0.0,67.3,,85.3,0,5,114,18.8,77.9,5.6,6,10,1,6,4,3,2.6,693,7.5,78.4,74,83,7.1,2.59,1,3,3.4,68.7,57,23,1.7,92,70.2,1,32,,86.2,72.9,0.0,67.8,,80.1,0,4,98,4.3,77.8,1.1,1,8,1,7,3,2,2.0,529,6.4,70.4,27,30,10.9,3.24,1,1,3.2,60.0,18,13,5.3,39,29.8,1,15,,79.0,66.5,0.0,64.0,,74.8,0,1,40,38.5,85.0,12.8,5,3,0,2,1,1,2.5,257,8.6,0,94.4,18,21,-2.9,1.76,0,0,0.0,81.0,17,4,0.0,23,17.6,0,5,,76.1,59.6,0.0,64.4,,58.3,0,0,24,0.0,85.1,0.0,0,1,0,3,0,0,0.0,93,4.4,2.2
Daniel Jones,39395,QB,NYG,3,5.86,0,130,21,73.7,95,107,8.0,2.76,1,4,3.4,58.9,63,52,10.0,124,95.4,7,41,,63.4,77.2,82.8,73.5,,75.0,3,4,133,17.3,67.5,7.3,9,7,2,6,2,3,2.3,661,6.2,73.8,84,93,7.5,2.6,1,3,3.0,59.1,55,42,11.3,107,82.3,7,32,,59.9,72.6,82.4,69.2,,73.0,2,3,115,19.0,64.3,7.5,8,5,2,4,1,3,2.6,508,5.5,81.3,16,20,7.3,3.4,0,1,4.8,65.0,13,12,0.0,23,17.7,0,10,,76.1,83.6,75.3,80.6,,66.4,1,1,24,8.3,91.9,4.3,1,2,0,3,1,0,0.0,191,9.6,0,100.0,5,6,-4.0,2.28,0,0,0.0,83.3,5,2,0.0,6,4.6,0,1,,68.9,62.8,70.6,62.4,,,0,0,6,0.0,93.1,0.0,0,0,0,1,0,0,0.0,38,6.3,4.09
Gardner Minshew,41401,QB,JAX,3,-4.71,0,127,15,79.1,91,96,9.0,2.84,0,4,4.0,70.8,68,36,5.6,116,91.3,4,46,,34.4,63.7,34.3,64.5,,57.1,1,3,120,27.8,99.7,8.6,10,10,0,4,6,4,3.3,710,7.4,81.9,83,87,6.7,2.59,0,3,3.3,74.7,65,29,4.4,100,78.7,3,37,,29.6,61.6,30.1,63.0,,54.3,0,3,104,20.7,94.3,6.0,6,7,0,4,4,3,2.9,606,7.0,78.9,19,20,11.7,3.23,0,1,5.0,70.0,14,9,6.7,27,21.3,1,11,,76.8,70.1,75.8,68.6,,63.5,1,0,27,44.4,131.5,14.8,4,3,0,0,2,1,3.7,181,9.1,0,100.0,11,11,-3.5,1.59,0,0,0.0,100.0,11,2,0.0,11,8.7,0,2,,71.9,67.5,72.6,66.9,,,0,0,11,0.0,95.8,0.0,0,0,0,0,0,0,0.0,77,7.0,2.08
Josh Allen,46601,QB,BUF,3,1.15,0,127,4,76.3,93,96,11.1,3.28,2,9,8.7,70.8,68,45,4.2,109,85.8,3,44,,27.4,81.2,83.1,84.7,,50.2,0,1,117,15.6,127.8,6.4,7,6,0,1,9,4,3.4,917,9.6,77.6,67,68,7.0,2.96,0,1,1.3,70.6,48,27,7.7,77,60.6,4,24,,25.1,60.5,82.4,64.1,,48.1,0,1,86,18.5,105.3,6.5,5,4,0,1,4,3,3.5,505,7.4,81.4,43,46,11.7,3.18,2,8,17.0,71.7,33,18,5.7,50,39.4,2,25,,80.5,95.4,78.0,94.2,,63.5,0,0,51,11.1,149.7,4.0,2,2,0,1,6,1,2.0,533,11.6,0,94.1,17,18,-3.5,1.61,0,0,0.0,72.2,13,0,18.8,18,14.2,3,5,,75.1,65.5,74.7,64.9,,,0,0,20,,108.8,0.0,0,0,0,1,1,0,0.0,121,6.7,4.16
Russell Wilson,7077,QB,SEA,3,-9.99,0,122,29,89.9,89,95,9.1,3.27,2,10,9.8,75.8,72,46,10.0,114,93.4,8,45,,86.7,93.9,83.2,93.4,,67.7,0,1,124,19.6,139.4,7.9,9,10,0,4,13,0,0.0,889,9.4,89.2,74,77,8.4,3.02,1,8,9.5,79.2,61,33,7.6,89,73.0,5,32,,85.2,92.3,82.7,92.0,,63.1,0,0,99,24.2,146.0,9.0,8,4,0,2,9,0,0.0,746,9.7,95.5,22,26,7.2,3.7,1,2,7.4,69.2,18,14,14.3,33,27.0,3,14,,78.1,90.2,76.6,88.7,,68.5,0,1,34,7.1,112.0,3.0,1,6,0,3,5,0,0.0,179,6.9,0,100.0,7,8,-5.3,2.24,0,0,0.0,87.5,7,1,0.0,8,6.6,0,1,,70.9,65.2,71.9,64.7,,,0,0,9,0.0,125.0,0.0,0,0,0,1,1,0,0.0,36,4.5,-2.81
