player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,7,0,3,2,66.7,3,3,100.0,28,73.0,0,0,,20,19,95.0,0,3,3,100.0,11,10,90.9,2,2,100.0
Stephen Gostkowski,3063,K,TEN,6,0,5,5,100.0,5,1,20.0,31,48.5,0,0,,20,18,90.0,0,4,3,75.0,16,10,62.5,2,1,50.0
Matt Prater,3471,K,DET,6,0,5,2,40.0,4,3,75.0,11,66.7,0,0,,16,16,100.0,0,5,5,100.0,16,12,75.0,2,2,100.0
Nick Folk,3794,K,NE,6,0,1,0,0.0,5,4,80.0,19,52.3,0,0,,11,10,90.9,0,3,3,100.0,11,9,81.8,2,2,100.0
Mason Crosby,3809,K,GB,6,0,1,1,100.0,4,4,100.0,12,73.6,0,0,,23,22,95.7,0,4,4,100.0,9,9,100.0,0,0,
Stephen Hauschka,4655,K,JAX,1,0,0,0,,1,0,0.0,15,28.9,0,0,,2,2,100.0,0,0,0,,2,0,0.0,1,0,0.0
Ryan Succop,5180,K,TB,7,0,2,1,50.0,3,2,66.7,30,73.0,0,0,,26,25,96.2,0,5,5,100.0,13,11,84.6,3,3,100.0
Graham Gano,5443,K,NYG,7,0,5,4,80.0,2,2,100.0,21,77.6,0,0,,9,9,100.0,0,5,5,100.0,16,15,93.8,4,4,100.0
Dan Bailey,6796,K,MIN,6,0,2,1,50.0,3,2,66.7,18,58.4,0,0,,11,11,100.0,0,2,2,100.0,8,6,75.0,1,1,100.0
Randy Bullock,7154,K,CIN,7,0,2,2,100.0,7,6,85.7,7,69.0,0,0,,16,16,100.0,0,7,6,85.7,19,17,89.5,3,3,100.0
Greg Zuerlein,7163,K,DAL,7,0,2,0,0.0,5,5,100.0,9,66.6,0,0,,16,14,87.5,0,4,4,100.0,12,10,83.3,1,1,100.0
Justin Tucker,7604,K,BLT,6,0,2,1,50.0,7,7,100.0,3,82.1,0,0,,20,20,100.0,0,3,3,100.0,14,13,92.9,2,2,100.0
