player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Thomas Davis Sr.,2231,LB,WAS,6,0,0,32,50.9,0,0,5,7.8,0.0,0,0,0.0,0,64,5,0,0,55.3,0,0,2,7.1,0.0,0,0.0,0,28,2,0
Johnathan Joseph,2969,CB,ARZ,11,0,0,1,55.7,0,0,4,1.5,0.0,0,1,0.0,0,264,4,0,0,58.8,0,0,1,1.0,0.0,0,0.0,0,96,1,0
Domata Peko Sr.,3068,DI,ARZ,3,0,0,1,54.7,0,1,36,97.4,2.8,1,0,1.4,0,39,38,1,0,52.7,0,0,10,100.0,0.0,0,0.0,0,11,11,0
Tramon Williams,3558,CB,BLT,3,0,0,3,70.4,1,0,4,8.9,0.0,0,0,12.5,0,45,4,1,0,60.3,1,0,1,11.1,0.0,0,50.0,0,9,1,1
Calais Campbell,4364,DI,BLT,10,5,0,3,66.8,3,14,234,96.9,10.7,25,2,4.9,3,259,251,20,2,65.3,1,9,102,98.3,12.7,13,6.9,2,120,118,12
Malcolm Jenkins,4937,S,NO,13,0,0,20,60.6,3,10,63,12.5,14.3,9,3,13.5,2,520,65,15,0,47.2,0,5,29,12.5,10.3,3,12.1,1,240,30,6
Jason McCourty,5127,CB,NE,13,0,0,19,51.8,0,0,5,1.5,0.0,0,2,0.0,0,341,5,0,0,55.5,0,0,2,1.4,0.0,0,0.0,0,143,2,0
Steve McLendon,5232,DI,TB,13,0,0,30,63.3,0,8,183,98.0,7.1,13,2,2.2,0,202,198,8,0,58.1,0,2,44,95.8,9.1,4,2.3,0,48,46,2
Ndamukong Suh,5527,DI,TB,13,0,1,30,67.4,11,26,427,98.7,12.2,52,6,5.5,5,458,452,42,0,72.4,6,19,185,99.5,18.4,34,9.5,5,201,200,30
Tyson Alualu,5535,DI,PIT,12,4,0,25,84.3,3,7,171,100.0,11.7,20,1,4.1,2,185,185,12,2,91.9,3,5,74,100.0,21.6,16,8.1,2,78,78,10
