player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Dak Prescott,10769,QB,DAL,4,78.2,188,201,8.4,2.59,3,10,4.8,68.2,137,0,60,6.8,218,10,87,9,71.7,82.2,78.6,76.5,4,3,225,0,15.0,102.6,4.1,9,8,1,5,9,8,3.6,1690,8.4
Joe Burrow,28022,QB,CIN,4,73.9,165,177,9.2,2.64,1,7,3.8,65.5,116,0,74,4.9,203,6,71,7,57.6,79.9,79.4,58.8,3,2,212,1,20.3,89.7,7.4,15,10,2,6,6,4,1.9,1121,6.3
Matt Ryan,4317,QB,ATL,4,77.5,151,167,10.8,2.73,3,6,3.4,64.7,108,0,49,7.7,182,9,69,2,89.9,72.1,71.7,52.7,1,2,193,1,18.4,96.0,4.9,9,6,0,12,7,6,3.1,1246,7.5
Carson Wentz,10636,QB,PHI,4,71.6,148,160,8.0,2.81,1,4,2.4,60.6,97,0,58,8.5,184,9,51,24,36.3,51.5,43.5,90.1,2,7,193,0,24.1,66.9,7.6,14,10,0,9,4,14,7.3,930,5.8
Tom Brady,698,QB,TB,4,78.6,145,155,9.1,2.47,4,16,9.6,65.2,101,0,34,11.4,163,13,53,30,89.4,90.1,88.7,60.3,2,4,174,1,14.7,99.4,3.1,5,2,0,4,11,3,1.7,1122,7.2
Patrick Mahomes,11765,QB,KC,4,75.9,141,150,7.6,2.84,2,8,5.0,67.3,101,0,53,5.6,169,6,72,16,89.4,82.2,79.3,71.8,2,0,181,0,5.7,114.1,1.8,3,15,0,5,11,4,2.2,1134,7.6
Daniel Jones,39395,QB,NYG,4,75.4,134,149,7.0,2.79,2,5,3.2,61.1,91,0,71,9.9,175,10,56,21,52.3,74.1,69.4,79.1,4,5,185,1,19.7,68.3,8.0,14,11,2,7,2,5,2.7,889,6.0
Josh Allen,46601,QB,BUF,4,82.1,140,148,8.5,3.02,4,11,6.9,70.9,105,0,55,8.7,162,10,63,4,35.1,87.8,89.9,52.9,0,1,173,2,14.5,122.7,4.9,8,6,0,4,12,4,2.3,1326,9.0
Gardner Minshew,41401,QB,JAX,4,80.3,137,147,7.9,2.71,1,5,3.2,72.1,106,0,50,3.6,172,4,64,15,50.5,64.2,65.4,52.7,1,4,180,1,26.0,101.2,7.6,13,12,1,7,8,5,2.8,1138,7.7
Dwayne Haskins,41897,QB,WAS,4,66.2,139,146,6.9,2.36,3,5,3.3,61.0,89,0,45,3.3,164,3,51,32,50.3,46.7,48.0,46.9,2,3,171,1,28.9,80.3,7.9,13,4,0,2,4,6,3.5,939,6.4
Derek Carr,8671,QB,LV,4,82.1,134,144,6.8,2.72,3,6,3.8,73.6,106,0,44,3.6,158,4,61,23,43.0,68.0,68.5,49.4,0,0,171,1,15.9,113.6,4.4,7,7,1,6,8,5,2.9,1095,7.6
Kyler Murray,38334,QB,ARZ,4,78.0,132,144,7.8,2.76,2,5,3.3,68.8,99,0,44,3.9,166,4,60,1,90.0,76.8,70.1,89.3,0,5,175,5,15.9,87.7,4.2,7,14,1,9,7,4,2.3,919,6.4
Ryan Fitzpatrick,2467,QB,MIA,4,76.9,134,142,7.9,2.46,4,6,3.9,69.0,98,0,45,4.9,163,5,64,17,89.3,72.9,68.1,78.7,2,5,174,2,13.3,83.5,3.7,6,15,1,1,4,8,4.6,994,7.0
Teddy Bridgewater,8667,QB,CAR,4,80.0,135,141,6.9,2.55,3,4,2.7,73.0,103,0,39,4.6,157,5,61,5,68.0,64.8,62.2,69.1,0,3,164,1,20.5,97.4,5.1,8,8,0,3,4,8,4.9,1147,8.1
Aaron Rodgers,2241,QB,GB,4,80.2,131,139,9.7,2.57,1,15,10.0,70.5,98,0,31,6.7,146,7,62,12,88.4,96.3,95.5,59.7,0,0,159,2,9.7,128.4,2.1,3,4,0,7,13,0,0.0,1214,8.7
Sam Darnold,29048,QB,NYJ,4,69.5,128,138,7.6,2.83,0,4,2.7,59.4,82,0,65,7.9,162,7,40,22,89.0,58.7,53.1,86.5,4,4,172,1,18.5,70.7,7.4,12,12,2,4,3,5,2.9,792,5.7
Matthew Stafford,4924,QB,DET,4,71.5,130,137,9.3,2.56,0,5,3.4,60.6,83,0,47,10.8,156,10,55,11,88.9,62.4,60.8,64.8,3,3,168,1,25.5,93.8,7.7,12,7,1,3,8,5,3.0,1017,7.4
Russell Wilson,7077,QB,SEA,4,87.6,129,137,8.6,3.07,2,15,10.3,75.2,103,0,60,8.8,159,10,64,29,89.2,95.0,94.3,69.8,0,2,171,2,18.3,136.7,6.9,11,11,0,6,16,1,0.6,1285,9.4
Drew Brees,802,QB,NO,4,80.3,122,129,6.0,2.49,3,6,4.4,71.3,92,0,32,6.1,135,6,54,20,64.6,70.0,69.0,58.0,1,2,141,0,15.6,108.2,3.7,5,1,1,2,8,4,2.8,1006,7.8
Deshaun Watson,11767,QB,HST,4,74.4,121,128,9.7,3.1,1,11,8.3,65.6,84,0,58,6.7,159,6,56,13,67.6,75.0,75.4,56.1,1,3,164,0,27.6,98.2,10.1,16,14,1,4,6,5,3.0,1092,8.5
Jared Goff,10635,QB,LA,4,85.2,108,122,6.4,2.68,6,6,4.8,72.1,88,0,39,4.3,133,4,53,26,88.0,87.8,86.9,63.7,1,2,138,1,15.4,108.1,4.5,6,5,0,7,6,1,0.7,1063,8.7
Philip Rivers,1725,QB,IND,4,77.6,116,121,7.7,2.37,3,6,4.6,72.7,88,0,27,2.2,125,2,49,14,87.6,75.7,74.6,56.9,1,3,136,1,11.1,97.3,2.4,3,1,0,1,4,4,2.9,984,8.1
Baker Mayfield,46518,QB,CLV,4,75.2,101,115,9.5,3.09,2,4,3.3,62.6,72,0,40,5.3,125,4,45,8,87.3,68.2,66.4,68.0,0,2,132,3,15.0,93.7,4.8,6,4,1,11,7,5,3.8,729,6.3
Ben Roethlisberger,1732,QB,PIT,3,79.6,103,109,7.3,2.36,3,4,3.5,67.0,73,0,26,11.0,117,9,42,25,86.7,69.9,70.0,59.2,0,1,121,2,19.2,105.2,4.3,5,2,0,3,7,2,1.7,777,7.1
Justin Herbert,28237,QB,LAC,3,80.0,100,107,7.7,2.66,1,7,6.0,72.0,77,0,49,3.8,120,3,46,27,87.1,68.3,67.2,65.3,1,3,131,1,12.2,102.2,5.0,6,7,2,3,5,4,3.1,931,8.7
Ryan Tannehill,7014,QB,TEN,3,77.4,93,104,8.5,2.56,2,4,3.6,67.3,70,0,30,2.8,111,2,44,31,61.5,71.6,69.9,69.6,2,1,118,1,10.0,105.8,2.7,3,4,0,7,6,5,4.2,809,7.8
Kirk Cousins,7102,QB,MIN,4,72.8,92,100,12.1,2.9,0,9,8.3,62.0,62,0,48,7.5,116,5,42,18,86.8,79.4,76.4,71.2,3,6,124,0,20.8,85.5,8.6,10,6,1,4,6,5,4.0,883,8.8
Lamar Jackson,46416,QB,BLT,4,78.7,94,98,10.6,3.03,1,8,7.9,68.4,67,0,44,9.5,120,7,43,3,66.9,82.9,80.2,72.8,0,1,123,0,25.0,111.3,9.2,11,11,0,3,7,5,4.1,769,7.8
Cam Newton,6153,QB,NE,3,81.0,84,91,6.9,2.81,5,4,4.3,68.1,62,0,20,8.8,100,6,42,19,87.8,73.3,73.3,63.2,1,2,103,0,25.0,89.7,5.0,5,4,0,1,2,3,2.9,714,7.8
Mitchell Trubisky,11757,QB,CHI,3,65.1,83,86,10.5,2.99,2,6,7.0,59.3,51,0,24,5.6,98,3,36,6,49.2,70.6,66.2,83.3,1,3,98,1,29.2,87.4,7.1,7,4,0,0,6,6,6.1,560,6.5
Nick Mullens,12282,QB,SF,3,74.6,71,73,6.7,2.54,1,2,2.6,69.9,51,0,35,3.8,82,2,33,28,28.4,54.1,52.2,66.6,0,3,85,0,22.9,87.4,9.8,8,0,0,1,2,4,4.7,614,8.4
Nick Foles,7089,QB,CHI,2,66.2,65,71,9.8,2.31,1,5,6.6,59.2,42,0,16,2.3,73,1,19,6,83.7,65.4,65.3,56.1,2,2,78,0,6.3,84.1,1.4,1,1,0,3,4,3,3.8,437,6.2
Jeff Driskel,10841,QB,DEN,2,70.0,60,64,10.8,2.63,2,2,2.9,54.7,35,0,37,16.7,78,7,19,10,84.1,55.1,51.3,74.9,0,2,85,0,29.7,78.4,14.1,11,3,0,2,3,3,3.5,432,6.8
Jimmy Garoppolo,8697,QB,SF,2,75.0,48,49,6.9,2.74,0,3,5.9,67.3,33,0,16,8.3,54,3,19,28,81.1,71.0,67.9,65.6,0,0,56,0,25.0,118.6,7.4,4,1,0,1,4,0,0.0,390,8.0
Brett Rypien,46487,QB,DEN,2,80.0,35,40,9.5,2.51,1,4,8.5,67.5,27,0,18,3.6,41,1,12,10,81.0,40.5,41.5,61.3,0,4,49,1,5.6,66.1,2.4,1,0,0,4,2,5,10.2,295,7.4
Drew Lock,39517,QB,DEN,2,67.6,37,38,10.9,2.93,0,1,2.6,60.5,23,0,14,8.0,40,2,14,10,17.7,42.6,50.0,29.5,1,0,41,0,7.1,87.2,2.5,1,1,0,0,1,2,4.9,236,6.2
Tyrod Taylor,6332,QB,LAC,1,66.7,27,30,10.8,2.66,0,1,3.0,53.3,16,0,11,11.1,34,2,11,27,79.6,60.7,63.1,50.8,1,0,37,0,9.1,75.4,2.9,1,2,0,2,0,0,0.0,208,6.9
Brian Hoyer,5277,QB,NE,1,69.6,23,24,8.0,2.51,0,1,4.2,62.5,15,0,7,6.3,27,1,9,19,25.2,58.8,56.3,63.9,0,1,27,0,28.6,59.4,7.4,2,1,0,1,0,3,11.1,130,5.4
C.J. Beathard,11859,QB,SF,1,87.5,16,19,8.8,2.14,0,0,0.0,73.7,14,0,5,0.0,20,0,9,28,75.6,73.4,72.2,,1,0,22,0,20.0,93.8,5.0,1,0,1,1,0,0,0.0,138,7.3
Jarrett Stidham,13725,QB,NE,1,70.0,10,13,10.7,3.13,1,0,0.0,38.5,5,0,6,28.6,14,2,4,19,74.0,61.2,62.0,57.4,1,2,15,0,0.0,39.4,0.0,0,1,0,1,1,1,6.7,60,4.6
Jacoby Brissett,10725,QB,IND,2,75.0,4,4,1.8,3.12,0,0,0.0,50.0,2,0,3,33.3,5,1,1,14,70.2,70.2,69.4,60.0,0,0,5,0,33.3,61.5,20.0,1,0,0,0,0,0,0.0,17,4.3
Robert Griffin III,7008,QB,BLT,2,50.0,2,2,20.0,1.95,0,0,0.0,50.0,1,0,1,0.0,2,0,1,3,70.1,58.5,60.4,57.4,0,1,2,0,0.0,22.9,0.0,0,0,0,0,0,0,0.0,9,4.5
Joe Flacco,4332,QB,NYJ,1,100.0,2,2,4.0,1.9,0,0,0.0,100.0,2,0,0,0.0,2,0,0,22,63.6,62.5,61.9,,0,0,2,0,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0
Sam Koch,3148,P,BLT,1,100.0,1,1,9.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,3,60.4,70.7,67.2,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0
