player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Stefon Diggs,9579,WR,BUF,18,182,0,4,0,-2.1,5,84.6,,0,0,8.3,1,4,0,64.7,68.1,0,21,0.0,0,82,11,95.1,78,120.2,13,7.1,1,87,110,10.0,7.9,1.12,8.4,5,77.1,66.7,4,6,11.9,5,17,0,68.5,89.7,0,36,0.0,0,229,37,93.9,215,125.1,48,26.4,3,437,173,4.7,11.8,2.03
Allen Robinson II,8696,WR,CHI,17,157,0,6,0,-2.3,1,100.0,,0,0,0.0,0,0,0,91.1,47.3,0,7,0.0,0,46,6,97.8,45,81.3,6,3.8,0,21,35,5.8,3.5,0.47,7.9,6,71.2,33.3,4,12,0.0,0,23,0,92.1,86.8,1,35,0.5,1,193,37,96.9,187,101.4,52,33.1,3,359,140,3.8,9.7,1.92
Davante Adams,8688,WR,GB,15,156,0,12,0,-1.2,1,100.0,,0,0,0.0,0,6,0,93.3,84.8,0,27,0.0,0,65,22,98.5,64,107.8,22,14.1,1,137,163,7.4,6.2,2.14,6.8,0,83.9,50.0,4,8,1.9,1,29,0,91.9,92.5,0,45,0.0,0,165,52,96.4,159,137.0,62,39.7,8,458,225,4.3,8.8,2.88
Diontae Johnson,33441,WR,PIT,16,155,0,25,0,-2.4,2,91.7,,0,0,8.3,1,3,0,60.6,63.8,0,13,0.0,0,63,11,100.0,63,89.2,12,7.7,0,65,93,8.5,5.9,1.03,3.6,0,73.3,,0,0,8.3,1,4,1,30.6,68.6,0,10,0.0,0,83,11,94.0,78,76.8,15,9.7,0,49,34,3.1,4.5,0.63
DeAndre Hopkins,7808,WR,ARZ,16,154,0,1,0,-1.9,5,100.0,,0,0,0.0,0,4,0,93.2,73.1,0,12,0.0,0,77,20,96.1,74,81.7,20,13.0,0,72,110,5.5,3.6,0.97,5.8,1,93.3,100.0,2,2,0.0,0,8,0,92.7,88.2,0,33,0.0,0,68,14,95.6,65,129.7,15,9.7,1,147,72,5.1,10.5,2.26
Travis Kelce,7844,TE,KC,16,148,0,16,0,-1.2,0,90.0,,0,0,0.0,0,4,0,92.0,91.7,1,15,11.5,7,61,9,82.0,50,87.1,10,6.8,2,49,60,6.7,5.4,0.98,9.7,5,83.0,50.0,3,6,0.0,0,32,0,92.1,94.4,1,45,0.5,1,182,39,91.2,166,147.3,47,31.8,6,563,216,5.5,14.4,3.39
JuJu Smith-Schuster,11817,WR,PIT,17,143,0,25,0,-1.1,1,100.0,,0,0,0.0,0,5,1,93.1,58.5,0,20,0.0,0,85,20,100.0,85,84.6,20,14.0,0,86,107,5.4,4.3,1.01,6.8,4,78.2,50.0,15,30,3.1,3,48,2,92.1,70.3,4,33,0.0,0,648,93,93.5,606,111.8,119,83.2,10,888,386,4.2,9.5,1.47
Tyreek Hill,10799,WR,KC,16,141,0,16,0,-2.5,5,84.6,,0,0,8.3,1,5,0,64.7,71.5,0,15,0.0,0,61,11,95.1,58,116.7,13,9.2,1,76,107,9.7,6.9,1.31,13.1,11,66.7,50.0,3,6,9.1,5,33,0,51.1,82.5,1,54,0.0,0,387,50,94.1,364,118.8,75,53.2,7,641,241,4.8,12.8,1.76
Darren Waller,9637,TE,LV,16,140,0,23,0,-2.0,2,100.0,,0,0,0.0,0,4,0,92.5,88.1,0,22,4.4,2,45,15,93.3,42,95.3,15,10.7,0,103,133,8.9,6.9,2.45,10.3,1,60.6,57.1,4,7,0.0,0,11,2,91.4,90.1,1,29,0.8,1,128,20,93.0,119,89.6,33,23.6,2,233,110,5.5,11.7,1.96
Keenan Allen,7857,WR,LAC,14,138,0,27,0,-2.3,1,94.4,,0,0,5.6,1,7,0,81.2,72.6,0,15,0.0,0,64,17,95.3,61,88.2,18,13.0,0,93,133,7.8,5.5,1.52,7.4,5,71.7,50.0,8,16,2.3,1,25,1,90.2,88.2,3,27,0.3,1,287,43,94.1,270,104.9,60,43.5,6,441,184,4.3,10.3,1.63
Calvin Ridley,48262,WR,ATL,15,137,0,2,0,-0.5,0,100.0,,0,0,0.0,0,0,0,84.5,45.6,0,2,0.0,0,26,2,92.3,24,79.2,2,1.5,0,2,3,1.5,1.0,0.08,13.6,0,78.6,0.0,0,1,0.0,0,9,0,71.4,77.9,0,39,0.0,0,68,11,95.6,65,158.3,14,10.2,2,200,39,3.5,18.2,3.08
Tyler Lockett,9502,WR,SEA,17,136,0,29,0,-1.7,0,100.0,,0,0,0.0,0,2,1,91.4,47.8,0,17,0.0,0,50,7,98.0,49,94.0,7,5.1,0,46,58,8.3,6.6,0.94,8.7,3,72.2,33.3,2,6,8.8,5,26,1,69.2,72.4,1,43,0.0,0,421,52,94.1,396,97.9,72,52.9,2,556,207,4.0,10.7,1.4
D.K. Metcalf,47864,WR,SEA,17,135,0,29,0,-1.6,6,90.9,0.0,0,1,0.0,0,1,0,91.8,87.8,1,32,0.0,0,46,10,97.8,45,55.7,11,8.1,0,71,85,8.5,7.1,1.58,14.9,0,58.8,60.0,3,5,16.7,2,8,0,38.6,81.7,1,54,2.6,3,117,10,93.2,109,114.2,17,12.6,3,196,43,4.3,19.6,1.8
Terry McLaurin,48229,WR,WAS,16,135,0,32,0,-2.1,2,100.0,,0,0,0.0,0,2,0,92.5,61.0,0,20,0.0,0,66,15,97.0,64,86.7,15,11.1,0,72,103,6.9,4.8,1.13,10.3,7,72.7,53.8,7,13,3.0,1,17,1,90.4,79.6,0,68,0.0,0,212,32,95.3,202,127.4,44,32.6,3,443,173,5.4,13.8,2.19
Robert Woods,7822,WR,LA,18,135,0,26,0,-2.8,4,92.0,0.0,0,1,0.0,0,6,1,93.5,78.4,0,35,0.0,0,81,23,96.3,78,90.3,25,18.5,0,142,209,9.1,6.2,1.82,6.6,3,75.8,60.0,6,10,5.7,3,27,1,90.8,73.8,1,56,0.0,0,331,50,97.3,322,111.0,66,48.9,4,506,262,5.2,10.1,1.57
Robby Anderson,11254,WR,CAR,16,134,0,5,0,-2.5,0,100.0,,0,0,0.0,0,2,0,92.0,69.6,0,24,0.0,0,55,11,98.2,54,85.6,11,8.2,0,50,78,7.1,4.5,0.93,7.4,1,79.6,66.7,4,6,4.4,2,25,0,80.4,77.0,1,26,0.0,0,190,43,93.7,178,97.9,54,40.3,1,425,228,5.3,9.9,2.39
Amari Cooper,9437,WR,DAL,16,128,0,9,0,-2.7,0,100.0,,0,0,0.0,0,0,0,90.2,40.2,0,7,0.0,0,61,3,93.4,57,83.3,3,2.3,0,12,20,6.7,4.0,0.21,9.4,0,67.6,60.0,3,5,4.2,1,13,0,90.1,74.8,1,35,0.0,0,172,23,96.5,166,79.9,34,26.6,0,275,71,3.1,12.0,1.66
Cooper Kupp,11824,WR,LA,16,126,0,26,0,-2.5,6,90.9,,0,0,0.0,0,2,0,91.8,67.7,0,15,5.8,4,69,10,91.3,63,86.4,11,8.7,0,52,83,8.3,5.2,0.83,7.7,8,75.6,66.7,6,9,1.6,1,28,0,90.9,80.6,2,55,0.3,1,350,62,96.0,336,93.0,82,65.1,1,669,323,5.2,10.8,1.99
Justin Jefferson,61398,WR,MIN,16,121,0,18,0,-1.3,3,100.0,,0,0,0.0,0,1,0,91.4,69.7,0,11,0.0,0,40,7,95.0,38,91.1,7,5.8,0,41,50,7.1,5.9,1.08,13.8,4,65.8,66.7,6,9,7.4,2,19,1,85.7,90.4,2,71,0.0,0,171,25,94.2,161,104.6,38,31.4,2,481,155,6.2,19.2,2.99
Mike Evans,8642,WR,TB,18,120,0,30,0,0.0,0,100.0,,0,0,0.0,0,2,0,84.5,47.0,0,11,0.0,0,69,2,98.6,68,131.3,2,1.7,1,12,12,6.0,6.0,0.18,11.4,0,71.4,50.0,1,2,0.0,0,23,0,50.0,71.0,2,50,0.0,0,258,25,94.2,243,123.5,35,29.2,4,400,99,4.0,16.0,1.65
Brandin Cooks,8655,WR,HST,15,115,0,13,0,-2.1,2,100.0,,0,0,0.0,0,1,0,92.1,90.6,0,57,0.0,0,44,11,95.5,42,134.5,11,9.6,1,99,122,11.1,9.0,2.36,9.9,2,69.2,42.9,3,7,3.6,1,13,0,89.1,78.7,1,57,0.0,0,173,27,95.4,165,97.0,39,33.9,1,368,162,6.0,13.6,2.23
Jarvis Landry,8698,WR,CLV,17,114,0,8,0,-2.4,2,100.0,,0,0,0.0,0,1,0,91.4,72.2,0,13,0.0,0,37,8,94.6,35,83.9,8,7.0,0,33,52,6.5,4.1,0.94,7.6,4,75.0,50.0,5,10,8.2,4,28,1,65.2,80.2,2,40,0.7,2,290,45,92.1,267,100.2,60,52.6,2,553,243,5.4,12.3,2.07
Logan Thomas,8755,TE,WAS,17,114,0,32,0,-1.7,1,100.0,,0,0,0.0,0,2,0,91.1,51.2,0,18,5.8,4,69,6,91.3,63,103.5,6,5.3,0,53,63,10.5,8.8,0.84,8.2,3,67.1,41.2,7,17,10.2,6,26,0,65.4,64.3,3,30,3.8,18,476,53,91.8,437,81.5,79,69.3,3,505,212,4.0,9.5,1.16
Marvin Jones Jr.,7158,WR,DET,16,114,0,11,0,-2.2,0,100.0,,0,0,0.0,0,2,0,90.6,46.8,0,6,0.0,0,65,5,92.3,60,83.3,5,4.4,0,20,31,6.2,4.0,0.33,11.8,2,58.6,62.5,5,8,5.6,1,13,0,79.2,73.1,1,23,0.5,1,209,17,93.8,196,79.1,29,25.4,1,216,53,3.1,12.7,1.1
D.J. Moore,48267,WR,CAR,15,113,0,5,0,-2.4,3,80.0,,0,0,0.0,0,2,0,90.2,54.9,0,24,0.0,0,52,4,98.1,51,134.6,5,4.4,2,34,46,11.5,8.5,0.67,12.8,2,57.9,0.0,0,3,8.3,1,6,0,67.3,78.4,1,27,0.0,0,129,11,96.1,124,70.9,19,16.8,1,114,36,3.3,10.4,0.92
