player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Joe Burrow,28022,QB,CIN,3,2.63,2.42,3.17,5.56,162,7,73.6,87,89,6.7,1.9,1,2,2.1,67.4,60,18,6.3,91,56.2,4,35,,84.6,76.8,80.4,75.3,,,0,0,96,11.1,89.5,2.2,2,0,0,1,2,1,1.0,508,5.7,70.5,44,50,12.9,3.61,0,4,7.8,62.0,31,43,0.0,70,43.2,0,20,,44.1,74.2,79.3,76.6,,52.2,2,1,72,27.9,91.5,17.1,12,8,0,4,3,2,2.8,313,6.3
Dak Prescott,10769,QB,DAL,3,2.62,2.51,3.1,4.34,155,9,79.5,73,76,5.1,1.91,3,2,2.5,69.7,53,8,8.6,77,49.7,5,26,,83.4,72.8,79.7,71.6,,,0,0,80,12.5,94.9,1.3,1,0,0,0,2,1,1.3,473,6.2,78.0,59,66,12.0,3.31,0,5,7.2,65.2,43,37,6.5,78,50.3,3,32,,40.1,91.3,79.7,87.9,,81.7,3,2,81,13.5,104.0,6.4,5,7,0,4,3,4,4.9,715,10.8
Carson Wentz,10636,QB,PHI,3,2.67,2.48,3.39,5.19,150,24,81.8,66,67,5.1,1.78,0,1,1.4,73.1,49,9,9.3,69,46.0,5,22,,82.7,64.2,79.3,63.7,,,0,2,72,22.2,85.1,2.9,2,0,0,1,2,2,2.8,395,5.9,57.9,57,65,12.2,3.43,1,2,3.0,46.2,30,33,9.1,81,54.0,3,19,,22.9,31.9,79.9,28.0,,88.0,1,4,84,27.3,42.0,11.1,9,7,0,6,1,10,11.9,342,5.3
Matt Ryan,4317,QB,ATL,3,2.7,2.64,3.26,4.03,137,2,80.0,55,58,7.4,2.02,3,1,1.6,69.0,40,13,9.1,60,43.8,4,26,,82.1,70.4,79.0,69.3,,,0,0,67,15.4,99.2,3.3,2,0,0,0,2,1,1.5,392,6.8,72.4,58,70,14.5,3.23,0,5,7.0,57.1,40,24,4.8,77,56.2,2,27,,83.3,75.6,79.7,76.8,,50.8,1,2,79,12.5,95.5,3.9,3,4,0,11,5,3,3.8,569,8.1
Patrick Mahomes,11765,QB,KC,3,2.64,2.46,2.65,5.08,134,16,80.8,73,75,5.2,1.89,2,3,3.9,73.3,55,13,6.8,75,56.0,4,36,,83.2,76.8,79.6,75.3,,,0,0,78,0.0,114.2,0.0,0,0,0,0,5,0,0.0,519,6.9,72.5,40,46,11.7,3.65,0,3,5.8,58.7,27,29,6.9,58,43.3,2,23,,82.1,92.7,79.0,91.0,,77.4,2,0,66,6.9,114.3,3.4,2,10,0,4,4,1,1.5,379,8.2
Kyler Murray,38334,QB,ARZ,3,2.8,2.46,4.65,5.55,130,1,80.9,68,72,5.0,1.87,1,2,2.6,73.6,53,11,3.6,72,55.4,2,29,,83.2,70.1,79.6,69.1,,,0,3,77,0.0,85.4,0.0,0,0,0,3,3,2,2.6,440,6.1,66.7,33,40,14.6,4.03,1,2,4.8,55.0,22,25,0.0,57,43.8,0,18,,81.4,71.1,0.0,63.6,,83.5,0,2,59,24.0,71.5,10.5,6,11,0,6,1,1,1.7,346,8.7
Daniel Jones,39395,QB,NYG,3,2.78,2.65,3.0,4.96,128,21,75.0,48,50,5.8,1.92,0,1,1.9,64.0,32,12,11.1,53,41.4,4,15,,81.1,69.0,78.4,68.1,,,2,2,56,25.0,65.0,5.7,3,0,0,0,1,1,1.8,235,4.7,75.0,52,61,9.0,3.44,1,3,4.5,59.0,36,41,7.7,74,57.8,3,27,,47.6,78.8,79.7,75.0,,73.9,1,2,80,14.6,74.8,8.1,6,7,0,7,1,2,2.5,464,7.6
Gardner Minshew,41401,QB,JAX,3,2.73,2.42,3.72,5.06,127,15,86.4,66,67,6.2,1.85,0,2,2.9,82.1,55,13,3.5,68,53.5,2,28,,82.6,75.6,79.3,74.2,,,0,2,71,7.7,100.4,1.5,1,0,0,1,3,1,1.4,503,7.5,72.2,36,40,10.4,3.74,0,2,4.9,60.0,24,25,7.7,59,46.5,2,20,,37.6,54.6,78.6,51.2,,66.9,1,1,60,36.0,96.3,15.3,9,10,0,3,3,3,5.0,284,7.1
Josh Allen,46601,QB,BUF,3,3.04,2.85,3.59,6.07,127,4,84.0,50,51,2.5,1.79,1,1,1.8,74.5,38,5,9.5,51,40.2,4,17,,81.0,78.7,78.3,77.1,,,0,0,55,0.0,102.2,0.0,0,0,0,0,2,1,1.8,305,6.0,75.0,60,63,14.2,3.89,1,8,11.6,68.3,43,40,4.4,76,59.8,2,32,,48.4,84.1,79.8,82.2,,65.1,0,1,82,17.5,140.4,9.2,7,6,0,2,8,3,3.7,733,11.6
Russell Wilson,7077,QB,SEA,3,3.21,2.9,3.73,5.84,122,29,93.0,43,44,4.3,1.92,1,3,6.3,86.4,38,9,5.0,45,36.9,2,19,,80.3,92.3,77.9,91.3,,,0,0,49,11.1,137.1,2.2,1,0,0,0,5,0,0.0,344,7.8,88.7,53,59,11.2,3.95,1,7,11.1,69.5,41,38,12.8,77,63.1,6,27,,83.7,91.6,79.9,90.9,,69.1,0,1,84,21.1,133.5,10.4,8,10,0,5,9,0,0.0,581,9.8
