player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Thomas Davis Sr.,2231,LB,WAS,7,0,6.0,0,0,32,68.0,54.8,77.5,50.9,40.9,79.3,0.0,0,0,62,63,0.0,0,1
Johnathan Joseph,2969,CB,ARZ,11,2,4.6,0,0,1,63.1,65.4,84.9,55.7,71.7,47.5,10.0,1,1,156,159,1.9,3,7
Domata Peko Sr.,3068,DI,ARZ,5,2,2.0,0,0,1,58.9,41.5,83.0,55.9,38.8,53.7,11.1,1,0,80,82,6.3,5,6
Tramon Williams,3558,CB,BLT,4,1,,0,0,3,50.6,51.9,81.9,59.6,58.4,89.5,0.0,0,0,34,34,0.0,0,0
Calais Campbell,4364,DI,BLT,11,4,1.3,0,0,3,65.9,71.2,49.9,66.5,68.1,53.1,12.5,3,2,107,109,15.9,17,17
Brandon Carr,4454,S,DAL,2,0,0.0,0,0,9,49.2,54.4,74.9,,68.7,72.8,0.0,0,1,9,9,11.1,1,1
Malcolm Jenkins,4937,S,NO,15,5,4.8,1,1,20,47.3,58.4,72.2,62.7,78.0,81.0,6.7,3,7,343,348,4.7,16,37
Jason McCourty,5127,CB,NE,15,2,9.5,0,0,19,52.3,56.2,85.9,51.8,71.1,86.0,0.0,0,3,227,234,0.9,2,11
Steve McLendon,5232,DI,TB,15,8,2.3,0,0,30,52.1,65.5,54.6,62.5,68.6,61.8,3.1,1,2,205,210,9.3,19,23
Ndamukong Suh,5527,DI,TB,15,7,1.9,1,1,30,48.7,63.5,29.8,65.3,69.4,46.8,6.5,2,6,208,213,7.7,16,22
Joe Haden,5532,CB,PIT,14,4,11.4,0,0,25,69.6,66.6,86.0,,49.1,45.1,30.0,6,4,319,323,1.6,5,10
Tyson Alualu,5535,DI,PIT,14,10,1.3,0,0,25,73.2,89.9,68.3,83.3,82.0,58.6,6.3,2,1,188,190,8.0,15,20
Brandon Graham,5538,ED,PHI,15,6,1.7,0,0,24,58.6,82.8,55.4,82.6,73.8,29.8,20.5,9,4,292,297,6.8,20,29
Jason Pierre-Paul,5540,ED,TB,15,10,2.9,0,0,30,70.1,71.5,57.7,73.4,58.8,38.3,11.8,4,4,260,267,6.9,18,20
Kareem Jackson,5545,S,DEN,15,13,7.7,0,0,10,73.7,75.7,73.7,48.4,79.5,66.5,12.7,7,1,378,388,3.7,14,35
Devin McCourty,5552,S,NE,15,9,12.1,0,0,19,66.0,66.4,60.4,47.5,69.4,68.3,7.1,2,1,377,386,0.3,1,17
Jerry Hughes,5556,ED,BUF,15,8,2.4,3,0,4,61.7,75.3,39.3,87.3,54.7,32.5,22.2,6,5,231,234,4.3,10,13
Patrick Robinson,5557,CB,NO,7,1,0.8,0,0,20,56.9,61.8,81.7,57.9,79.1,75.0,0.0,0,2,89,89,3.4,3,4
Linval Joseph,5571,DI,LAC,15,14,3.1,0,0,27,60.2,70.2,89.2,66.7,65.1,34.5,9.8,6,0,298,301,9.1,27,41
Carlos Dunlap,5579,ED,SEA,13,4,3.1,0,0,29,50.7,58.8,67.8,60.9,58.4,54.0,15.8,3,3,152,155,5.3,8,12
Sean Lee,5580,LB,DAL,8,5,4.3,0,0,9,55.2,32.7,77.8,55.1,28.6,34.7,21.4,3,0,64,66,4.7,3,6
Corey Peters,5607,DI,ARZ,9,3,3.3,1,0,1,41.2,61.4,51.8,64.7,62.6,45.2,16.7,2,2,139,141,3.6,5,7
Everson Griffen,5624,ED,DET,13,6,3.1,0,0,11,49.0,62.5,36.1,72.9,52.7,59.2,11.1,3,4,180,181,5.0,9,18
Geno Atkins,5643,DI,CIN,5,0,4.0,0,0,7,,54.0,33.8,61.4,44.7,66.8,0.0,0,1,12,12,0.0,0,1
Sherrick McManis,5667,S,CHI,2,0,,0,0,6,30.1,29.4,74.0,60.0,60.0,77.3,,0,0,2,3,0.0,0,0
Tramaine Brock Sr.,5903,CB,DET,1,0,1.0,0,0,11,47.2,49.1,76.6,,60.4,63.9,0.0,0,1,12,12,8.3,1,1
Anthony Levine,6013,S,BLT,5,0,12.0,1,0,3,26.9,28.2,74.7,60.0,68.8,81.9,0.0,0,1,6,6,0.0,0,1
Andrew Sendejo,6118,S,CLV,14,4,9.4,0,1,8,40.9,43.8,40.9,63.8,54.6,49.6,33.3,10,2,340,349,0.3,1,16
Patrick Peterson,6157,CB,ARZ,15,1,10.5,4,0,1,52.1,54.3,68.0,52.5,66.8,61.7,12.5,2,11,367,372,1.4,5,13
Aldon Smith,6159,ED,DAL,15,10,3.0,2,0,9,55.5,65.8,37.5,69.2,63.3,41.3,16.0,8,5,316,321,7.3,23,32
J.J. Watt,6163,ED,HST,15,8,1.4,0,0,13,56.8,82.7,78.7,75.6,77.7,43.8,16.0,8,2,380,388,6.1,23,34
Robert Quinn,6166,ED,CHI,14,4,3.5,0,1,6,37.0,61.0,63.6,63.6,63.3,36.2,5.9,1,2,156,160,3.8,6,12
Ryan Kerrigan,6168,ED,WAS,15,5,4.0,0,0,32,59.1,60.2,58.3,71.1,44.8,52.4,11.1,1,2,139,142,0.7,1,3
Corey Liuget,6170,DI,HST,6,1,0.0,0,0,13,,58.4,80.0,65.8,53.3,70.7,0.0,0,0,48,50,2.1,1,2
Adrian Clayborn,6172,ED,CLV,14,4,1.5,1,0,8,60.3,59.6,70.3,62.2,52.5,56.6,11.1,1,1,101,105,2.0,2,4
Cameron Jordan,6176,ED,NO,15,9,1.4,0,0,20,72.1,81.2,36.6,73.8,83.1,53.4,7.1,3,6,266,271,8.3,22,30
Jimmy Smith,6179,CB,BLT,11,0,9.0,0,0,3,75.7,74.6,46.0,63.6,62.4,59.3,20.0,1,2,112,114,0.9,1,4
Cameron Heyward,6183,DI,PIT,15,12,2.2,0,0,25,61.4,89.1,78.4,79.3,82.3,51.4,6.1,3,2,295,299,8.8,26,34
Jabaal Sheard,6189,ED,NYG,9,3,1.9,0,0,21,56.7,63.5,58.9,61.3,66.2,59.3,0.0,0,1,81,86,8.6,7,9
Brooks Reed,6194,ED,TEN,1,0,8.0,0,0,31,60.0,61.8,75.9,53.7,64.5,69.9,0.0,0,0,14,14,0.0,0,1
Marcus Gilchrist,6202,S,BLT,2,0,5.0,0,0,3,55.8,56.1,73.1,60.0,62.1,78.8,0.0,0,0,4,4,0.0,0,1
Justin Houston,6222,ED,IND,15,4,2.2,1,0,14,55.9,61.6,58.5,63.8,60.0,49.4,20.0,4,2,177,182,4.0,7,12
Jurrell Casey,6229,DI,DEN,3,2,3.3,0,0,10,60.0,74.4,82.1,67.6,70.1,58.4,8.3,1,0,59,62,8.5,5,9
Allen Bailey,6238,DI,ATL,15,1,2.7,0,0,2,57.5,51.5,87.3,61.3,40.5,27.7,21.4,3,0,128,134,7.0,9,10
K.J. Wright,6251,LB,SEA,15,7,2.5,0,0,29,77.6,74.4,76.7,67.6,65.9,56.5,15.6,5,2,299,310,5.4,16,20
Buster Skrine,6289,CB,CHI,12,5,3.9,1,0,6,46.2,52.3,50.6,42.6,86.4,70.3,13.0,3,5,167,173,5.4,9,15
Richard Sherman,6306,CB,SF,5,0,2.7,0,0,28,67.2,67.7,83.1,55.1,66.0,41.3,0.0,0,1,117,120,0.9,1,3
Pernell McPhee,6317,ED,BLT,14,8,3.6,0,0,3,40.6,71.7,52.1,71.9,76.1,30.1,16.7,5,2,124,126,10.5,13,17
Lawrence Guy,6385,DI,NE,13,13,2.5,0,0,19,63.5,66.6,87.1,59.5,64.6,53.4,6.8,3,0,251,256,8.4,21,28
Malcolm Smith,6394,LB,CLV,15,9,6.0,0,0,8,79.0,70.8,83.9,55.3,53.1,68.3,8.1,3,0,161,167,6.8,11,25
Chris Harris Jr.,6457,CB,LAC,8,2,4.0,1,0,27,59.7,63.4,83.5,78.1,66.8,54.2,16.7,2,2,202,204,1.5,3,8
Josh Bynes,6503,LB,CIN,15,20,3.1,0,0,7,59.5,54.2,32.0,64.5,51.7,58.5,13.0,9,2,342,349,7.6,26,40
Nick Bellore,6515,FB,SEA,1,0,,0,0,29,,61.6,60.1,,60.0,,,0,0,1,1,0.0,0,0
Mario Addison,6558,ED,BUF,15,2,2.5,0,0,4,59.4,56.9,59.3,66.2,43.8,65.4,6.3,1,3,197,201,4.6,9,13
Craig Robertson,7003,LB,NO,3,0,0.5,0,0,20,31.6,35.2,73.0,53.4,62.0,25.3,0.0,0,0,10,10,20.0,2,2
Stephon Gilmore,7016,CB,NE,11,2,5.4,1,0,19,58.5,61.0,87.4,56.8,67.9,46.5,20.0,3,6,256,263,1.2,3,10
Dontari Poe,7017,DI,DAL,7,4,3.0,0,0,9,59.5,55.9,84.9,48.6,60.4,32.3,12.5,1,0,131,132,0.8,1,3
Fletcher Cox,7018,DI,PHI,15,13,2.0,0,1,24,53.2,74.1,79.9,70.9,70.9,63.6,2.9,1,1,297,302,5.4,16,21
Michael Brockers,7020,DI,LA,15,11,1.9,0,0,26,58.4,64.4,87.6,62.7,60.9,80.4,0.0,0,0,238,245,9.7,23,29
Bruce Irvin,7021,ED,SEA,2,0,0.7,0,0,29,68.3,68.8,81.8,56.5,73.9,49.2,0.0,0,0,36,37,8.3,3,3
Dre Kirkpatrick,7023,CB,ARZ,13,1,10.7,2,0,1,49.6,51.8,31.3,74.6,70.2,46.2,23.1,3,8,223,226,0.9,2,9
Melvin Ingram III,7024,ED,LAC,7,3,3.0,0,0,27,77.8,72.3,44.8,76.3,53.8,39.4,10.0,1,2,114,116,3.5,4,6
Chandler Jones,7027,ED,ARZ,5,0,1.1,0,0,1,76.8,62.6,61.6,63.1,56.7,29.0,30.0,3,1,114,116,6.1,7,7
Whitney Mercilus,7031,ED,HST,13,3,4.6,0,0,13,39.8,39.5,86.1,53.1,31.9,29.9,31.6,6,0,238,245,2.5,6,10
Derek Wolfe,7040,DI,BLT,13,9,1.9,0,0,3,68.3,70.4,87.4,47.2,85.4,73.9,2.6,1,1,205,206,11.2,23,29
Jackrabbit Jenkins,7043,CB,NO,12,1,2.6,2,0,20,68.5,69.4,59.9,,72.2,51.9,27.3,3,8,254,258,2.0,5,7
Mychal Kendricks,7049,LB,WAS,1,0,,0,0,32,61.7,64.8,68.6,,62.0,,,0,0,5,5,0.0,0,0
Bobby Wagner,7050,LB,SEA,15,18,3.4,0,0,29,67.0,81.5,66.5,85.7,88.5,83.3,4.2,3,2,324,335,9.6,31,50
Tavon Wilson,7051,S,IND,7,1,0.7,0,0,14,60.5,59.9,0.0,57.3,65.3,88.8,0.0,0,1,47,49,6.4,3,3
Lavonte David,7060,LB,TB,15,19,3.2,0,1,30,81.2,81.4,86.2,52.7,81.5,53.7,11.7,7,0,308,317,8.1,25,34
Vinny Curry,7061,ED,PHI,10,1,3.6,0,0,24,64.2,70.7,88.0,74.8,52.1,39.1,23.1,3,0,104,106,5.8,6,9
Casey Hayward Jr.,7064,CB,LAC,14,1,6.6,1,0,27,59.5,59.5,88.1,55.5,54.6,48.2,40.0,4,2,301,306,0.7,2,5
Olivier Vernon,7074,ED,CLV,13,6,2.3,0,0,8,66.8,78.8,62.3,72.9,76.3,63.4,3.4,1,3,275,282,5.5,15,22
Demario Davis,7079,LB,NO,15,18,3.7,1,0,20,67.0,78.2,25.1,78.7,82.6,80.5,5.8,4,4,344,349,7.0,24,47
Tyrone Crawford,7083,DI,DAL,14,6,6.1,0,0,9,57.6,52.0,70.9,69.9,33.0,76.8,0.0,0,1,137,139,3.6,5,9
Akiem Hicks,7090,DI,CHI,14,8,2.3,2,0,6,67.4,65.5,2.1,72.8,63.7,41.6,7.3,3,10,268,276,8.6,23,30
Kyle Wilber,7113,LB,LV,6,1,3.3,0,0,23,45.6,45.3,73.0,58.1,53.2,44.1,20.0,1,0,28,30,3.6,1,3
Mike Daniels,7132,DI,CIN,11,7,4.1,0,0,7,60.0,52.2,85.2,62.9,44.9,62.7,5.3,1,0,169,174,3.6,6,11
Tahir Whitehead,7135,LB,CAR,13,9,3.0,1,0,5,39.8,31.8,37.2,52.0,37.8,55.3,8.6,3,4,204,207,7.8,16,23
Jack Crawford,7151,ED,TEN,15,10,2.7,0,0,31,54.4,52.5,73.7,55.3,52.8,41.1,13.8,4,1,194,198,6.2,12,15
George Iloka,7159,S,MIN,1,0,3.0,0,0,18,39.6,36.3,75.1,,59.1,82.8,0.0,0,0,13,14,0.0,0,1
Danny Trevathan,7177,LB,CHI,15,15,4.7,0,0,6,53.3,47.0,59.7,57.4,43.4,78.2,7.8,5,2,323,334,8.7,28,44
Billy Winn,7190,DI,GB,6,1,3.8,0,0,12,58.1,68.9,77.6,75.4,62.5,71.9,0.0,0,0,17,18,23.5,4,4
Nate Ebner,7193,S,NYG,3,0,,0,0,21,48.7,39.1,74.0,55.0,43.5,26.3,,0,0,8,9,0.0,0,0
Rodney McLeod,7271,S,PHI,13,6,4.7,0,0,24,77.3,70.8,61.1,54.7,57.1,56.8,20.9,9,1,363,370,3.6,13,28
Michael Thomas,7279,S,HST,4,1,7.0,0,0,13,51.4,50.3,77.0,50.6,62.9,84.2,0.0,0,1,7,7,28.6,2,3
Tashaun Gipson Sr.,7288,S,CHI,15,6,5.9,0,0,6,63.7,66.0,85.9,51.6,68.9,70.4,6.1,2,1,388,400,3.4,13,25
