player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Stefon Diggs,9579,WR,BUF,14,143,0,4,0,-1.9,4,77.8,,0,0,12.5,1,0,0,45.7,51.9,0,21,0.0,0,71,7,94.4,67,88.4,9,6.3,0,47,60,8.6,6.7,0.7,6.9,5,73.0,60.0,3,5,15.6,5,7,0,68.6,82.8,0,25,0.0,0,185,27,93.5,173,111.9,37,25.9,2,275,114,4.2,10.2,1.59
Keenan Allen,7857,WR,LAC,14,138,0,27,0,-2.3,1,94.4,,0,0,5.6,1,7,0,81.2,72.6,0,15,0.0,0,64,17,95.3,61,88.2,18,13.0,0,93,133,7.8,5.5,1.52,7.4,5,71.7,50.0,8,16,2.3,1,25,1,90.2,88.2,3,27,0.3,1,287,43,94.1,270,104.9,60,43.5,6,441,184,4.3,10.3,1.63
DeAndre Hopkins,7808,WR,ARZ,14,132,0,1,0,-2.0,5,100.0,,0,0,0.0,0,4,0,93.0,76.2,0,12,0.0,0,67,18,95.5,64,83.3,18,13.6,0,72,108,6.0,4.0,1.13,6.5,1,90.9,100.0,2,2,0.0,0,7,0,92.4,90.0,0,33,0.0,0,53,10,96.2,51,143.9,11,8.3,1,124,65,6.5,12.4,2.43
Allen Robinson II,8696,WR,CHI,14,132,0,6,0,-2.6,1,100.0,,0,0,0.0,0,0,0,90.9,48.5,0,7,0.0,0,37,5,97.3,36,79.2,5,3.8,0,14,27,5.4,2.8,0.39,8.1,5,73.3,27.3,3,11,0.0,0,20,0,91.5,85.1,1,35,0.0,0,159,33,96.9,154,105.6,45,34.1,3,318,119,3.6,9.6,2.06
Davante Adams,8688,WR,GB,12,128,0,12,0,-1.2,0,100.0,,0,0,0.0,0,4,0,92.9,80.6,0,16,0.0,0,54,18,100.0,54,108.6,18,14.1,1,101,122,6.8,5.6,1.87,7.6,0,82.4,50.0,4,8,2.3,1,23,0,91.2,91.4,0,45,0.0,0,135,42,97.0,131,138.9,51,39.8,7,400,198,4.7,9.5,3.05
Travis Kelce,7844,TE,KC,14,127,0,16,0,-1.4,0,88.9,,0,0,0.0,0,3,0,91.8,91.7,1,15,11.5,6,52,8,80.8,42,84.7,9,7.1,2,39,51,6.4,4.9,0.93,9.8,3,78.4,40.0,2,5,0.0,0,25,0,91.6,93.7,1,45,0.7,1,153,29,89.5,137,144.0,37,29.1,5,435,181,6.2,15.0,3.18
Tyreek Hill,10799,WR,KC,14,125,0,16,0,-2.3,5,83.3,,0,0,9.1,1,4,0,60.6,69.8,0,14,0.0,0,53,10,94.3,50,115.6,12,9.6,1,61,88,8.8,6.1,1.22,13.1,10,65.7,50.0,3,6,9.8,5,31,0,52.6,81.0,1,54,0.0,0,344,46,93.9,323,119.4,70,56.0,7,591,225,4.9,12.8,1.83
Darren Waller,9637,TE,LV,14,124,0,23,0,-2.2,2,100.0,,0,0,0.0,0,4,0,92.3,90.1,0,22,5.0,2,40,13,92.5,37,96.2,13,10.5,0,92,121,9.3,7.1,2.49,10.1,1,55.2,50.0,3,6,0.0,0,9,1,90.8,85.0,1,29,0.9,1,115,16,92.2,106,69.9,29,23.4,1,172,96,6.0,10.8,1.62
Diontae Johnson,33441,WR,PIT,13,121,0,25,0,-2.6,2,90.9,,0,0,9.1,1,3,0,56.2,68.8,0,13,0.0,0,51,10,100.0,51,90.9,11,9.1,0,64,92,9.2,6.4,1.25,4.1,0,69.2,,0,0,10.0,1,4,1,31.5,65.9,0,10,0.0,0,73,9,95.9,70,74.8,13,10.7,0,47,33,3.7,5.2,0.67
Terry McLaurin,48229,WR,WAS,14,120,0,32,0,-2.1,2,100.0,,0,0,0.0,0,2,0,92.5,62.1,0,20,0.0,0,62,15,98.4,61,86.7,15,12.5,0,72,103,6.9,4.8,1.18,11.0,7,68.4,50.0,6,12,3.7,1,15,1,87.9,79.1,0,68,0.0,0,188,26,94.7,178,121.3,38,31.7,2,407,163,6.3,15.7,2.29
