player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Thomas Davis Sr.,2231,LB,WAS,3,1,-4.5,50.0,95.2,18.0,9.0,0,0,1,50.0,32,81.4,62.1,73.4,57.9,47.0,76.1,0,4,0.0,0,1,0,56.3,1,20,21,0,0,2,0,4,7,0.2,4.0
Johnathan Joseph,2969,CB,TEN,5,1,17.1,64.7,98.8,14.2,9.2,0,0,2,11.8,31,68.3,67.5,83.0,56.5,59.4,35.9,1,71,9.1,1,2,0,115.8,11,162,164,1,9,17,2,184,63,1.2,16.7
Calais Campbell,4364,DI,BLT,6,1,9.0,0.0,3.4,,7.0,0,1,1,100.0,3,66.8,74.2,36.9,66.3,74.7,55.6,0,,40.0,2,1,2,39.6,0,7,205,6,2,1,0,0,0,0.0,
Brandon Carr,4454,S,DAL,3,0,,,100.0,,,0,0,0,,9,49.2,54.4,74.9,,68.7,72.8,0,,,0,0,1,0.0,0,12,12,0,0,0,0,0,0,0.0,
Malcolm Jenkins,4937,S,NO,5,1,8.9,63.6,86.1,11.7,7.5,0,1,3,13.6,20,52.7,54.7,84.5,66.1,54.1,69.5,0,31,11.1,2,2,2,111.4,14,180,209,4,15,22,2,137,84,0.8,9.8
Jason McCourty,5127,CB,NE,5,2,16.5,62.5,97.5,21.8,13.6,0,0,0,0.0,19,51.1,55.8,79.6,54.2,77.4,86.6,0,41,0.0,0,0,0,140.6,5,118,121,0,7,8,2,90,9,0.8,18.0
Joe Haden,5532,CB,PIT,5,0,15.8,48.1,100.0,15.6,7.5,0,1,5,18.5,25,53.6,50.2,82.1,,31.8,51.6,1,45,7.1,1,4,4,84.6,13,218,218,1,13,27,2,215,24,1.1,16.5
Brandon Graham,5538,ED,PHI,6,2,,,2.2,,,0,0,0,,24,61.0,70.6,50.2,68.3,68.5,28.1,0,,0.0,0,0,2,0.0,0,4,186,5,0,0,0,0,0,0.0,
Jason Pierre-Paul,5540,ED,TB,6,1,-1.6,100.0,15.3,6.8,6.8,0,0,0,0.0,30,61.7,73.8,68.8,74.9,63.8,72.6,0,29,0.0,0,0,1,108.3,5,35,229,6,3,5,0,50,58,1.5,10.0
Kareem Jackson,5545,S,DEN,5,1,7.9,76.5,99.1,16.5,12.6,0,0,2,11.8,10,61.0,67.9,90.0,55.1,81.9,67.4,0,35,10.5,2,1,0,110.9,13,222,224,4,16,17,1,104,38,0.5,8.0
