player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Dak Prescott,10769,QB,DAL,4,-0.32,0,218,9,75.8,165,177,9.9,2.68,3,10,5.5,65.5,116,58,7.2,194,89.0,9,80,,69.0,82.3,84.7,78.7,,76.5,4,3,199,15.5,103.9,4.6,9,8,1,4,9,8,4.0,1585,9.0,76.3,139,148,8.9,2.59,2,7,4.6,68.2,101,42,4.7,161,73.9,5,62,,64.9,77.8,84.2,74.7,,73.0,4,3,165,14.3,103.7,3.7,6,7,1,2,9,8,4.8,1170,7.9,83.7,49,53,7.2,2.58,1,3,5.4,67.9,36,18,12.2,57,26.1,5,25,,81.3,82.5,78.6,79.0,,65.6,0,0,60,16.7,99.6,5.3,3,1,0,3,0,0,0.0,520,9.8,0,95.7,23,24,-2.2,1.8,0,0,0.0,87.5,21,2,4.5,24,11.0,1,7,,76.6,67.4,75.6,66.7,,,0,0,26,0.0,84.9,0.0,0,0,0,1,0,0,0.0,105,4.4,1.9
Joe Burrow,28022,QB,CIN,4,5.59,0,203,7,71.6,148,160,10.6,2.71,1,7,4.2,62.5,100,74,5.7,186,91.6,6,67,,55.0,81.7,84.8,81.2,,58.8,3,1,195,20.3,90.4,8.1,15,10,2,6,6,3,1.5,1012,6.3,74.0,123,134,9.1,2.52,1,6,4.3,64.2,86,57,5.5,152,74.9,5,50,,48.4,77.9,84.3,76.8,,62.5,2,1,160,17.5,86.9,6.6,10,7,2,6,4,3,1.9,787,5.9,73.8,42,43,9.5,3.02,0,1,2.3,69.8,30,17,3.2,51,25.1,1,21,,80.6,75.5,78.1,76.4,,52.2,1,1,52,29.4,98.4,9.8,5,3,0,0,2,1,1.9,334,7.8,0,94.1,17,17,-2.8,1.95,0,0,0.0,94.1,16,0,0.0,17,8.4,0,4,,74.2,51.4,74.1,51.8,,,0,1,17,,68.9,0.0,0,0,0,0,0,1,5.9,109,6.4,1.9
Carson Wentz,10636,QB,PHI,4,-3.27,0,184,24,69.5,131,142,9.5,2.95,1,4,2.7,58.5,83,58,8.8,166,90.2,8,51,,31.8,51.0,84.5,42.6,58.4,90.1,2,7,175,24.1,65.8,8.4,14,10,0,8,4,14,8.0,893,6.3,72.1,104,112,7.9,2.67,1,4,3.4,61.6,69,40,8.0,129,70.1,6,37,,27.9,55.1,83.9,44.9,,90.9,1,5,136,25.0,68.5,7.8,10,7,0,6,3,11,8.1,666,5.9,70.5,44,48,8.3,3.12,0,0,0.0,58.3,28,18,9.7,55,29.9,3,14,,81.2,47.6,78.5,48.0,58.4,59.5,1,2,57,22.2,63.2,7.3,4,3,0,3,1,3,5.3,264,5.5,0,88.2,17,18,-3.9,1.46,0,0,0.0,77.8,14,0,6.7,18,9.8,1,0,,74.5,60.6,74.3,60.4,,,0,0,18,,79.2,0.0,0,0,0,1,0,0,0.0,37,2.1,-0.45
Matt Ryan,4317,QB,ATL,4,7.85,0,182,2,76.2,143,158,11.5,2.78,3,6,3.6,63.9,101,49,7.3,173,95.1,8,67,,89.4,72.2,84.6,71.5,58.8,53.9,1,2,182,18.4,96.5,5.2,9,6,0,11,7,6,3.3,1200,7.6,75.4,114,123,10.8,2.57,3,3,2.3,62.6,77,36,10.5,136,74.7,9,52,,87.8,69.3,84.0,68.8,58.8,53.9,1,2,147,22.2,86.7,5.9,8,5,0,5,4,4,2.7,839,6.8,83.8,37,44,10.8,3.22,0,3,6.8,70.5,31,13,0.0,46,25.3,0,17,,79.9,73.8,77.7,73.4,,58.3,0,0,46,7.7,122.1,2.2,1,1,0,7,3,2,4.3,407,9.3,0,100.0,8,9,-1.5,1.87,0,0,0.0,77.8,7,0,12.5,9,4.9,1,2,,71.9,62.8,72.6,64.9,,58.3,0,0,11,,88.0,0.0,0,0,0,1,0,0,0.0,46,5.1,2.43
Daniel Jones,39395,QB,NYG,4,8.35,0,175,21,73.8,126,140,7.7,2.82,2,5,3.4,59.3,83,68,10.8,166,94.9,10,55,,50.6,74.0,84.1,69.3,,79.1,4,5,176,20.6,66.5,8.4,14,11,2,6,2,5,2.8,845,6.0,73.6,110,121,7.1,2.69,2,4,3.1,59.5,72,54,11.1,142,81.1,9,42,,44.9,69.1,83.6,64.3,,77.8,3,4,150,20.4,63.1,7.7,11,9,2,4,1,5,3.3,653,5.4,83.3,24,28,6.3,3.23,0,1,3.4,67.9,19,17,5.0,33,18.9,1,14,,78.3,83.1,76.7,80.2,,66.4,1,1,35,17.6,90.8,9.1,3,2,0,3,1,0,0.0,236,8.4,0,100.0,8,9,-4.0,2.21,0,0,0.0,88.9,8,3,0.0,9,5.1,0,1,,70.9,64.4,71.9,63.9,,,0,0,9,0.0,87.0,0.0,0,0,0,1,0,0,0.0,44,4.9,3.03
Gardner Minshew,41401,QB,JAX,4,3.46,0,172,15,79.0,124,134,9.0,2.8,1,5,3.5,70.1,94,48,4.1,159,92.4,4,62,,47.8,64.8,46.5,66.1,,52.7,1,4,167,27.1,100.7,8.2,13,12,1,7,8,4,2.4,1052,7.9,79.8,114,123,7.0,2.62,1,4,3.1,71.5,88,39,3.3,140,81.4,3,49,,42.6,60.6,43.2,62.4,,49.6,0,4,146,20.5,92.4,5.7,8,9,1,7,5,4,2.7,905,7.4,82.6,23,24,12.1,3.12,0,1,3.8,75.0,18,11,5.3,32,18.6,1,15,,78.1,72.3,76.6,70.8,,63.5,1,0,34,45.5,144.6,15.6,5,3,0,0,3,1,2.9,233,9.7,0,92.3,13,13,-2.9,1.58,0,0,0.0,92.3,12,2,0.0,13,7.6,0,2,,72.8,56.5,73.2,56.5,,,0,0,13,0.0,94.2,0.0,0,0,0,0,0,1,7.7,86,6.6,2.35
Patrick Mahomes,11765,QB,KC,4,-5.39,0,169,16,74.4,125,132,9.0,2.97,1,8,5.7,65.9,87,51,6.5,150,88.8,6,65,,88.6,83.7,84.3,80.9,,71.8,2,0,162,5.9,107.8,2.0,3,15,0,4,7,4,2.5,1049,7.9,75.7,103,109,7.3,2.9,1,5,4.3,68.8,75,43,3.8,126,74.6,3,59,,87.3,83.8,83.9,81.0,,71.8,1,0,136,4.7,112.8,1.6,2,15,0,4,7,1,0.7,837,7.7,76.3,38,41,8.5,2.65,1,3,7.0,63.4,26,10,10.3,43,25.4,3,13,,79.8,68.1,77.6,67.2,,,1,0,45,10.0,117.6,2.3,1,0,0,1,4,3,6.7,297,7.2,0,87.5,16,18,-2.9,1.78,1,0,0.0,77.8,14,2,0.0,19,11.2,0,7,,74.8,57.9,74.5,57.8,,,0,0,19,0.0,125.9,0.0,0,0,0,1,4,0,0.0,85,4.7,-0.44
Kyler Murray,38334,QB,ARZ,4,-8.87,0,166,1,74.1,108,117,10.2,2.98,2,5,4.0,65.0,76,40,5.0,137,82.5,4,55,,88.8,77.9,11.8,69.7,,90.2,0,5,145,17.5,87.9,5.1,7,13,1,6,7,4,2.8,831,7.1,80.6,98,107,6.9,2.56,1,4,3.5,71.0,76,28,3.8,119,71.7,3,41,,87.9,75.0,6.8,69.5,,81.6,0,4,126,7.1,82.5,1.7,2,10,1,7,4,3,2.4,625,5.8,70.6,34,37,10.4,3.26,1,1,2.6,62.2,23,16,4.2,47,28.3,1,19,,80.3,73.4,0.0,67.0,,88.8,0,1,49,31.3,102.8,10.6,5,4,0,2,3,1,2.0,294,7.9,0,95.8,24,27,-3.1,1.69,0,0,0.0,85.2,23,4,0.0,29,17.5,0,5,,77.4,62.0,0.0,66.0,,58.3,0,0,30,0.0,80.2,0.0,0,1,0,3,0,0,0.0,88,3.3,2.11
Dwayne Haskins,41897,QB,WAS,4,3.89,0,164,32,61.9,118,125,8.5,2.48,3,5,3.8,56.0,70,45,4.1,143,87.2,3,45,,45.7,44.7,84.1,46.0,,46.9,2,3,150,28.9,75.5,9.1,13,4,0,2,4,6,4.0,781,6.2,65.1,106,110,7.1,2.22,2,4,3.5,60.0,66,33,4.3,122,74.4,3,37,,39.7,43.1,83.8,43.4,,51.7,1,3,127,27.3,79.7,7.4,9,2,0,1,4,5,3.9,710,6.5,69.7,33,36,6.2,2.76,1,1,2.6,63.9,23,12,0.0,42,25.6,0,14,,79.5,61.7,77.5,64.3,,49.4,1,0,44,33.3,81.8,9.5,4,2,0,1,0,1,2.3,229,6.4,0,90.5,21,21,-2.2,1.55,0,0,0.0,90.5,19,0,0.0,21,12.8,0,6,,75.4,66.8,74.9,66.2,,,0,0,21,,98.0,0.0,0,0,0,0,0,0,0.0,158,7.5,-0.09
Tom Brady,698,QB,TB,4,6.31,0,163,30,76.2,126,135,10.9,2.6,4,16,11.0,62.2,84,34,12.5,142,87.1,12,51,,88.5,91.7,84.2,91.1,,60.3,2,3,153,14.7,101.8,3.5,5,2,0,3,10,2,1.3,1051,7.8,78.2,119,128,8.2,2.41,4,9,6.5,64.1,82,32,11.8,136,83.4,11,40,,88.2,78.8,84.1,77.5,,60.3,2,2,146,15.6,96.1,3.7,5,2,0,3,8,2,1.4,808,6.3,80.8,26,27,13.2,2.82,0,7,25.0,70.4,19,2,9.5,27,16.6,2,13,,77.0,96.6,75.9,95.2,,,0,2,28,0.0,115.4,0.0,0,0,0,1,3,1,3.6,314,11.6,0,94.7,19,20,-2.9,1.64,0,0,0.0,85.0,17,0,5.6,21,12.9,1,2,,75.4,44.8,74.9,45.6,,,0,1,21,,77.3,0.0,0,0,0,1,1,1,4.8,71,3.6,5.32
