team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
CLV,8,18,622,15,68,622,91.1,97,14
GB,12,18,658,12,85,658,90.7,110,13
ARZ,1,16,648,10,96,648,90.3,116,10
PIT,25,17,744,36,101,744,89.6,146,9
TB,30,20,795,56,94,795,88.6,166,16
IND,14,17,619,25,96,619,88.3,133,12
NO,20,18,646,33,91,646,88.1,139,15
KC,16,19,830,30,145,830,87.9,188,13
CAR,5,16,620,17,98,620,87.7,134,19
LA,26,18,698,39,99,698,87.5,156,18
DET,11,16,637,24,93,637,87.5,138,21
DEN,10,16,612,27,109,612,87.4,145,9
TEN,31,17,559,43,73,559,87.1,130,14
MIA,17,16,625,26,98,625,87.0,143,19
CHI,6,17,705,26,117,705,86.9,164,21
LV,23,16,602,23,118,602,86.6,151,10
NE,19,16,500,12,77,500,86.5,112,23
BUF,4,19,791,24,153,791,86.4,196,19
WAS,32,17,721,38,103,721,86.2,170,29
BLT,3,18,564,15,104,564,86.1,138,19
JAX,15,16,686,22,124,686,86.0,169,23
SEA,29,17,701,24,134,701,85.9,178,20
ATL,2,16,685,45,111,685,85.7,176,20
SF,28,16,616,46,94,616,85.4,160,20
HST,13,16,656,16,136,656,85.2,173,21
DAL,9,16,711,23,133,711,85.1,184,28
CIN,7,16,651,45,113,651,84.3,181,23
LAC,27,16,685,42,142,685,84.1,201,17
PHI,24,16,710,34,128,710,83.1,201,39
MIN,18,16,569,41,104,569,82.9,170,25
NYG,21,16,592,28,141,592,81.3,195,26
NYJ,22,16,570,33,152,570,79.2,211,26
