player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,11,0,4,2,50.0,7,7,100.0,28,77.0,0,0,,28,27,96.4,0,4,4,100.0,18,16,88.9,3,3,100.0
Stephen Gostkowski,3063,K,TEN,11,0,7,6,85.7,10,5,50.0,31,53.1,0,0,,34,32,94.1,0,4,3,75.0,24,16,66.7,3,2,66.7
Matt Prater,3471,K,DET,11,0,8,4,50.0,7,4,57.1,11,71.6,0,0,,26,26,100.0,0,6,6,100.0,25,18,72.0,4,4,100.0
Nick Folk,3794,K,NE,11,0,3,2,66.7,8,7,87.5,19,67.3,0,0,,22,20,90.9,0,5,5,100.0,21,19,90.5,5,5,100.0
Mason Crosby,3809,K,GB,11,0,2,2,100.0,4,4,100.0,12,74.0,1,1,100.0,42,40,95.2,0,5,5,100.0,13,13,100.0,1,1,100.0
Stephen Hauschka,4655,K,JAX,1,0,0,0,,1,0,0.0,15,28.9,0,0,,2,2,100.0,0,0,0,,2,0,0.0,1,0,0.0
Ryan Succop,5180,K,TB,12,0,2,1,50.0,7,6,85.7,30,79.1,0,0,,38,36,94.7,0,8,8,100.0,24,22,91.7,7,7,100.0
Graham Gano,5443,K,NYG,11,0,5,4,80.0,7,7,100.0,21,84.4,0,0,,17,17,100.0,0,10,10,100.0,26,25,96.2,4,4,100.0
Dan Bailey,6796,K,MIN,11,0,3,2,66.7,4,3,75.0,18,66.1,0,0,,27,26,96.3,0,3,3,100.0,12,10,83.3,2,2,100.0
Kai Forbath,6860,K,LA,2,0,0,0,,1,0,0.0,26,41.5,0,0,,5,4,80.0,0,0,0,,3,2,66.7,2,2,100.0
Randy Bullock,7154,K,CIN,11,0,4,3,75.0,8,7,87.5,7,51.8,0,0,,24,23,95.8,0,10,8,80.0,25,21,84.0,3,3,100.0
Greg Zuerlein,7163,K,DAL,11,0,4,1,25.0,9,9,100.0,9,76.6,1,1,100.0,21,18,85.7,0,8,8,100.0,24,21,87.5,2,2,100.0
Justin Tucker,7604,K,BLT,11,0,3,2,66.7,8,8,100.0,3,86.0,0,0,,31,31,100.0,0,4,4,100.0,20,19,95.0,5,5,100.0
