player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Thomas Davis Sr.,2231,LB,WAS,1,6,0,32,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,1,0,0,0,0,0,0,0.0,,0,1,,,100.0,,,0,0,,65.2,0,,0.0,0,0,0.0,0,5,83.3,5,0,0,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,TEN,3,82,0,31,0,20.2,83.3,100.0,7.6,6.3,0,0,0.0,40.6,0,71,25.0,1,0,158.3,5,39,47.6,39,0,3,6,2,118,41,3.1,23.6,0,1,8.0,60.0,100.0,13.0,7.8,0,1,20.0,80.6,1,11,0.0,0,1,34.2,3,39,47.6,39,1,3,5,0,26,18,0.7,8.7
Calais Campbell,4364,DI,BLT,3,2,0,3,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,48,0,0,0,0,0,0,,,0,1,9.0,0.0,2.1,,1.0,1,1,100.0,64.5,0,,50.0,1,1,39.6,0,1,50.0,47,1,0,1,0,0,0,0.0,
Brandon Carr,4454,S,DAL,2,11,0,9,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,47.5,0,,,0,0,0.0,0,10,90.9,10,0,0,0,0,0,0,0.0,
Malcolm Jenkins,4937,S,NO,3,105,0,20,0,7.8,50.0,65.5,9.3,4.7,0,1,16.7,57.6,0,18,0.0,0,1,108.3,3,36,34.3,55,1,3,6,1,36,22,1.3,12.0,0,0,10.6,71.4,94.1,12.6,9.0,0,0,0.0,43.9,0,31,0.0,0,0,96.7,5,64,61.0,68,1,8,7,0,59,40,0.9,11.8
Jason McCourty,5127,CB,NE,3,75,0,19,1,25.5,100.0,98.0,21.5,21.5,0,0,0.0,52.5,0,38,0.0,0,0,158.3,2,48,64.0,49,0,0,2,2,42,0,1.0,21.0,0,0,5.0,100.0,95.2,20.0,20.0,0,0,0.0,68.9,0,5,0.0,0,0,87.5,1,20,26.7,21,0,3,1,0,5,0,0.3,5.0
Joe Haden,5532,CB,PIT,3,138,0,25,0,17.4,60.0,100.0,17.7,10.6,0,0,0.0,58.3,1,45,0.0,0,0,64.6,3,58,42.0,58,1,2,5,0,63,9,1.2,21.0,0,0,12.8,40.0,100.0,33.5,13.4,1,1,20.0,58.7,0,18,0.0,0,1,58.8,2,71,51.4,71,0,4,5,0,28,0,0.4,14.0
Brandon Graham,5538,ED,PHI,3,1,0,24,1,,,1.9,,,0,0,,60.1,0,,0.0,0,0,0.0,0,1,100.0,52,2,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,32,1,0,0,0,0,0,,
Jason Pierre-Paul,5540,ED,TB,3,18,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,31,1,0,0,0,0,0,,,0,0,-2.3,100.0,20.0,5.3,5.3,0,0,0.0,65.5,0,7,,0,0,90.3,3,16,88.9,80,2,0,3,0,17,24,1.1,5.7
Kareem Jackson,5545,S,DEN,3,132,0,10,0,7.4,80.0,100.0,9.3,7.4,0,1,20.0,47.7,0,7,33.3,1,0,85.0,4,39,29.5,39,0,2,5,0,22,6,0.6,5.5,0,1,10.5,75.0,100.0,27.3,20.5,0,1,25.0,62.0,0,21,12.5,1,1,102.1,3,84,63.6,84,0,6,4,0,36,10,0.4,12.0
