player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,14,48,48,4.23,38.85,44.21,9.4,0,0,6,17,1,57.4,19,61,1,0,43.8,197,21,48,202.81,1865,3,2122
Dustin Colquitt,2316,P,PIT,5,20,20,4.21,37.15,43.05,7.1,0,0,2,5,25,61.0,8,59,0,0,55.0,78,11,20,84.29,743,2,861
Sam Koch,3148,P,BLT,13,49,49,4.32,42.94,44.9,4.8,0,0,5,19,3,72.0,21,59,8,0,32.7,76,16,49,211.78,2104,1,2200
Brett Kern,4580,P,TEN,11,32,32,4.23,41.78,46.09,8.2,0,0,3,11,31,74.8,23,66,4,0,37.5,98,12,32,135.27,1337,2,1475
Kevin Huber,5066,P,CIN,13,63,63,4.3,42.71,47.16,5.9,0,0,13,14,7,58.1,20,70,3,0,42.9,160,27,63,270.67,2691,6,2971
Thomas Morstead,5088,P,NO,13,57,57,4.44,41.77,43.25,2.3,0,0,5,26,20,63.0,24,58,5,0,33.3,44,19,57,252.92,2381,2,2465
Britton Colquitt,5192,P,MIN,14,47,47,4.29,37.66,44.94,9.7,2,0,6,8,18,56.0,9,59,1,0,61.7,282,29,49,201.47,1770,3,2112
Chris Jones,6798,P,DAL,8,24,24,4.44,40.21,42.58,6.2,0,0,0,15,9,60.7,5,54,2,0,25.0,37,6,24,106.59,965,1,1022
Bryan Anger,7072,P,HST,14,49,49,4.38,42.08,46.59,6.7,0,0,4,18,13,70.0,20,67,4,0,36.7,121,18,49,214.62,2062,5,2283
Johnny Hekker,7252,P,LA,13,59,59,4.38,39.42,45.9,14.1,1,0,9,17,26,66.9,28,63,8,0,33.9,282,20,60,258.61,2326,5,2708
Sam Martin,7947,P,DEN,14,58,58,4.12,42.81,47.38,7.6,1,0,4,12,10,67.7,19,69,12,0,46.6,205,27,59,239.06,2483,3,2748
Ryan Allen,8242,P,IND,3,14,14,3.78,38.57,48.57,10.0,0,0,1,0,14,55.0,3,65,1,0,71.4,100,10,14,52.89,540,2,680
Tress Way,8358,P,WAS,14,64,64,4.43,44.66,48.27,6.0,0,0,9,21,32,69.1,27,61,0,0,50.0,191,32,64,283.67,2858,2,3089
Pat O'Donnell,8826,P,CHI,14,60,60,4.15,39.18,45.63,12.0,0,0,9,20,6,55.4,26,64,2,0,40.0,287,24,60,249.25,2351,5,2738
Bradley Pinion,9598,P,TB,13,52,52,4.36,41.46,45.27,7.5,0,0,5,15,30,81.8,20,62,9,0,40.4,158,21,52,226.52,2156,2,2354
Ty Long,9728,K,LAC,14,51,51,4.2,35.51,46.84,15.7,3,0,3,8,27,58.6,11,63,4,0,64.7,518,33,54,214.13,1811,3,2389
Jordan Berry,10236,P,PIT,9,48,48,4.4,40.75,45.65,10.3,0,0,4,18,25,67.9,20,62,6,0,35.4,175,17,48,211.39,1956,3,2191
Riley Dixon,10862,P,NYG,14,57,57,4.38,39.75,44.63,9.0,1,0,14,15,21,64.3,26,71,2,0,38.6,198,22,58,249.8,2266,4,2544
Ka'imi Fairbairn,11161,K,HST,1,1,1,3.68,26.0,26.0,,0,0,1,0,13,60.0,1,26,0,0,0.0,0,0,1,3.68,26,0,26
Aldrick Rosas,11331,K,JAX,1,3,3,3.67,29.0,36.67,11.5,0,0,0,0,15,50.6,0,44,1,0,66.7,23,2,3,11.02,87,0,110
Jake Elliott,11908,K,PHI,1,2,2,3.58,38.5,38.5,0.0,0,0,0,0,24,58.8,1,42,0,0,100.0,0,2,2,7.16,77,0,77
Rigoberto Sanchez,12130,P,IND,11,33,33,4.24,42.15,47.12,7.4,1,0,6,9,14,67.0,16,60,1,0,42.4,104,14,34,139.87,1391,3,1555
Matt Haack,12212,P,MIA,14,58,58,4.46,41.33,44.64,8.4,0,0,13,21,17,68.4,27,63,4,0,31.0,152,18,58,258.55,2397,2,2589
Cameron Johnston,12255,P,PHI,14,61,61,4.35,41.98,47.69,6.7,1,0,5,10,24,65.3,24,66,4,0,60.7,248,37,62,265.17,2561,5,2909
Corey Bojorquez,27626,P,BUF,13,35,35,4.42,43.26,50.14,8.6,0,0,3,6,4,71.1,15,72,6,0,40.0,121,14,35,154.78,1514,6,1755
Logan Cooke,29214,P,JAX,13,49,49,4.27,43.39,47.63,6.4,0,0,13,8,15,60.1,18,67,6,0,34.7,108,17,49,209.41,2126,5,2334
Hunter Niswander,29601,P,DAL,6,16,16,4.59,43.63,47.44,6.8,0,0,1,8,9,63.3,7,58,0,0,37.5,41,6,16,73.39,698,1,759
Tommy Townsend,33007,P,KC,14,46,46,4.49,40.28,45.48,7.9,0,0,3,16,16,77.1,17,67,6,0,32.6,119,15,46,206.33,1853,6,2092
Sterling Hofrichter,33541,P,ATL,14,50,50,4.41,39.08,42.32,5.8,0,0,5,18,2,69.3,15,57,4,0,42.0,122,21,50,220.56,1954,2,2116
Joseph Charlton,33672,P,CAR,14,37,37,4.6,40.11,46.16,10.9,0,0,4,13,5,74.5,15,67,2,0,40.5,164,15,37,170.06,1484,3,1708
Jake Bailey,33963,P,NE,14,42,42,4.38,46.14,48.67,5.8,0,0,12,15,19,70.3,27,71,4,0,19.0,46,8,42,183.93,1938,3,2044
Jack Fox,34735,P,DET,14,49,49,4.57,45.27,49.27,5.4,0,0,9,16,11,87.3,24,67,4,0,28.6,76,14,49,224.06,2218,6,2414
