player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Connor Williams,46216,G,DAL,9,0,9,70.8,1,13,430,100.0,100.0,97.9,0,16,2,448,448,66.3,1,10,205,100.0,100.0,96.8,12,1,210,210
Charles Leno Jr.,8880,T,CHI,9,0,6,66.0,6,22,401,100.0,100.0,96.0,0,30,2,417,417,58.9,4,13,152,100.0,100.0,93.7,18,1,159,159
Germain Ifedi,10665,G,CHI,9,0,6,60.8,3,14,401,100.0,100.0,97.6,0,18,1,417,417,60.2,2,8,152,100.0,100.0,96.1,11,1,159,159
Chris Lindstrom,46692,G,ATL,9,0,2,71.5,5,8,383,100.0,100.0,97.5,0,16,3,404,404,50.1,5,5,152,100.0,100.0,94.7,13,3,161,161
Jake Matthews,8641,T,ATL,9,0,2,80.2,4,13,383,100.0,100.0,97.5,0,18,1,404,404,74.6,1,7,152,100.0,100.0,96.7,9,1,161,161
Alex Mack,4944,C,ATL,9,0,2,62.5,4,8,382,100.0,100.0,98.2,1,13,1,403,403,58.2,3,5,151,100.0,100.0,96.7,9,1,160,160
Eric Fisher,7783,T,KC,9,0,16,75.7,4,17,375,99.7,99.7,96.9,0,22,1,398,399,65.7,3,12,144,100.0,100.0,94.8,15,0,155,155
Tristan Wirfs,64818,T,TB,9,0,30,78.7,6,9,362,100.0,100.0,97.7,0,16,1,390,390,74.8,4,6,180,100.0,100.0,96.7,11,1,198,198
Alex Cappa,66578,G,TB,9,1,30,72.1,6,9,362,100.0,100.0,97.9,1,15,0,390,390,58.8,5,8,180,100.0,100.0,96.4,13,0,198,198
Ryan Jensen,7985,C,TB,9,0,30,53.1,4,6,360,100.0,100.0,98.1,3,12,2,388,388,39.7,3,6,180,100.0,100.0,96.4,11,2,198,198
Donovan Smith,9467,T,TB,9,1,30,67.2,7,13,360,100.0,100.0,96.1,2,24,4,388,388,62.5,4,10,180,100.0,100.0,94.4,17,3,198,198
Nate Herbig,28844,G,PHI,8,0,24,64.1,0,15,357,100.0,100.0,97.3,2,17,2,383,383,43.6,0,14,155,100.0,100.0,94.2,16,2,169,169
Jason Kelce,6343,C,PHI,8,0,24,64.5,1,7,357,100.0,100.0,98.0,0,11,3,383,383,67.1,0,5,155,100.0,100.0,97.1,7,2,169,169
Daryl Williams,9535,T,BUF,9,0,4,77.2,1,13,357,100.0,100.0,97.5,1,16,2,380,380,68.4,0,12,139,100.0,100.0,94.2,14,2,154,154
Kevin Zeitler,7032,G,NYG,9,0,21,63.1,0,20,348,100.0,100.0,97.1,0,20,0,377,377,55.5,0,19,147,100.0,100.0,93.5,19,0,160,160
Nick Gates,29476,C,NYG,9,1,21,56.4,0,12,348,100.0,100.0,98.3,2,12,0,377,377,62.0,0,7,147,100.0,100.0,97.6,7,0,160,160
Taylor Moton,11819,T,CAR,9,1,5,75.9,0,9,351,100.0,100.0,98.1,1,11,2,376,376,71.9,0,5,132,100.0,100.0,96.6,7,2,142,142
Matt Paradis,8841,C,CAR,9,0,5,75.6,1,4,349,100.0,100.0,99.0,0,6,1,374,374,80.5,0,3,131,100.0,100.0,98.1,4,1,141,141
Dion Dawkins,11818,T,BUF,9,0,4,77.5,2,12,348,100.0,100.0,97.1,0,17,3,369,369,84.0,0,4,133,100.0,100.0,97.7,5,1,147,147
