player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Thomas Davis Sr.,2231,LB,WAS,7,0,0,32,50.9,0,0,5,6.8,0.0,0,0,0.0,0,74,5,0,0,55.3,0,0,2,6.5,0.0,0,0.0,0,31,2,0
Johnathan Joseph,2969,CB,ARZ,11,0,0,1,55.7,0,0,4,1.5,0.0,0,1,0.0,0,264,4,0,0,58.8,0,0,1,1.0,0.0,0,0.0,0,96,1,0
Domata Peko Sr.,3068,DI,ARZ,4,0,0,1,54.6,0,2,53,98.3,5.7,3,0,1.9,0,58,57,2,0,48.7,0,1,16,100.0,6.3,1,3.1,0,19,19,1
Tramon Williams,3558,CB,BLT,4,0,0,3,65.2,1,0,6,8.0,0.0,0,0,8.3,0,75,6,1,0,60.3,1,0,1,4.5,0.0,0,50.0,0,22,1,1
Calais Campbell,4364,DI,BLT,10,5,0,3,66.8,3,14,234,96.9,10.7,25,2,4.9,3,259,251,20,2,65.3,1,9,102,98.3,12.7,13,6.9,2,120,118,12
Malcolm Jenkins,4937,S,NO,14,0,0,20,60.2,3,10,64,11.4,14.1,9,4,13.3,2,580,66,15,0,47.0,0,5,30,11.7,10.0,3,11.7,1,264,31,6
Jason McCourty,5127,CB,NE,14,0,0,19,51.8,0,0,5,1.4,0.0,0,2,0.0,0,363,5,0,0,55.5,0,0,2,1.3,0.0,0,0.0,0,151,2,0
Steve McLendon,5232,DI,TB,14,0,0,30,62.7,0,8,201,98.2,7.0,14,2,2.0,0,220,216,8,0,57.5,0,2,47,96.1,8.5,4,2.1,0,51,49,2
Ndamukong Suh,5527,DI,TB,14,1,1,30,66.5,11,28,462,98.8,11.7,54,6,5.3,5,493,487,44,1,72.0,6,21,205,99.5,17.6,36,9.0,5,221,220,32
Tyson Alualu,5535,DI,PIT,13,4,0,25,84.4,3,7,176,100.0,11.9,21,1,4.0,2,190,190,12,2,91.8,3,5,76,100.0,21.1,16,7.9,2,80,80,10
Brandon Graham,5538,ED,PHI,14,0,0,24,77.3,8,32,357,98.2,16.5,59,4,7.6,7,384,377,47,0,87.2,5,16,124,98.5,25.0,31,11.7,4,135,133,25
Jason Pierre-Paul,5540,ED,TB,14,1,0,30,71.0,2,31,477,87.8,10.1,48,3,5.6,10,573,503,43,0,83.4,1,23,196,90.9,17.3,34,9.7,7,232,211,31
Kareem Jackson,5545,S,DEN,14,0,0,10,48.4,0,1,4,1.0,0.0,0,1,12.5,0,588,6,1,0,50.8,0,1,2,1.6,0.0,0,25.0,0,245,4,1
Devin McCourty,5552,S,NE,14,0,0,19,47.5,0,1,12,2.5,0.0,0,1,4.2,0,488,12,1,0,52.5,0,1,4,2.1,0.0,0,12.5,0,190,4,1
Jerry Hughes,5556,ED,BUF,14,2,3,4,86.3,6,42,338,93.5,20.1,68,5,8.6,5,383,358,53,0,90.2,5,28,159,93.4,32.1,51,12.9,4,181,169,37
Patrick Robinson,5557,CB,NO,8,0,0,20,57.9,0,0,1,0.6,0.0,0,2,0.0,0,159,1,0,0,57.9,0,0,1,1.2,0.0,0,0.0,0,81,1,0
Linval Joseph,5571,DI,LAC,14,0,0,27,65.5,2,20,346,99.5,9.0,31,0,3.2,0,364,362,22,0,61.9,2,11,144,100.0,10.4,15,4.5,0,153,153,13
Carlos Dunlap,5579,ED,SEA,13,2,0,29,58.8,7,16,335,96.2,10.1,34,3,5.8,8,369,355,31,2,60.4,1,10,136,96.6,14.7,20,8.5,6,149,144,17
Sean Lee,5580,LB,DAL,7,0,0,9,55.1,1,0,2,4.1,50.0,1,0,25.0,0,49,2,1,0,55.1,1,0,2,14.3,50.0,1,25.0,0,14,2,1
Corey Peters,5607,DI,ARZ,9,0,1,1,64.7,2,10,219,99.2,7.8,17,2,3.7,2,238,236,14,0,64.0,1,8,100,100.0,12.0,12,5.5,1,111,111,10
Everson Griffen,5624,ED,DET,12,3,0,11,71.1,7,14,249,96.1,14.1,35,3,6.6,6,284,273,27,0,74.5,4,8,113,99.2,20.4,23,9.7,5,122,121,17
Geno Atkins,5643,DI,CIN,8,0,0,7,61.4,0,3,104,100.0,9.6,10,1,1.4,0,107,107,3,0,64.1,0,3,55,100.0,14.5,8,2.7,0,57,57,3
Anthony Levine,6013,S,BLT,6,0,1,3,60.0,0,0,1,4.2,0.0,0,1,0.0,0,24,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
Andrew Sendejo,6118,S,CLV,13,0,0,8,63.8,0,0,4,0.7,25.0,1,2,0.0,0,537,4,0,0,67.9,0,0,2,0.8,50.0,1,0.0,0,241,2,0
Patrick Peterson,6157,CB,ARZ,14,0,4,1,52.5,0,0,4,0.6,0.0,0,11,0.0,0,626,4,0,0,,0,0,0,0.0,,0,,0,289,0,0
Aldon Smith,6159,ED,DAL,14,2,2,9,72.7,9,32,357,94.1,16.2,58,4,6.9,4,407,383,45,0,77.4,9,18,139,98.7,25.9,36,12.6,4,158,156,31
J.J. Watt,6163,ED,HST,14,7,0,13,77.5,8,26,492,99.6,12.4,61,1,4.5,5,517,515,39,3,71.9,1,15,173,99.4,16.8,29,6.9,4,181,180,20
