player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jon Kitna,217,QB,DET,6,72.5,211,228,8.9,2.73,2,8,3.3,63.6,145,0,94,5.2,252,8,81,11,82.5,65.3,67.0,39.7,3,7,264,2,23.4,80.0,8.7,22,2,1,11,6,9,3.4,1585,7.0
Donovan McNabb,438,QB,PHI,6,71.9,199,208,10.6,3.04,4,12,5.5,58.7,122,0,84,14.7,232,21,85,24,90.4,78.1,78.3,57.9,2,2,241,2,17.9,104.8,6.5,15,8,0,3,13,6,2.5,1850,8.9
Marc Bulger,684,QB,SL,6,69.6,194,208,10.3,2.57,2,10,4.6,61.5,128,0,71,5.2,228,7,78,26,45.1,64.1,66.5,32.2,1,1,238,1,26.8,99.8,8.3,19,1,3,8,10,8,3.4,1617,7.8
Drew Brees,802,QB,NO,6,82.7,185,207,6.4,2.54,9,3,1.4,66.7,138,0,47,9.8,215,15,74,20,75.7,72.6,75.7,34.4,1,4,224,2,12.8,92.8,2.8,6,2,1,11,8,4,1.8,1509,7.3
Jake Delhomme,303,QB,CAR,6,70.3,185,205,9.6,2.48,9,5,2.3,60.0,123,0,63,5.4,218,7,62,5,80.1,66.5,66.8,46.2,6,3,227,0,19.0,83.0,5.5,12,1,0,5,6,7,3.1,1343,6.6
Brett Favre,14,QB,GB,5,67.4,193,203,9.9,2.51,3,10,4.7,56.7,115,0,53,11.5,210,15,59,12,74.3,62.1,61.9,48.9,1,5,220,0,13.2,76.7,3.3,7,0,2,4,7,8,3.6,1275,6.3
Rex Grossman,1338,QB,CHI,6,63.1,176,189,11.1,2.63,2,10,5.1,56.6,107,1,71,3.6,195,4,67,6,55.8,60.3,62.4,36.0,2,7,203,2,8.5,82.0,3.1,6,0,0,9,10,13,6.4,1387,7.3
Alex Smith,2218,QB,SF,6,72.3,159,183,8.7,2.94,5,8,4.1,59.6,109,0,74,5.2,206,6,61,28,79.2,52.3,51.9,58.4,5,4,219,1,17.6,86.4,6.3,13,10,4,10,8,9,4.1,1285,7.0
Eli Manning,1722,QB,NYG,5,73.7,167,176,8.5,2.61,2,9,4.9,65.3,115,0,57,6.5,188,8,69,21,54.0,74.5,76.9,34.1,1,7,197,4,19.3,92.3,5.9,11,1,2,4,11,9,4.6,1329,7.6
J.P. Losman,1743,QB,BUF,6,72.4,152,172,9.0,2.98,5,7,3.9,61.6,106,0,79,3.6,199,4,56,4,39.2,51.4,53.3,48.3,5,5,206,2,24.1,80.1,9.5,19,8,0,10,6,10,4.9,1121,6.5
Peyton Manning,327,QB,IND,5,71.9,160,171,11.0,2.76,4,11,6.2,62.0,106,0,55,7.8,180,9,73,14,89.9,91.1,90.9,51.0,0,2,187,0,12.7,95.6,3.9,7,2,1,6,8,4,2.1,1278,7.5
Brad Johnson,31,QB,MIN,5,77.3,154,170,8.7,2.44,4,6,3.3,62.9,107,0,57,10.1,182,12,50,18,72.2,62.8,64.8,36.2,4,4,196,2,12.3,78.6,3.8,7,4,2,6,3,7,3.6,1143,6.7
Mark Brunell,51,QB,WAS,6,73.2,153,169,7.1,2.88,4,8,4.4,62.1,105,0,51,6.3,183,7,54,32,77.6,55.0,56.5,47.3,1,3,197,2,17.6,86.9,4.9,9,3,1,10,5,11,5.6,1240,7.3
Steve McNair,114,QB,BLT,6,64.1,156,169,7.9,2.65,3,3,1.7,56.2,95,0,69,5.0,184,5,58,3,53.0,46.0,46.3,61.7,5,7,190,3,14.5,64.1,5.4,10,5,1,4,5,12,6.3,915,5.4
Charlie Frye,2284,QB,CLV,5,75.6,156,169,7.8,2.96,2,4,2.2,62.7,106,0,70,10.2,197,12,55,8,73.3,62.8,60.1,68.9,3,9,209,0,22.9,67.6,8.1,16,12,1,7,5,4,1.9,1038,6.1
Chad Pennington,596,QB,NYJ,6,72.9,155,168,8.1,2.66,4,7,3.9,64.9,109,0,61,3.5,189,4,59,22,90.0,66.6,67.5,46.2,4,5,203,0,26.2,90.9,8.5,16,5,2,3,8,6,3.0,1261,7.5
Tom Brady,698,QB,NE,5,67.8,146,162,10.7,2.68,8,8,4.7,54.3,88,1,50,11.1,169,11,65,19,89.7,61.4,62.0,50.5,1,3,177,2,10.0,82.6,3.0,5,2,0,7,8,7,4.0,1031,6.4
Matt Hasselbeck,408,QB,SEA,5,72.5,149,159,9.7,2.59,1,9,5.4,60.4,96,0,58,11.1,182,12,59,29,89.7,69.9,69.1,56.2,2,7,189,1,29.3,82.4,9.3,17,6,2,5,9,9,4.8,1123,7.1
Carson Palmer,1317,QB,CIN,5,68.9,148,157,9.2,2.46,2,7,4.3,63.1,99,0,67,2.9,175,3,56,7,51.6,55.6,60.3,33.1,1,4,182,3,25.4,90.1,9.7,17,1,2,4,7,11,6.0,1178,7.5
Byron Leftwich,1323,QB,JAX,5,72.5,142,155,8.3,2.6,6,2,1.3,60.6,94,0,51,8.7,172,9,54,15,58.8,54.8,60.5,34.3,2,5,176,3,15.7,82.0,4.7,8,8,0,5,7,7,4.0,1034,6.7
Drew Bledsoe,36,QB,DAL,5,65.7,140,154,9.5,2.68,2,7,4.1,53.2,82,0,66,10.9,170,10,54,9,76.5,60.0,61.0,51.3,2,7,187,3,18.2,70.9,7.1,12,4,0,10,7,12,6.4,1045,6.8
