player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brett Favre,14,QB,GB,2,67.9,78,84,9.7,2.66,3,4,4.7,54.8,46,0,23,13.2,89,7,26,12,84.4,56.9,56.6,59.4,0,3,91,0,21.7,70.0,5.6,5,0,0,3,3,4,4.4,510,6.1
Chris Simms,1411,QB,TB,2,71.8,71,81,7.1,2.75,7,3,3.5,54.3,44,0,31,13.7,86,7,23,30,84.2,33.4,34.7,54.6,0,6,90,0,9.7,39.4,3.5,3,2,1,2,0,8,8.9,446,5.5
Donovan McNabb,438,QB,PHI,2,81.6,76,80,9.0,3.08,1,5,6.3,63.8,51,0,34,17.7,88,11,35,24,84.4,79.4,80.1,58.8,2,1,88,1,5.9,105.4,2.3,2,5,0,1,5,4,4.5,664,8.3
Peyton Manning,327,QB,IND,2,75.7,74,79,10.8,2.74,1,5,6.1,64.6,51,0,32,8.9,83,5,39,14,84.0,85.8,83.5,62.9,0,1,86,0,9.4,103.1,3.6,3,1,1,3,4,4,4.7,676,8.6
Eli Manning,1722,QB,NYG,2,75.3,73,77,8.6,2.59,1,3,3.8,66.2,51,0,31,7.3,85,4,31,21,51.2,71.2,75.4,55.7,0,2,88,3,25.8,101.5,9.4,8,0,1,2,5,4,4.5,618,8.0
Kurt Warner,112,QB,ARZ,2,71.0,69,74,7.8,2.52,4,2,2.6,62.2,46,0,27,6.1,83,3,28,1,16.0,40.5,46.2,29.4,0,1,87,2,33.3,95.8,10.8,9,0,0,1,4,8,9.2,524,7.1
Byron Leftwich,1323,QB,JAX,2,73.5,68,73,8.0,2.42,4,1,1.4,67.1,49,0,23,2.0,78,1,28,15,29.5,59.9,65.7,34.4,0,2,78,1,8.7,79.5,2.6,2,2,0,1,1,2,2.6,497,6.8
Jake Delhomme,303,QB,CAR,2,60.6,66,72,8.7,2.45,4,0,0.0,52.8,38,0,29,5.0,78,2,20,5,59.1,43.9,44.3,,2,1,82,0,20.7,61.5,7.7,6,0,0,0,0,4,4.9,367,5.1
Drew Brees,802,QB,NO,2,73.4,64,71,7.4,2.54,2,1,1.4,59.2,42,0,19,10.6,75,5,28,20,49.9,51.9,55.4,40.8,1,2,76,0,21.1,84.4,5.3,4,0,0,4,3,3,3.9,523,7.4
Drew Bledsoe,36,QB,DAL,2,65.1,63,71,9.4,2.79,2,5,6.3,49.3,35,0,27,14.6,75,6,21,9,83.8,69.6,68.4,60.2,0,3,84,1,11.1,68.0,4.0,3,1,0,6,3,6,7.1,484,6.8
Chad Pennington,596,QB,NYJ,2,77.4,62,70,9.6,2.71,1,4,5.4,65.7,46,0,32,4.2,77,2,29,22,83.8,74.6,76.0,45.7,4,1,82,0,18.8,107.1,7.8,6,1,2,1,4,2,2.4,625,8.9
